id	effect	effecttag	para1	para2	para3	para4	status
int	int	int	int	int	int	int	int
1	1	装备基础品质+升级分	1	100	0		1
2	1	装备基础品质+升级分	2	150	0		1
3	1	装备基础品质+升级分	3	250	0		1
4	1	装备基础品质+升级分	4	340	0		1
5	1	装备基础品质+升级分	5	420	0		1
6	2	装备副词条属性数值分系数	102	112;111;110;109;108;107;106;105;104	1.2;1.44;1.44;1.2;1.2;1.2;1.44;1.2;1.44		1
7	2	装备副词条属性数值分系数	202	112;111;110;109;108;107;106;105;104	1.44;1.2;1.2;1.44;1.44;1.44;1.2;1.44;1.2		1
8	2	装备副词条属性数值分系数	302	112;111;110;109;108;107;106;105;104	1.44;1.2;1.2;1.44;1.44;1.44;1.2;1.44;1.2		1
9	2	装备副词条属性数值分系数	401	112;111;110;109;108;107;106;105;104	1.2;1.44;1.44;1.2;1.2;1.2;1.44;1.2;1.44		1
10	2	装备副词条属性数值分系数	603	112;111;110;109;108;107;106;105;104	1.2;1.44;1.44;1.2;1.2;1.2;1.44;1.2;1.44		1
11	2	装备副词条属性数值分系数	703	112;111;110;109;108;107;106;105;104	1.2;1.44;1.44;1.2;1.2;1.2;1.44;1.2;1.44		1
12	2	装备副词条属性数值分系数	803	112;111;110;109;108;107;106;105;104	1.44;1.2;1.2;1.44;1.44;1.44;1.2;1.44;1.2		1
13	2	装备副词条属性数值分系数	903	112;111;110;109;108;107;106;105;104	1.44;1.2;1.2;1.44;1.44;1.44;1.2;1.44;1.2		1
14	2	装备副词条属性数值分系数	1203	112;111;110;109;108;107;106;105;104	1.2;1.44;1.44;1.2;1.2;1.2;1.44;1.2;1.44		1
15	2	装备副词条属性数值分系数	1303	112;111;110;109;108;107;106;105;104	1.44;1.2;1.2;1.44;1.44;1.44;1.2;1.44;1.2		1
16	2	装备副词条属性数值分系数	1601	112;111;110;109;108;107;106;105;104	1.44;1.2;1.2;1.44;1.44;1.44;1.2;1.44;1.2		1
17	2	装备副词条属性数值分系数	2101	112;111;110;109;108;107;106;105;104	1.44;1.2;1.2;1.44;1.44;1.44;1.2;1.44;1.2		1
18	2	装备副词条属性数值分系数	1602	112;111;110;109;108;107;106;105;104	1.44;1.44;1.44;1.44;1.44;1.44;1.44;1.44;1.44		1
19	2	装备副词条属性数值分系数	2102	112;111;110;109;108;107;106;105;104	1.44;1.44;1.44;1.44;1.44;1.44;1.44;1.44;1.44		1
20	3	词条品质分	1	0			1
21	3	词条品质分	2	2			1
22	3	词条品质分	3	5			1
23	3	词条品质分	4	10			1
24	3	词条品质分	5	12			1
25	3	词条品质分	6	15			1
26	1	装备基础品质+升级分	6	500	0		1
27	4	第一条重铸属性数值分系数	102	200	0		1
28	4	第一条重铸属性数值分系数	202	200	0		1
29	4	第一条重铸属性数值分系数	302	200	0		1
30	5	第二条重铸属性数值分系数	102	300	0		1
31	5	第二条重铸属性数值分系数	202	300	0		1
32	5	第二条重铸属性数值分系数	302	300	0		1
33	6	第一条重铸品质评分	1	0	0		1
34	6	第一条重铸品质评分	2	5	0		1
35	6	第一条重铸品质评分	3	10	0		1
36	6	第一条重铸品质评分	4	15	0		1
37	6	第一条重铸品质评分	5	20	0		1
38	6	第一条重铸品质评分	6	30	0		1
39	7	第二条重铸品质评分	1	0	0		1
40	7	第二条重铸品质评分	2	10	0		1
41	7	第二条重铸品质评分	3	20	0		1
42	7	第二条重铸品质评分	4	30	0		1
43	7	第二条重铸品质评分	5	40	0		1
44	7	第二条重铸品质评分	6	50	0		1
