id	activityId	rewardId	rewardNum	randNum	showProbability	stock	grandReward	status
int	int	int	int	int	int	int	int	int
1001	1	9000033	20	500	181.8	-1		1
1002	1	9000033	10	1000	363.6	-1		1
1003	1	9000033	5	11000	3999.7	-1		1
1004	1	9000033	2	15000	5454.1	-1		1
1005	1	11300102	1	1	0.4	5	1	1
1006	1	11400102	1	1	0.4	5	1	1
2001	2	9000033	20	500	181.8	-1		1
2002	2	9000033	10	1000	363.5	-1		1
2003	2	9000033	5	11000	3998.5	-1		1
2004	2	9000033	2	15000	5452.6	-1		1
2005	2	12700150	1	1	0.4	10	1	1
2006	3	9000033	20	500	181.8	-1		1
2007	3	9000033	10	1000	363.6	-1		1
2008	3	9000033	5	11000	3999.7	-1		1
2009	3	9000033	2	15000	5454.1	-1		1
2010	3	10302150	1	1	0.4	5	1	1
2011	3	11100250	1	1	0.4	5	1	1
2012	4	9000033	20	500	181.8	-1		1
2013	4	9000033	10	1000	363.5	-1		1
2014	4	9000033	5	11000	3998.5	-1		1
2015	4	9000033	2	15000	5452.6	-1		1
2016	4	13500850	1	1	0.4	10	1	1
2017	5	9000033	20	500	181.8	-1		1
2018	5	9000033	10	1000	363.5	-1		1
2019	5	9000033	5	11000	3998.5	-1		1
2020	5	9000033	2	15000	5452.6	-1		1
2021	5	10302150	1	1	0.4	5	1	1
2022	6	9000033	20	500	181.8	-1		1
2023	6	9000033	10	1000	363.5	-1		1
2024	6	9000033	5	11000	3998.5	-1		1
2025	6	9000033	2	15000	5452.6	-1		1
2026	6	11100250	1	1	0.4	5	1	1
