id	pond	fish	rod	wheel	cat	card	starLv	probability	status
int	int	int	int	int	int	int	int	int	int
8500101	3			8100033				0	1
8500102	2	8000221						0	1
8500103	1		8300012					0	1
8500104	6				101			0	1
8500105	5			8100053				0	1
8500106	4					103019		0	1
8500107	3	8000342						0	1
8500201	2				103			0	1
8500202	2					102001		0	1
8500203	1				104			0	1
8500204	6					101008		0	1
8500205	6	8000652						0	1
8500206	6			8100063				0	1
8500301	3			8100033	104			0	1
8500302	5	8000542				101006		0	1
8500303	4		8300043		102			0	1
8500304	3	8000331		8100032				0	1
8500401	4	8000442						0	1
8500402	5					104005		0	1
8500403	4	8000451						0	1
8500404	4					104003		0	1
8500405	5	8000561						0	1
8500501	1							0	1
8500502	1	8000121				101005		0	1
8500503	1			8100011		102008		0	1
8500504	2		8300022			102008		0	1
8500505	2					105002		0	1
