id	screenType	additionType	additionCondition	additionValue	ensureRewardNum	ensureReward	pond	isStoreGood	needLevel	currency	price	maxBuy	status
int	int	int	int	int	int	int	int	int	int	int	int	int	int
8200001	1;2;3;4;5;6	101		0.1				1	1	3000003	50	999	1
8200101	1	206	1	0.8	5	8000111		1	1	3000003	50	999	1
8200102	1	206	2	0.8	5	8000222		1	1	3000003	60	999	1
8200103	1	206	3	0.8	5	8000422		1	1	3000003	80	999	1
8200104	1	206	4	0.8	5	8000462		1	1	3000003	100	999	1
8200105	1	206	5	0.8	5	8000161		1	1	3000003	120	999	1
8200201	2	206	1	0.8	5	8000212		1	1	3000003	50	999	1
8200202	2	206	2	0.8	5	8000221		1	1	3000003	60	999	1
8200203	2	206	3	0.8	5	8000231		1	1	3000003	80	999	1
8200204	2	206	4	0.8	5	8000242		1	1	3000003	100	999	1
8200205	2	206	5	0.8	5	8000733		1	1	3000003	120	999	1
8200301	3	206	1	0.8	5	8000312		1	1	3000003	50	999	1
8200302	3	206	2	0.8	5	8000322		1	1	3000003	60	999	1
8200303	3	206	3	0.8	5	8000331		1	1	3000003	80	999	1
8200304	3	206	4	0.8	5	8000342		1	1	3000003	100	999	1
8200305	3	206	5	0.8	5	8000663		1	1	3000003	120	999	1
8200401	4	206	1	0.8	5	8000411		1	1	3000003	50	999	1
8200402	4	206	2	0.8	5	8000412		1	1	3000003	60	999	1
8200403	4	206	3	0.8	5	8000431		1	1	3000003	80	999	1
8200404	4	206	4	0.8	5	8000442		1	1	3000003	100	999	1
8200405	4	206	5	0.8	5	8000752		1	1	3000003	120	999	1
8200501	5	206	1	0.8	5	8000512		1	1	3000003	50	999	1
8200502	5	206	2	0.8	5	8000511		1	1	3000003	60	999	1
8200503	5	206	3	0.8	5	8000522		1	1	3000003	80	999	1
8200504	5	206	4	0.8	5	8000541		1	1	3000003	100	999	1
8200505	5	206	5	0.8	5	8000551		1	1	3000003	120	999	1
8200601	6	206	1	0.8	5	8000622		1	1	3000003	50	999	1
8200602	6	206	2	0.8	5	8000621		1	1	3000003	60	999	1
8200603	6	206	3	0.8	5	8000632		1	1	3000003	80	999	1
8200604	6	206	4	0.8	5	8000641		1	1	3000003	100	999	1
8200605	6	206	5	0.8	5	8000652		1	1	3000003	120	999	1
