id	additionPic	isPercentage	isMinus	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	name2	name2_zh_TW	name2_en_UK	name2_ja_JP	name2_ko_KR	name2_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
101	1	1	0	1	大鱼概率增加_Value	大魚機率增加_Value	Increases Big Catch chance by _Value	大物出現率_Value	월척 확률 _Value 증가	อัตราได้ปลาใหญ่เพิ่มขึ้น _Value	大鱼概率_Value	大魚機率_Value	Big Catch Chance _Value	大物出現率_Value	월척 확률 _Value	อัตราได้ปลาใหญ่ _Value
102	1	1	0	1	_Condition大鱼概率增加_Value	_Condition大魚機率增加_Value	Increases _Condition Big Catch Chance by _Value	_Condition大物出現率＋_Value	_Condition 월척 확률 _Value 증가	อัตรา​ได้​ปลา​ใหญ่​_Condition​เพิ่มขึ้น​ _Value​	_Condition渔场大鱼概率_Value	_Condition漁場大魚機率_Value	Increases Big Catch Chance in the _Condition fishery by _Value	_Condition漁場大物出現率_Value	_Condition 어장 월척 확률 _Value	อัตรา​ได้​ปลา​ใหญ่​ของ​บ่อ​ตกปลา​_Condition​ _Value​
201	2	1	0	1	稀有概率增加_Value	稀有機率增加_Value	Increases Rare Fish chance by _Value	レア出現率＋_Value	희귀 확률 _Value 증가	อัตราความหายากเพิ่มขึ้น _Value	稀有概率_Value	稀有機率_Value	Increases Rare Fish chance by _Value	レア出現率_Value	희귀 확률 _Value	อัตราความหายาก _Value
202	2	1	0	1	_Condition稀有概率增加_Value	_Condition稀有機率增加_Value	Increases Rare Fish chance for _Condition by _Value	_Conditionレア出現率＋_Value	_Condition 희귀 확률 _Value 증가	อัตรา_Conditionหายากเพิ่มขึ้น _Value	_Condition渔场稀有概率_Value	_Condition漁場稀有機率_Value	Increases Rare Fish chance for _Condition fishery by _Value	_Condition漁場レア出現率_Value	_Condition 어장 희귀 확률 _Value	อัตรา​ความ​หา​ยาก​ของ​บ่อ​ตกปลา​_Condition​ _Value​
203		1	0	1	_Condition稀有度出现概率提升_Value	_Condition稀有度出現機率提升_Value	Increases chance for _Condition to appear by _Value	_Conditionレア度出現率＋_Value	_Condition 희귀도 출현 확률 _Value 증가	อัตรา​ปราก​ฎ​_Condition​ระดับ​หา​ยาก​เพิ่มขึ้น​ _Value​	_Condition稀有度出现概率_Value	_Condition稀有度出現機率_Value	The chance for _Condition to appear _Value	_Conditionレア度出現率_Value	_Condition 희귀도 출현 확률 _Value	อัตรา​ปราก​ฎ​_Condition​ระดับ​หา​ยาก​ _Value​
204		1	0	1	_Condition鱼种出现概率提升_Value（鱼饵用	_Condition魚種出現機率提升_Value（魚餌用	Increases _Condition type appearance chance by _Value (bait)	_Condition魚種出現率アップ_Value	_Condition 물고기 종류 출현 확률 _Value 증가(미끼용)	อัตรา​การ​ปราก​ฎ​ของ​พันธุ์​ปลา​_Condition​เพิ่มขึ้น​ _Value​ (​สำหรับ​เหยื่อ​ตกปลา​)​	_Condition鱼种出现概率_Value	_Condition魚種出現機率_Value	Increases _Condition type appearance chance by _Value	_Condition魚種出現率_Value	_Condition 물고기 종류 출현 확률 _Value	อัตรา​การ​ปราก​ฎ​ของ​พันธุ์​ปลา​_Condition​ _Value​
205		1	0	1	_Condition渔场隐藏鱼种出现概率增加_Value（鱼饵用	_Condition漁場隱藏魚種出現機率增加_Value（魚餌用	Increases the chance for mystery fish to appear in _Condition by _Value (bait)	_Condition漁場シークレット魚種出現率アップ_Value	_Condition 어장 히든 물고기 종 출현 확률 _Value 증가(미끼용)	อัตรา​การ​ปราก​ฎ​ของ​พันธุ์​ปลา​ซ่อนเร้น​ใน​บ่อ​ตกปลา​_Condition​เพิ่มขึ้น​ _Value​ (​สำหรับ​เหยื่อ​ตกปลา​)​	_Condition渔场隐藏鱼种出现概率_Value	_Condition漁場隱藏魚種出現機率_Value	The chance for mystery fish to appear in _Condition _Value	_Condition漁場シークレット魚種出現率_Value	_Condition 어장 히든 물고기 종 출현 확률 _Value	อัตรา​การ​ปราก​ฎ​ของ​พันธุ์​ปลา​ซ่อนเร้น​ใน​บ่อ​ตกปลา​_Condition:​ _Value​
206	2	1	0	1												
301	3	1	0	1	对鱼造成_Value面板伤害（拉杆用	對魚造成_Value面板傷害（拉杆用	Deal _Value damage to the fish (fishing rods)	_Valueダメージを魚に与える	울고기에게 _Value 패널 대미지를 가함(낚싯대용)	สร้าง​ดา​เม​จ​แก่​ปลา​ _Value​ ตาม​หน้า​สถานะ​ (​สำหรับ​การ​ดึง​เบ็ด​)​	对鱼造成_Value面板伤害（拉杆用	對魚造成_Value面板傷害（拉杆用	Deal _Value damage to the fish (fishing rods)	_Valueダメージを魚に与える	울고기에게 _Value 패널 대미지를 가함(낚싯대용)	สร้าง​ดา​เม​จ​แก่​ปลา​ _Value​ ตาม​หน้า​สถานะ​ (​สำหรับ​การ​ดึง​เบ็ด​)​
