level	exp	additionType	additionCondition	additionValue	status
int	int	int	int	int	int
1	0	101	0	0.01	1
2	60	101	0	0.02	1
3	120	101	0	0.03	1
4	180	101	0	0.04	1
5	260	101	0	0.05	1
6	360	101	0	0.06	1
7	460	101	0	0.07	1
8	560	101	0	0.08	1
9	660	101	0	0.09	1
10	770	101	0	0.1	1
11	960	101	0	0.11	1
12	1150	101	0	0.12	1
13	1340	101	0	0.13	1
14	1530	101	0	0.14	1
15	1900	101	0	0.15	1
16	2400	101	0	0.16	1
17	2900	101	0	0.17	1
18	3400	101	0	0.18	1
19	3900	101	0	0.19	1
20	4600	101	0	0.2	1
21	5400	101	0	0.21	1
22	6200	101	0	0.22	1
23	7000	101	0	0.23	1
24	7800	101	0	0.24	1
25	8600	101	0	0.25	1
26	9400	101	0	0.26	1
27	10200	101	0	0.27	1
28	11000	101	0	0.28	1
29	11800	101	0	0.29	1
30	12300	101	0	0.3	1
31	14000	101	0	0.31	1
32	15700	101	0	0.32	1
33	17400	101	0	0.33	1
34	19100	101	0	0.34	1
35	20800	101	0	0.35	1
36	22500	101	0	0.36	1
37	24200	101	0	0.37	1
38	25900	101	0	0.38	1
39	27600	101	0	0.39	1
40	30720	101	0	0.4	1
