id	parameter1	parameter2	status
int	int	int	int
1	4		1
2	12		1
3	5		1
4	20		1
5	75		1
6	30;85		1
7	1;2;3;4;5	1;0;0;0;0	1
8	8300011;8100011;8200001;8400012	1;1;20;20	1
9	1.5		1
10	80		1
11	2		1
12	-20		1
13	40		1
14	-50		1
15	8		1
16	1		1
17	8000121	1	1
18	0.2		1
19	2;5		1
20	20		1
21	-5		1
22	0		1
23	1;2;3;4;5;6	0;0;0;0;0;0	1
24	1;2;3;4;5;6	30,50;30,50;30,50;30,50;30,50;30,50	1
25	10000000		1
26	300002	10	1
27	3		1
28	6		1
29	500		1
30	1.5		1
31	0.75;0.35;1		1
32	4198002	20	1
33	1;2;3;4;5	100;100;100;100;100	1
34	3000002	20	1
