id	life	speed	escapeCoefficient	initialDistance	type	escapeBlock	ordinaryBlock	forwardRunTime	forwardRunSpeed	ordinarySpeed	escapeSpeed	distanceLimits	buoySpeed	status
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
8000111	450;500	3	2.1	10	1	0;7;12;15	4;10;14;-1	2.5	0.12	0.1	1	4;1	1;-10;20;-25	1
8000321	450;500	3	2.1	10	1	0;7;12;15	4;10;14;-1	2.5	0.12	0.1	1	4;1	1;-10;20;-25	1
8000121	675;750	3.5	2.2	10	1	0;7;13;17;20	3.5;10.5;16;19;-1	2.5	0.12	0.1	1	4;1	1;-11;22;-27.5	1
8000222	675;750	3.5	2.2	10	1	0;7;13;17;20	3.5;10.5;16;19;-1	2.5	0.12	0.1	1	4;1	1;-11;22;-27.5	1
8000131	900;1000	4	2	10	1	0;6.5;12;17;21;25	3.5;9.5;15;20;23.5;-1	2.5	0.12	0.1	1	4;1	1;-12;24;-30	1
8000422	900;1000	4	2	10	1	0;6.5;12;17;21;25	3.5;9.5;15;20;23.5;-1	2.5	0.12	0.1	1	4;1	1;-12;24;-30	1
8000462	1125;1250	4.5	2	10	1	0;6;11.5;16;21;26;30	3;9.5;14;19;24;29;-1	2.5	0.12	0.1	1	4;1	1;-13;26;-32.5	1
8000151	1125;1250	4.5	2	10	1	0;6;11.5;16;21;26;30	3;9.5;14;19;24;29;-1	2.5	0.12	0.1	1	4;1	1;-13;26;-32.5	1
8000141	1350;1500	5	1.8	10	1	0;6;12;17;21;24;27;30	3;9;15;20;23;26;29;-1	2.5	0.12	0.1	1	4;1	1;-14;28;-35	1
8000161	1350;1500	5	1.8	10	1	0;6;12;17;21;24;27;30	3;9;15;20;23;26;29;-1	2.5	0.12	0.1	1	4;1	1;-14;28;-35	1
8000211	1125;1250	3.8	2.8	15	1	0;7;12;15	4;10;14;-1	2	0.03	0.1	0.7	3;2	1;-11;22;-27.5	1
8000212	1125;1250	3.8	2.8	15	1	0;7;12;15	4;10;14;-1	2	0.03	0.1	0.7	3;2	1;-11;22;-27.5	1
8000221	1350;1500	4.2	2.5	15	1	0;7;13;17;20	3.5;10.5;16;19;-1	2	0.03	0.1	0.7	3;2	1;-12;24;-30	1
8000241	1350;1500	4.2	2.5	15	1	0;7;13;17;20	3.5;10.5;16;19;-1	2	0.03	0.1	0.7	3;2	1;-12;24;-30	1
8000231	1575;1750	4.6	2.5	20	1	0;6.5;12;17;21;25	3.5;9.5;15;20;23.5;-1	2	0.03	0.1	0.7	3;2	1;-13;26;-32.5	1
8000232	1575;1750	4.6	2.5	20	1	0;6.5;12;17;21;25	3.5;9.5;15;20;23.5;-1	2	0.03	0.1	0.7	3;2	1;-13;26;-32.5	1
8000242	1800;2000	5	2.5	20	1	0;6;11.5;16;21;26;30	3;9.5;14;19;24;29;-1	2	0.03	0.1	0.7	3;2	1;-14;28;-35	1
8000251	1800;2000	5	2.5	20	1	0;6;11.5;16;21;26;30	3;9.5;14;19;24;29;-1	2	0.03	0.1	0.7	3;2	1;-14;28;-35	1
8000261	2250;2500	5.6	2	25	1	0;6;12;17;21;24;27;30	3;9;15;20;23;26;29;-1	2	0.03	0.1	0.7	3;2	1;-15;30;-37.5	1
8000733	2250;2500	5.6	2	25	1	0;6;12;17;21;24;27;30	3;9;15;20;23;26;29;-1	2	0.03	0.1	0.7	3;2	1;-15;30;-37.5	1
8000311	1800;2000	5.3	2.4	25	1	0;7;12;15	4;10;14;-1	1.5	0.06	0.1	0.7	2;6	1;-12;24;-30	1
8000312	1800;2000	5.3	2.4	25	1	0;7;12;15	4;10;14;-1	1.5	0.06	0.1	0.7	2;6	1;-12;24;-30	1
8000322	2250;2500	5.7	2.4	30	1	0;7;13;17;20	3.5;10.5;16;19;-1	1.5	0.06	0.1	0.7	2;6	1;-13;26;-32.5	1
8000341	2250;2500	5.7	2.4	30	1	0;7;13;17;20	3.5;10.5;16;19;-1	1.5	0.06	0.1	0.7	2;6	1;-13;26;-32.5	1
8000331	2700;3000	6.1	2.5	30	1	0;6.5;12;17;21;25	3.5;9.5;15;20;23.5;-1	1.5	0.06	0.1	0.7	2;6	1;-14;28;-35	1
8000332	2700;3000	6.1	2.5	30	1	0;6.5;12;17;21;25	3.5;9.5;15;20;23.5;-1	1.5	0.06	0.1	0.7	2;6	1;-14;28;-35	1
8000342	3600;4000	6.5	2.2	35	1	0;6;11.5;16;21;26;30	3;9.5;14;19;24;29;-1	1.5	0.06	0.1	0.7	2;6	1;-15;30;-37.5	1
8000361	3600;4000	6.5	2.2	35	1	0;6;11.5;16;21;26;30	3;9.5;14;19;24;29;-1	1.5	0.06	0.1	0.7	2;6	1;-15;30;-37.5	1
8000351	4500;5000	6.9	2	35	1	0;6;12;17;21;24;27;30	3;9;15;20;23;26;29;-1	1.5	0.06	0.1	0.7	2;6	1;-16;32;-40	1
8000663	4500;5000	6.9	2	35	1	0;6;12;17;21;24;27;30	3;9;15;20;23;26;29;-1	1.5	0.06	0.1	0.7	2;6	1;-16;32;-40	1
8000411	3600;4000	6.7	2.5	35	1	0;7;12;15	4;10;14;-1	1.4	0.05	0.1	0.5	2;8	1;-13;26;-32.5	1
8000421	3600;4000	6.7	2.5	35	1	0;7;12;15	4;10;14;-1	1.4	0.05	0.1	0.5	2;8	1;-13;26;-32.5	1
8000412	4500;5000	7.1	2.5	35	1	0;7;13;17;20	3.5;10.5;16;19;-1	1.4	0.05	0.1	0.5	2;8	1;-14;28;-35	1
8000432	4500;5000	7.1	2.5	35	1	0;7;13;17;20	3.5;10.5;16;19;-1	1.4	0.05	0.1	0.5	2;8	1;-14;28;-35	1
8000431	5400;6000	7.5	2.5	40	1	0;6.5;12;17;21;25	3.5;9.5;15;20;23.5;-1	1.4	0.05	0.1	0.5	2;8	1;-15;30;-37.5	1
8000441	5400;6000	7.5	2.5	40	1	0;6.5;12;17;21;25	3.5;9.5;15;20;23.5;-1	1.4	0.05	0.1	0.5	2;8	1;-15;30;-37.5	1
8000442	6750;7500	7.9	2.4	40	1	0;6;11.5;16;21;26;30	3;9.5;14;19;24;29;-1	1.4	0.05	0.1	0.5	2;8	1;-16;32;-40	1
8000452	6750;7500	7.9	2.4	40	1	0;6;11.5;16;21;26;30	3;9.5;14;19;24;29;-1	1.4	0.05	0.1	0.5	2;8	1;-16;32;-40	1
8000461	8100;9000	8.3	2.2	45	1	0;6;12;17;21;24;27;30	3;9;15;20;23;26;29;-1	1.4	0.05	0.1	0.5	2;8	1;-17;34;-42.5	1
8000752	8100;9000	8.3	2.2	45	1	0;6;12;17;21;24;27;30	3;9;15;20;23;26;29;-1	1.4	0.05	0.1	0.5	2;8	1;-17;34;-42.5	1
8000512	6750;7500	8	2.5	45	1	0;7;12;15	4;10;14;-1	1.5	0.06	0.1	0.7	2;3	1;-14;28;-35	1
8000521	6750;7500	8	2.5	45	1	0;7;12;15	4;10;14;-1	1.5	0.06	0.1	0.7	2;3	1;-14;28;-35	1
8000511	8100;9000	8.4	2.6	45	1	0;7;13;17;20	3.5;10.5;16;19;-1	1.5	0.06	0.1	0.7	2;3	1;-15;30;-37.5	1
8000531	8100;9000	8.4	2.6	45	1	0;7;13;17;20	3.5;10.5;16;19;-1	1.5	0.06	0.1	0.7	2;3	1;-15;30;-37.5	1
8000522	9450;10500	8.8	2.7	50	1	0;6.5;12;17;21;25	3.5;9.5;15;20;23.5;-1	1.5	0.06	0.1	0.7	2;3	1;-16;32;-40	1
