type	id	status
string	string	int
101_101	10101	1
101_102	10102	1
101_103	10103	1
101_201	10104,10105,10106,10107,10108	1
101_202	10109	1
101_203	10110	1
101_204	10111	1
101_301	10112,10113,10114,10115,10116	1
101_302	10117,10118,10119,10120,10121	1
102_101	10201	1
102_102	10202	1
102_103	10203	1
102_201	10204,10205,10206,10207,10208	1
102_202	10209	1
102_203	10210	1
102_204	10211	1
102_301	10212,10213,10214,10215,10216	1
102_302	10217,10218,10219,10220,10221	1
103_101	10301	1
103_102	10302	1
103_103	10303	1
103_201	10304,10305,10306,10307,10308	1
103_202	10309	1
103_203	10310	1
103_204	10311	1
103_301	10312,10313,10314,10315,10316	1
103_302	10317,10318,10319,10320,10321	1
104_101	10401	1
104_102	10402	1
104_103	10403	1
104_201	10404,10405,10406,10407,10408	1
104_202	10409	1
104_203	10410	1
104_204	10411	1
104_301	10412,10413,10414,10415,10416	1
104_302	10417,10418,10419,10420,10421	1
105_101	10501	1
105_102	10502	1
105_103	10503	1
105_201	10504,10505,10506,10507,10508	1
105_202	10509	1
105_203	10510	1
105_204	10511	1
105_301	10512,10513,10514,10515,10516	1
105_302	10517,10518,10519,10520,10521	1
106_101	10601	1
106_102	10602	1
106_103	10603	1
106_201	10604,10605,10606,10607,10608	1
106_202	10609	1
106_203	10610	1
106_204	10611	1
106_301	10612,10613,10614,10615,10616	1
106_302	10617,10618,10619,10620,10621	1
107_101	10701	1
107_102	10702	1
107_103	10703	1
107_201	10704,10705,10706,10707,10708	1
107_202	10709	1
107_203	10710	1
107_204	10711	1
107_301	10712,10713,10714,10715,10716	1
107_302	10717,10718,10719,10720,10721	1
108_101	10801	1
108_102	10802	1
108_103	10803	1
108_201	10804,10805,10806,10807,10808	1
108_202	10809	1
108_203	10810	1
108_204	10811	1
108_301	10812,10813,10814,10815,10816	1
108_302	10817,10818,10819,10820,10821	1
109_101	10901	1
109_102	10902	1
109_103	10903	1
109_201	10904,10905,10906,10907,10908	1
109_202	10909	1
109_203	10910	1
109_204	10911	1
109_301	10912,10913,10914,10915,10916	1
109_302	10917,10918,10919,10920,10921	1
110_101	11001	1
110_102	11002	1
110_103	11003	1
110_201	11004,11005,11006,11007,11008	1
110_202	11009	1
110_203	11010	1
110_204	11011	1
110_301	11012,11013,11014,11015,11016	1
110_302	11017,11018,11019,11020,11021	1
111_101	11101	1
111_102	11102	1
111_103	11103	1
111_201	11104,11105,11106,11107,11108	1
111_202	11109	1
111_203	11110	1
111_204	11111	1
111_301	11112,11113,11114,11115,11116	1
111_302	11117,11118,11119,11120,11121	1
112_101	11201	1
112_102	11202	1
112_103	11203	1
112_201	11204,11205,11206,11207,11208	1
112_202	11209	1
112_203	11210	1
112_204	11211	1
112_301	11212,11213,11214,11215,11216	1
112_302	11217,11218,11219,11220,11221	1
113_101	11301	1
113_102	11302	1
113_103	11303	1
113_201	11304,11305,11306,11307,11308	1
113_202	11309	1
113_203	11310	1
113_204	11311	1
113_301	11312,11313,11314,11315,11316	1
113_302	11317,11318,11319,11320,11321	1
114_101	11401	1
114_102	11402	1
114_103	11403	1
114_201	11404,11405,11406,11407,11408	1
114_202	11409	1
114_203	11410	1
114_204	11411	1
114_301	11412,11413,11414,11415,11416	1
114_302	11417,11418,11419,11420,11421	1
115_101	11501	1
115_102	11502	1
115_103	11503	1
115_201	11504,11505,11506,11507,11508	1
115_202	11509	1
115_203	11510	1
115_204	11511	1
115_301	11512,11513,11514,11515,11516	1
115_302	11517,11518,11519,11520,11521	1
116_101	11601	1
116_102	11602	1
116_103	11603	1
116_201	11604,11605,11606,11607,11608	1
116_202	11609	1
116_203	11610	1
116_204	11611	1
116_301	11612,11613,11614,11615,11616	1
116_302	11617,11618,11619,11620,11621	1
117_101	11701	1
117_102	11702	1
117_103	11703	1
117_201	11704,11705,11706,11707,11708	1
117_202	11709	1
