id	poolId	activityId	stepNum	currentPrice	isEnd	isSSR	discount	SSRNum	status
int	int	int	int	int	int	int	int	int	int
1	120000	112003	1	200	1	0	80	2	1
2	120000	112003	2	400	1	0	60		1
3	120000	112003	3	600	1	0	40		1
4	120000	112003	4	800	1	0	20		1
5	120000	112003	5	1000	0	1	0		1
6	120001	112003	1	500	1	0	50	2	1
7	120001	112003	2	700	1	0	30		1
8	120001	112003	3	1000	0	1	0		1
9	120002	112003	1	500	1	0	50	1	1
10	120002	112003	2	700	1	0	30		1
11	120002	112003	3	1000	0	1	0		1
12	120003	112003	1	500	1	0	50	1	1
13	120003	112003	2	700	1	0	30		1
14	120003	112003	3	1000	0	1	0		1
15	120004	112003	1	500	1	0	50	1	1
16	120004	112003	2	700	1	0	30		1
17	120004	112003	3	1000	0	1	0		1
18	120005	112003	1	500	1	0	50	1	1
19	120005	112003	2	700	1	0	30		1
20	120005	112003	3	1000	0	1	0		1
21	120006	112003	1	500	1	0	50	1	1
22	120006	112003	2	700	1	0	30		1
23	120006	112003	3	1000	0	1	0		1
24	120007	112003	1	500	1	0	50	1	1
25	120007	112003	2	700	1	0	30		1
26	120007	112003	3	1000	0	1	0		1
27	120008	112003	1	500	1	0	50	1	1
28	120008	112003	2	700	1	0	30		1
29	120008	112003	3	1000	0	1	0		1
30	120009	112003	1	500	1	0	50	1	1
31	120009	112003	2	700	1	0	30		1
32	120009	112003	3	1000	0	1	0		1
33	120010	112003	1	500	1	0	50	1	1
34	120010	112003	2	700	1	0	30		1
35	120010	112003	3	1000	0	1	0		1
36	120011	112003	1	500	1	0	50	1	1
37	120011	112003	2	700	1	0	30		1
38	120011	112003	3	1000	0	1	0		1
39	120012	112003	1	500	1	0	50	1	1
40	120012	112003	2	700	1	0	30		1
41	120012	112003	3	1000	0	1	0		1
42	120013	112003	1	500	1	0	50	1	1
43	120013	112003	2	700	1	0	30		1
44	120013	112003	3	1000	0	1	0		1
45	120014	112003	1	500	1	0	50	1	1
46	120014	112003	2	700	1	0	30		1
47	120014	112003	3	1000	0	1	0		1
48	120015	112003	1	500	1	0	50	1	1
49	120015	112003	2	700	1	0	30		1
50	120015	112003	3	1000	0	1	0		1
51	120016	112003	1	500	1	0	50	1	1
52	120016	112003	2	700	1	0	30		1
53	120016	112003	3	1000	0	1	0		1
54	120017	112003	1	500	1	0	50	1	1
55	120017	112003	2	700	1	0	30		1
56	120017	112003	3	1000	0	1	0		1
57	120018	112003	1	500	1	0	50	1	1
58	120018	112003	2	700	1	0	30		1
59	120018	112003	3	1000	0	1	0		1
60	120019	112003	1	500	1	0	50	1	1
61	120019	112003	2	700	1	0	30		1
62	120019	112003	3	1000	0	1	0		1
63	120020	112003	1	500	1	0	50	1	1
64	120020	112003	2	700	1	0	30		1
65	120020	112003	3	1000	0	1	0		1
66	120021	112003	1	500	1	0	50	1	1
67	120021	112003	2	700	1	0	30		1
68	120021	112003	3	1000	0	1	0		1
69	120022	112003	1	500	1	0	50	1	1
70	120022	112003	2	700	1	0	30		1
71	120022	112003	3	1000	0	1	0		1
72	120023	112003	1	500	1	0	50	1	1
73	120023	112003	2	700	1	0	30		1
74	120023	112003	3	1000	0	1	0		1
75	120024	112003	1	500	1	0	50	2	1
76	120024	112003	2	700	1	0	30		1
77	120024	112003	3	1000	0	1	0		1
78	120025	112003	1	500	1	0	50	2	1
79	120025	112003	2	700	1	0	30		1
80	120025	112003	3	1000	0	1	0		1
81	120026	112003	1	500	1	0	50	2	1
82	120026	112003	2	700	1	0	30		1
83	120026	112003	3	1000	0	1	0		1
84	120027	112003	1	500	1	0	50	2	1
85	120027	112003	2	700	1	0	30		1
86	120027	112003	3	1000	0	1	0		1
87	120028	112003	1	500	1	0	50	2	1
88	120028	112003	2	700	1	0	30		1
89	120028	112003	3	1000	0	1	0		1
90	120029	112003	1	500	1	0	50	2	1
91	120029	112003	2	700	1	0	30		1
92	120029	112003	3	1000	0	1	0		1
93	120030	112003	1	500	1	0	50	2	1
94	120030	112003	2	700	1	0	30		1
95	120030	112003	3	1000	0	1	0		1
