id	groupId	type	num	attNum	isPercentage	status	des	des_zh_TW	des_en_UK	des_ja_JP	des_ko_KR	des_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int
1	1	1	1	0.25	1	1	攻击<color="#00fffc">+%d</color>;防御<color="#00fffc">+%d</color>;生命<color="#00fffc">+%d</color>	攻擊<color="#00fffc">+%d</color>;防禦<color="#00fffc">+%d</color>;生命<color="#00fffc">+%d</color>	ATK <color="#00fffc">+%d</color>;DEF <color="#00fffc">+%d</color>;HP <color="#00fffc">+%d</color>	攻撃力<color="#00fffc">＋%d</color>;防御力<color="#00fffc">＋%d</color>;最大HP<color="#00fffc">＋%d</color>	공격력 <color="#00fffc">+%d</color>;방어력 <color="#00fffc">+%d</color>;HP <color="#00fffc">+%d</color>	ATK​ <color="#00fffc">+%d</color>;​ DEF​ <color="#00fffc">+%d</color>;​ HP​ <color="#00fffc">+%d</color>​
2	1	1	2	0.5	1	1	攻击<color="#00fffc">+%d</color>;防御<color="#00fffc">+%d</color>;生命<color="#00fffc">+%d</color>	攻擊<color="#00fffc">+%d</color>;防禦<color="#00fffc">+%d</color>;生命<color="#00fffc">+%d</color>	ATK <color="#00fffc">+%d</color>;DEF <color="#00fffc">+%d</color>;HP <color="#00fffc">+%d</color>	攻撃力<color="#00fffc">＋%d</color>;防御力<color="#00fffc">＋%d</color>;最大HP<color="#00fffc">＋%d</color>	공격력 <color="#00fffc">+%d</color>;방어력 <color="#00fffc">+%d</color>;HP <color="#00fffc">+%d</color>	ATK​ <color="#00fffc">+%d</color>;​ DEF​ <color="#00fffc">+%d</color>;​ HP​ <color="#00fffc">+%d</color>​
3	1	1	3	0.75	1	1	攻击<color="#00fffc">+%d</color>;防御<color="#00fffc">+%d</color>;生命<color="#00fffc">+%d</color>	攻擊<color="#00fffc">+%d</color>;防禦<color="#00fffc">+%d</color>;生命<color="#00fffc">+%d</color>	ATK <color="#00fffc">+%d</color>;DEF <color="#00fffc">+%d</color>;HP <color="#00fffc">+%d</color>	攻撃力<color="#00fffc">＋%d</color>;防御力<color="#00fffc">＋%d</color>;最大HP<color="#00fffc">＋%d</color>	공격력 <color="#00fffc">+%d</color>;방어력 <color="#00fffc">+%d</color>;HP <color="#00fffc">+%d</color>	ATK​ <color="#00fffc">+%d</color>;​ DEF​ <color="#00fffc">+%d</color>;​ HP​ <color="#00fffc">+%d</color>​
4	1	1	4	1	1	1	攻击<color="#00fffc">+%d</color>;防御<color="#00fffc">+%d</color>;生命<color="#00fffc">+%d</color>	攻擊<color="#00fffc">+%d</color>;防禦<color="#00fffc">+%d</color>;生命<color="#00fffc">+%d</color>	ATK <color="#00fffc">+%d</color>;DEF <color="#00fffc">+%d</color>;HP <color="#00fffc">+%d</color>	攻撃力<color="#00fffc">＋%d</color>;防御力<color="#00fffc">＋%d</color>;最大HP<color="#00fffc">＋%d</color>	공격력 <color="#00fffc">+%d</color>;방어력 <color="#00fffc">+%d</color>;HP <color="#00fffc">+%d</color>	ATK​ <color="#00fffc">+%d</color>;​ DEF​ <color="#00fffc">+%d</color>;​ HP​ <color="#00fffc">+%d</color>​
5	1	2	4	1.05	1	1	录入属性提升至<color="#00fffc">%d</color>	錄入屬性提升至<color="#00fffc">%d</color>	Recorded stats increase to <color="#00fffc">%d</color>.	Pending录入属性提升至<color="#00fffc">%d</color>	입력한 속성이 <color="#00fffc">%d</color>까지 증가됩니다	ค่า​คุณสมบัติ​ที่​บันทึก​เพิ่มขึ้น​เป็น​<color="#00fffc">%d</color>​
6	1	2	8	1.1	1	1	录入属性提升至<color="#00fffc">%d</color>	錄入屬性提升至<color="#00fffc">%d</color>	Recorded stats increase to <color="#00fffc">%d</color>.	Pending录入属性提升至<color="#00fffc">%d</color>	입력한 속성이 <color="#00fffc">%d</color>까지 증가됩니다	ค่า​คุณสมบัติ​ที่​บันทึก​เพิ่มขึ้น​เป็น​<color="#00fffc">%d</color>​
7	1	2	12	1.15	1	1	录入属性提升至<color="#00fffc">%d</color>	錄入屬性提升至<color="#00fffc">%d</color>	Recorded stats increase to <color="#00fffc">%d</color>.	Pending录入属性提升至<color="#00fffc">%d</color>	입력한 속성이 <color="#00fffc">%d</color>까지 증가됩니다	ค่า​คุณสมบัติ​ที่​บันทึก​เพิ่มขึ้น​เป็น​<color="#00fffc">%d</color>​
8	1	2	16	1.2	1	1	录入属性提升至<color="#00fffc">%d</color>	錄入屬性提升至<color="#00fffc">%d</color>	Recorded stats increase to <color="#00fffc">%d</color>.	Pending录入属性提升至<color="#00fffc">%d</color>	입력한 속성이 <color="#00fffc">%d</color>까지 증가됩니다	ค่า​คุณสมบัติ​ที่​บันทึก​เพิ่มขึ้น​เป็น​<color="#00fffc">%d</color>​
9	1	2	20	1.25	1	1	录入属性提升至<color="#00fffc">%d</color>	錄入屬性提升至<color="#00fffc">%d</color>	Recorded stats increase to <color="#00fffc">%d</color>.	Pending录入属性提升至<color="#00fffc">%d</color>	입력한 속성이 <color="#00fffc">%d</color>까지 증가됩니다	ค่า​คุณสมบัติ​ที่​บันทึก​เพิ่มขึ้น​เป็น​<color="#00fffc">%d</color>​
