id	ids	status
string	string	int
1_1	1,2,3,4	1
1_2	5,6,7,8,9,10	1
2_1	11,12,13,14	1
2_2	15,16,17,18,19,20	1
3_1	21,22,23,24	1
3_2	25,26,27,28,29,30	1
4_1	31,32,33,34	1
4_2	35,36,37,38,39,40	1
5_1	41,42,43,44	1
5_2	45,46,47,48,49,50	1
6_1	51,52,53,54	1
6_2	55,56,57,58,59,60	1
7_1	61,62,63,64	1
7_2	65,66,67,68,69,70	1
8_1	71,72,73,74	1
8_2	75,76,77,78,79,80	1
9_1	81,82,83,84	1
9_2	85,86,87,88,89,90	1
10_1	91,92,93,94	1
10_2	95,96,97,98,99,100	1
11_1	101,102,103,104	1
11_2	105,106,107,108,109,110	1
12_1	111,112,113,114	1
12_2	115,116,117,118,119,120	1
13_1	121,122,123,124	1
13_2	125,126,127,128,129,130	1
14_1	131,132,133,134	1
14_2	135,136,137,138,139,140	1
15_1	141,142,143,144	1
15_2	145,146,147,148,149,150	1
16_1	151,152,153,154	1
16_2	155,156,157,158,159,160	1
17_1	161,162,163,164	1
17_2	165,166,167,168,169,170	1
18_1	171,172,173,174	1
18_2	175,176,177,178,179,180	1
19_1	181,182,183,184	1
19_2	185,186,187,188,189,190	1
20_1	191,192,193,194	1
20_2	195,196,197,198,199,200	1
21_1	201,202,203,204	1
21_2	205,206,207,208,209,210	1
22_1	211,212,213,214	1
22_2	215,216,217,218,219,220	1
23_1	221,222,223,224	1
23_2	225,226,227,228,229,230	1
201_1	231,232,233,234	1
201_2	235,236,237,238,239,240	1
202_1	241,242,243,244	1
202_2	245,246,247,248,249,250	1
203_1	251,252,253,254	1
203_2	255,256,257,258,259,260	1
204_1	261,262,263,264	1
204_2	265,266,267,268,269,270	1
205_1	271,272,273,274	1
205_2	275,276,277,278,279,280	1
206_1	281,282,283,284	1
206_2	285,286,287,288,289,290	1
207_1	291,292,293,294	1
207_2	295,296,297,298,299,300	1
208_1	301,302,303,304	1
208_2	305,306,307,308,309,310	1
209_1	311,312,313,314	1
209_2	315,316,317,318,319,320	1
210_1	321,322,323,324	1
210_2	325,326,327,328,329,330	1
211_1	331,332,333,334	1
211_2	335,336,337,338,339,340	1
212_1	341,342,343,344	1
212_2	345,346,347,348,349,350	1
213_1	351,352,353,354	1
213_2	355,356,357,358,359,360	1
214_1	361,362,363,364	1
214_2	365,366,367,368,369,370	1
24_1	371,372,373,374	1
24_2	375,376,377,378,379,380	1
25_1	381,382,383,384	1
25_2	385,386,387,388,389,390	1
26_1	391,392,393,394	1
26_2	395,396,397,398,399,400	1
27_1	401,402,403,404	1
27_2	405,406,407,408,409,410	1
