id	ids	status
string	string	int
1_1	1	1
1_2	2	1
1_3	3	1
1_4	4	1
1_5	5	1
1_6	6	1
1_7	7	1
1_8	8	1
1_9	9	1
1_10	10	1
1_11	11	1
1_12	12	1
1_13	13	1
1_14	14	1
1_15	15	1
1_16	16	1
1_17	17	1
1_18	18	1
1_19	19	1
1_20	20	1
1_21	21	1
1_22	22	1
1_23	23	1
1_24	24	1
1_25	25	1
2_1	26	1
2_2	27	1
2_3	28	1
2_4	29	1
2_5	30	1
2_6	31	1
2_7	32	1
2_8	33	1
2_9	34	1
2_10	35	1
2_11	36	1
2_12	37	1
2_13	38	1
2_14	39	1
2_15	40	1
2_16	41	1
2_17	42	1
2_18	43	1
2_19	44	1
2_20	45	1
2_21	46	1
2_22	47	1
2_23	48	1
2_24	49	1
2_25	50	1
3_1	51	1
3_2	52	1
3_3	53	1
3_4	54	1
3_5	55	1
3_6	56	1
3_7	57	1
3_8	58	1
3_9	59	1
3_10	60	1
3_11	61	1
3_12	62	1
3_13	63	1
3_14	64	1
3_15	65	1
3_16	66	1
3_17	67	1
3_18	68	1
3_19	69	1
3_20	70	1
3_21	71	1
3_22	72	1
3_23	73	1
3_24	74	1
3_25	75	1
4_1	76	1
4_2	77	1
4_3	78	1
4_4	79	1
4_5	80	1
4_6	81	1
4_7	82	1
4_8	83	1
4_9	84	1
4_10	85	1
4_11	86	1
4_12	87	1
4_13	88	1
4_14	89	1
4_15	90	1
4_16	91	1
4_17	92	1
4_18	93	1
4_19	94	1
4_20	95	1
4_21	96	1
4_22	97	1
4_23	98	1
4_24	99	1
4_25	100	1
5_1	101	1
5_2	102	1
5_3	103	1
5_4	104	1
5_5	105	1
5_6	106	1
5_7	107	1
5_8	108	1
5_9	109	1
5_10	110	1
5_11	111	1
5_12	112	1
5_13	113	1
5_14	114	1
5_15	115	1
5_16	116	1
5_17	117	1
5_18	118	1
5_19	119	1
5_20	120	1
5_21	121	1
5_22	122	1
5_23	123	1
5_24	124	1
5_25	125	1
