groupId	member1	member2	member3	member4	member5	pic	status	steamStatus	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
201	108008	102001	104005	101005		169:talent_information_team_1	1	1						
202	904041	904006	904001	904002		169:talent_information_team_202	1	1						
203	106001	103019	904043			169:talent_information_team_203	1	1						
204	101008	102008	104003	103008		169:talent_information_team_4	1	1						
205	104008	103002	106008	108004		169:talent_information_team_205	1	1						
206	114008	113008	111008	106010		169:talent_information_team_206	1	1						
207	904005	904022	904010	904020		169:talent_information_team_207	1	1						
208	904031	908002	904026	904034		169:talent_information_team_208	1	1						
209	904015	904025	112008	904009		169:talent_information_team_209	1	1						
210	108006	102021	103021	111002		169:talent_information_team_10	1	1						
211	131008	101013	106002	115008		169:talent_information_team_211	1	1						
212	104001	113001	114001	904014		169:talent_information_team_212	1	1						
213	117008	109008	137008	102007		169:talent_information_team_13	1	1						
214	108001	127008	121008	130008		169:talent_information_team_214	1	1						
