id	type	showType	quality	stack	sellitem	sellMoney	photoId	effectType	effectId	effectNum	effectShowId	effectShowNum	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH	description	description_zh_TW	description_en_UK	description_ja_JP	description_ko_KR	description_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
5099901	50	501	5	-1	0	0	6:goods_icon_503010	201	4101001;4101002;4101003;4101004;4103001;4103002;4103003;4102101;4102102;4102103;4102104;4102105;4102106;4102201;4102202;4102203;4102204;4102205;4102206;4102301;4102302;4102303;4102304;4102305;4102306;4102401;4102402;4102403;4102404;4102405;4102406;4102501;4102502;4102503;4102504;4102505;4102506;4102901;4102902;4102903;4102031;4102021;4102011;4104061;4104062;4104063;4104064;4104065;4104066;4104011;4104012;4104013;4104014;4104015;4104016;4104021;4104022;4104023;4104024;4104025;4104026;4104031;4104032;4104033;4104034;4104035;4104036;4100011;4100021;4100022;4100023;4100024;4100025;4100026;4100031;4100032;4100033;4105011;4105012;4105013;4105014;4105015;4105023;4105022;4105021;4105031;4199001;4199002;4199003;4199004;4198001;4110001;4700177;4700178;4700179;4700180;4700181;4700182;4700186;4700187;4700188;4700189;4700190;4700191;4010851;4010852;4010853;4010854;4010855;4010856;4010451;4010452;4010453;4010454;4010455;4010456;4700192;4700193;4700194;4700195;4700196;4700197;4700198;4700199;4700200;4700201;4700202;4700203	999;999;999;999;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;99;999;99;99;99;99;99;99;99;99;99;999;99;99;99;99;999;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;2;2;2;2;2;2;2;2;2;2;2;2			1																		
5099902	50	501	5	-1	0	0	6:goods_icon_503010	201	101005;101008;101011;101013;102001;102007;102008;102011;102021;103002;103007;103008;103021;103019;104001;104003;104005;104008;105001;105002;105006;105008;106001;106002;106008;106010;107001;107005;107008;108001;108004;108006;108008;110008;111002;111008;112002;112008;113001;113008;114001;114008;904001;904002;904005;904006;904009;904010;904014;904015;904020;904022;904025;904026;904031;904033;904034;904041;904043;908002;109008;115008;117008;121008;127008;130008;131008;103006	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1			1																		
5099903	50	501	5	-1	0	0	6:goods_icon_503010	201	5600001;5600002;5600004;5600008;5600014;5600015;5600016;5600017;5600019;5600021;5600024;5600029;5600030;5600031;5600037;5600040;5600041;5600044;5600049;5600050;5600082;5600083;5600088;5600092;5600093;5600094;5600095;5600096;5600097;5600098;5600099;5600100;5600101;5600102;5600103;5600104;5600105;5600106;5600107;5600108;5600109;5600110;5600111;5600112;5600113;5600114;5600115;5600116;8000151;8000421;8000521;8000141;8000251;8000261;8000351;8000361;8000461;8000452;8000561;8000651;8000552;8000241;8000232;8000432;8000341;8000441;8000332;8000542;8000612;8000531;8000631;8000642;8000661;8000321;8000121;8000131;8000211;8000311	99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99			1																		
5099904	50	501	5	-1	0	0	6:goods_icon_503010	201	5510001;5510002;5510003;5510004;5510005;5510006;5510007;5510008;5510009;5510010;5510011;5510012;5510013;5510014;5510015;5510016;5510017;5510018;5520001;5520002;5520003;5520004;5520005;5520006;5520007;5520008;5520009;5520010;5520011;5520012;5520013;5520014;5520015;5520016;5520017;5520018;5530001;5530002;5530003;5530004;5530005;5530006;5530007;5530008;5530009;5530010;5530011;5530012;5530013;5530014;5530015;5530016;5530017;5530018;5530019;5530020;5530021;5530022;5530023;5530024;5530025;5530026;5530027;5530028;5530029;5530030;5540001;5540002;5540003;5540004;5540005;5540006;5540007;5540008;5540009;5540010;5540011;5540012;5540013;5540014;5540015;5540016;5540017;5540018	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1			1																		
5099905	50	501	5	-1	0	0	6:goods_icon_503010	201	904001;904002;904005;904006;904009;904010;904014;904015;904020;904022;904025;904026;904031;904033;904034;904041;904043;908002	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1			1																		
5099910	50	501	5	-1	0	0	6:goods_icon_503010	201	8602001;8602003;8602004;8602005;8602006;8602007;8602008;8602010;8602011;8602012;8602013;8602014;8602015;8602016;8602017;8602018;8602019;8602020;8602021;8602022;8602023;8602024;8602025;8602026;8602027;8602028;8602029;8602030;8602031;8602032;8602033;8602034;8602035;8602036;8602037;8602038;8602039;8602040;8602041;8602042;8602043;8602044;8602045;8602046;8602047;8602048;8602049;8602050;8602051;8602052;8602053;8602054;8602055;8602056;8602057;8602058;8602059;8602060;8602061;8602062;8602063;8602064;8602065;8602066;8602067;8602068;8602069;8602070;8602071;8602072;8602073;8602075;8602076	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1			1	海外测试用满养成全卡牌	海外測試用滿養成全卡牌	无翻译	/	해외 테스트용 전 카드 만렙	การ์ด​พัฒนา​เต็ม​ทั้งหมด​สำหรับ​ทดสอบ​ใน​ต่างประเทศ​	海外测试用满养成全卡牌	海外測試用滿養成全卡牌	无翻译	/	해외 테스트용 전 카드 만렙	การ์ด​พัฒนา​เต็ม​ทั้งหมด​สำหรับ​ทดสอบ​ใน​ต่างประเทศ​	海外测试用满养成全卡牌	海外測試用滿養成全卡牌	无翻译	/	해외 테스트용 전 카드 만렙	การ์ด​พัฒนา​เต็ม​ทั้งหมด​สำหรับ​ทดสอบ​ใน​ต่างประเทศ​
5001001	50	501	5	-1	0	0	6:goods_icon_503010	202	1001	1			1	海外异步PVP胜利宝箱	海外異步步PVP勝利寶箱	Master Duel Victory Chest	/	해외 비동기 PVP 승리 보물 상자	หีบ​สมบัติ​จาก​การชนะ​ PVP​ แบบ​สู้​กับ​ AI​ ใน​ต่างประเทศ​	海外异步PVP胜利宝箱-不进背包	海外異步PVP勝利寶箱-不進背包	Master Duel Victory Chest	/	해외 비동기 PVP 승리 보물 상자 - 인벤토리에 들어가지 않음	หีบ​สมบัติ​จาก​การชนะ​ PVP​ แบบ​สู้​กับ​ AI​ ใน​ต่างประเทศ​-​ไม่​เข้า​กระเป๋า​	不显示	不顯示	Not Displayed	表示しない	표시하지 않음	ไม่แสดง
5099906	50	501	5	-1	0	0	6:goods_icon_503010	201	4101001;4101002;4101003;4101004;4103001;4103002;4103003;4102101;4102102;4102103;4102104;4102105;4102106;4102201;4102202;4102203;4102204;4102205;4102206;4102301;4102302;4102303;4102304;4102305;4102306;4102401;4102402;4102403;4102404;4102405;4102406;4102501;4102502;4102503;4102504;4102505;4102506;4102901;4102902;4102903;4102031;4102021;4102011;4104061;4104062;4104063;4104064;4104065;4104066;4104011;4104012;4104013;4104014;4104015;4104016;4104021;4104022;4104023;4104024;4104025;4104026;4104031;4104032;4104033;4104034;4104035;4104036;4100011;4100021;4100022;4100023;4100024;4100025;4100026;4100031;4100032;4100033;4105011;4105012;4105013;4105014;4105015;4105023;4105022;4105021;4105031;4199001;4199002;4199003;4199004;4198001;4110001;4700177;4700178;4700179;4700180;4700181;4700182;4700186;4700187;4700188;4700189;4700190;4700191;4010851;4010852;4010853;4010854;4010855;4010856;4010451;4010452;4010453;4010454;4010455;4010456;4700192;4700193;4700194;4700195;4700196;4700197;4700198;4700199;4700200;4700201;4700202;4700203;101005;101008;101011;101013;102001;102007;102008;102011;102021;103002;103007;103008;103021;103019;104001;104003;104005;104008;105001;105002;105006;105008;106001;106002;106008;106010;107001;107005;107008;108001;108004;108006;108008;110008;111002;111008;112002;112008;113001;113008;114001;114008;904001;904002;904005;904006;904009;904010;904014;904015;904020;904022;904025;904026;904031;904033;904034;904041;904043;908002;109008;115008;117008;121008;127008;130008;131008;103006;5600001;5600002;5600004;5600008;5600014;5600015;5600016;5600017;5600019;5600021;5600024;5600029;5600030;5600031;5600037;5600040;5600041;5600044;5600049;5600050;5600082;5600083;5600088;5600092;5600093;5600094;5600095;5600096;5600097;5600098;5600099;5600100;5600101;5600102;5600103;5600104;5600105;5600106;5600107;5600108;5600109;5600110;5600111;5600112;5600113;5600114;5600115;5600116;8000151;8000421;8000521;8000141;8000251;8000261;8000351;8000361;8000461;8000452;8000561;8000651;8000552;8000241;8000232;8000432;8000341;8000441;8000332;8000542;8000612;8000531;8000631;8000642;8000661;8000321;8000121;8000131;8000211;8000311;5510001;5510002;5510003;5510004;5510005;5510006;5510007;5510008;5510009;5510010;5510011;5510012;5510013;5510014;5510015;5510016;5510017;5510018;5520001;5520002;5520003;5520004;5520005;5520006;5520007;5520008;5520009;5520010;5520011;5520012;5520013;5520014;5520015;5520016;5520017;5520018;5530001;5530002;5530003;5530004;5530005;5530006;5530007;5530008;5530009;5530010;5530011;5530012;5530013;5530014;5530015;5530016;5530017;5530018;5530019;5530020;5530021;5530022;5530023;5530024;5530025;5530026;5530027;5530028;5530029;5530030;5540001;5540002;5540003;5540004;5540005;5540006;5540007;5540008;5540009;5540010;5540011;5540012;5540013;5540014;5540015;5540016;5540017;5540018	999;999;999;999;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;99;999;99;99;99;99;99;99;99;99;99;999;99;99;99;99;999;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1			1																		
5000001	50	501	5	-1	0	0	6:goods_icon_5000001	201	4100011;4100021	10000;3280			1	商城测试礼包A	商城測試禮包A	Shop Test Gift Pack A	/	스토어 테스트 패키지A	แพ็กทดสอบมอลล์ A	商城测试礼包A	商城測試禮包A	Shop Test Gift Pack A	/	스토어 테스트 패키지A	แพ็กทดสอบมอลล์ A	商城测试礼包A	商城測試禮包A	Shop Test Gift Pack A	/	스토어 테스트 패키지A	แพ็กทดสอบมอลล์ A
