id	type	showType	quality	stack	openType	openParameter	photoId	effectType	effectId	effectNum	status
int	int	int	int	int	int	int	int	int	int	int	int
8500101	85	851	5				6:goods_icon_8500101				1
8500102	85	851	5				6:goods_icon_8500102				1
8500103	85	851	5				6:goods_icon_8500103				1
8500104	85	851	5				6:goods_icon_8500104				1
8500105	85	851	5				6:goods_icon_8500105				1
8500106	85	851	5				6:goods_icon_8500106				1
8500107	85	851	5				6:goods_icon_8500107				1
8500201	85	851	5				6:goods_icon_8500201				1
8500202	85	851	5				6:goods_icon_8500202				1
8500203	85	851	5				6:goods_icon_8500203				1
8500204	85	851	5				6:goods_icon_8500204				1
8500205	85	851	5				6:goods_icon_8500205				1
8500206	85	851	5				6:goods_icon_8500206				1
8500301	85	851	5				6:goods_icon_8500301				1
8500302	85	851	5				6:goods_icon_8500302				1
8500303	85	851	5				6:goods_icon_8500303				1
8500304	85	851	5				6:goods_icon_8500304				1
8500401	85	851	5				6:goods_icon_8500401				1
8500402	85	851	5				6:goods_icon_8500402				1
8500403	85	851	5				6:goods_icon_8500403				1
8500404	85	851	5				6:goods_icon_8500404				1
8500405	85	851	5				6:goods_icon_8500405				1
8500501	85	851	5				6:goods_icon_8500501				1
8500502	85	851	5				6:goods_icon_8500502				1
8500503	85	851	5				6:goods_icon_8500503				1
8500504	85	851	5				6:goods_icon_8500504				1
8500505	85	851	5				6:goods_icon_8500505				1
