group	id	status
string	string	int
1001	1001001,1001002,1001004,1001005,1001006,1001007,1001008,1001009	1
3000	3000001,3000002,3000003,3000004,3000005	1
10003	1000301,1000302,1000303,1000306,1000307,1000308,1000309,1000310	1
21011	2101101,2101102,2101103,2101104,2101105,2101106,2101107,2101108,2101109,2101110,2101111,2101112,2101113,2101114,2101115,2101116,2101117,2101118	1
21012	2101201,2101202,2101203,2101204,2101205,2101206,2101207,2101208,2101209,2101210,2101211,2101212,2101213,2101214,2101215,2101216,2101217,2101218	1
21013	2101301,2101302,2101303,2101304,2101305,2101306,2101307,2101308,2101309,2101310,2101311,2101312,2101313,2101314,2101315,2101316,2101317,2101318	1
21021	2102101,2102102,2102103,2102104,2102105,2102106,2102107,2102108,2102109,2102110,2102111,2102112,2102113,2102114,2102115,2102116,2102117,2102118	1
21022	2102201,2102202,2102203,2102204,2102205,2102206,2102207,2102208,2102209,2102210,2102211,2102212,2102213,2102214,2102215,2102216,2102217,2102218	1
21023	2102301,2102302,2102303,2102304,2102305,2102306,2102307,2102308,2102309,2102310,2102311,2102312,2102313,2102314,2102315,2102316,2102317,2102318	1
21031	2103101,2103102,2103103,2103104,2103105,2103106,2103107,2103108,2103109,2103110,2103111,2103112,2103113,2103114,2103115,2103116,2103117,2103118	1
21032	2103201,2103202,2103203,2103204,2103205,2103206,2103207,2103208,2103209,2103210,2103211,2103212,2103213,2103214,2103215,2103216,2103217,2103218	1
21033	2103301,2103302,2103303,2103304,2103305,2103306,2103307,2103308,2103309,2103310,2103311,2103312,2103313,2103314,2103315,2103316,2103317,2103318	1
21041	2104101,2104102,2104103,2104104,2104105,2104106,2104107,2104108,2104109,2104110,2104111,2104112,2104113,2104114,2104115,2104116,2104117,2104118	1
21042	2104201,2104202,2104203,2104204,2104205,2104206,2104207,2104208,2104209,2104210,2104211,2104212,2104213,2104214,2104215,2104216,2104217,2104218	1
21043	2104301,2104302,2104303,2104304,2104305,2104306,2104307,2104308,2104309,2104310,2104311,2104312,2104313,2104314,2104315,2104316,2104317,2104318	1
21051	2105101,2105102,2105103,2105104,2105105,2105106,2105107,2105108,2105109,2105110,2105111,2105112,2105113,2105114,2105115,2105116,2105117,2105118	1
21052	2105201,2105202,2105203,2105204,2105205,2105206,2105207,2105208,2105209,2105210,2105211,2105212,2105213,2105214,2105215,2105216,2105217,2105218	1
21053	2105301,2105302,2105303,2105304,2105305,2105306,2105307,2105308,2105309,2105310,2105311,2105312,2105313,2105314,2105315,2105316,2105317,2105318	1
21081	2108101,2108102,2108103,2108104,2108105,2108106,2108107,2108108,2108109,2108110,2108111,2108112,2108113,2108114,2108115,2108116,2108117,2108118	1
21082	2108201,2108202,2108203,2108204,2108205,2108206,2108207,2108208,2108209,2108210,2108211,2108212,2108213,2108214,2108215,2108216,2108217,2108218	1
21083	2108301,2108302,2108303,2108304,2108305,2108306,2108307,2108308,2108309,2108310,2108311,2108312,2108313,2108314,2108315,2108316,2108317,2108318	1
21061	2106101,2106102,2106103,2106104,2106105,2106106	1
21062	2106201,2106202,2106203,2106204,2106205,2106206	1
21063	2106301,2106302,2106303,2106304,2106305,2106306	1
21064	2106401,2106402,2106403,2106404,2106405,2106406	1
21065	2106501,2106502,2106503,2106504,2106505,2106506	1
21071	2107101,2107102,2107103,2107104,2107105,2107106	1
21072	2107201,2107202,2107203,2107204,2107205,2107206	1
21073	2107301,2107302,2107303,2107304,2107305,2107306	1
21074	2107401,2107402,2107403,2107404,2107405,2107406	1
21075	2107501,2107502,2107503,2107504,2107505,2107506	1
21091	2109101,2109102,2109103,2109104,2109105,2109106	1
21092	2109201,2109202,2109203,2109204,2109205,2109206	1
21093	2109301,2109302,2109303,2109304,2109305,2109306	1
21094	2109401,2109402,2109403,2109404,2109405,2109406	1
21095	2109501,2109502,2109503,2109504,2109505,2109506	1
91041	9104101,9104102,9104103,9104104,9104105,9104106	1
91042	9104201,9104202,9104203,9104204,9104205,9104206	1
91043	9104301,9104302,9104303,9104304,9104305,9104306	1
91044	9104401,9104402,9104403,9104404,9104405,9104406	1
91045	9104501,9104502,9104503,9104504,9104505,9104506	1
91081	9108101,9108102,9108103,9108104,9108105,9108106	1
91082	9108201,9108202,9108203,9108204,9108205,9108206	1
91083	9108301,9108302,9108303,9108304,9108305,9108306	1
91084	9108401,9108402,9108403,9108404,9108405,9108406	1
91085	9108501,9108502,9108503,9108504,9108505,9108506	1
91061	9106101,9106102,9106103,9106104,9106105,9106106	1
91062	9106201,9106202,9106203,9106204,9106205,9106206	1
91063	9106301,9106302,9106303,9106304,9106305,9106306	1
91064	9106401,9106402,9106403,9106404,9106405,9106406	1
91065	9106501,9106502,9106503,9106504,9106505,9106506	1
91071	9107101,9107102,9107103,9107104,9107105,9107106	1
91072	9107201,9107202,9107203,9107204,9107205,9107206	1
91073	9107301,9107302,9107303,9107304,9107305,9107306	1
91074	9107401,9107402,9107403,9107404,9107405,9107406	1
91075	9107501,9107502,9107503,9107504,9107505,9107506	1
91091	9109101,9109102,9109103,9109104,9109105,9109106	1
91092	9109201,9109202,9109203,9109204,9109205,9109206	1
91093	9109301,9109302,9109303,9109304,9109305,9109306	1
91094	9109401,9109402,9109403,9109404,9109405,9109406	1
91095	9109501,9109502,9109503,9109504,9109505,9109506	1
21101	2110101,2110102,2110103,2110104,2110105,2110106,2110107,2110108,2110109,2110110,2110111,2110112,2110113,2110114,2110115,2110116,2110117,2110118	1
21102	2110201,2110202,2110203,2110204,2110205,2110206,2110207,2110208,2110209,2110210,2110211,2110212,2110213,2110214,2110215,2110216,2110217,2110218	1
21103	2110301,2110302,2110303,2110304,2110305,2110306,2110307,2110308,2110309,2110310,2110311,2110312,2110313,2110314,2110315,2110316,2110317,2110318	1
21111	2111101,2111102,2111103,2111104,2111105,2111106,2111107,2111108,2111109,2111110,2111111,2111112,2111113,2111114,2111115,2111116,2111117,2111118	1
21112	2111201,2111202,2111203,2111204,2111205,2111206,2111207,2111208,2111209,2111210,2111211,2111212,2111213,2111214,2111215,2111216,2111217,2111218	1
21113	2111301,2111302,2111303,2111304,2111305,2111306,2111307,2111308,2111309,2111310,2111311,2111312,2111313,2111314,2111315,2111316,2111317,2111318	1
21121	2112101,2112102,2112103,2112104,2112105,2112106,2112107,2112108,2112109,2112110,2112111,2112112,2112113,2112114,2112115,2112116,2112117,2112118	1
21122	2112201,2112202,2112203,2112204,2112205,2112206,2112207,2112208,2112209,2112210,2112211,2112212,2112213,2112214,2112215,2112216,2112217,2112218	1
21123	2112301,2112302,2112303,2112304,2112305,2112306,2112307,2112308,2112309,2112310,2112311,2112312,2112313,2112314,2112315,2112316,2112317,2112318	1
21135	2113501,2113502,2113503,2113504,2113505,2113506	1
21145	2114501,2114502,2114503,2114504,2114505,2114506	1
21105	2110501,2110502,2110503,2110504,2110505,2110506	1
21115	2111501,2111502,2111503,2111504,2111505,2111506	1
21125	2112501,2112502,2112503,2112504,2112505,2112506	1
30011	3001101,3001102,3001103	1
4001	4001001,4001002,4001003	1
4002	4002001,4002002,4002003,4002004,4002005,4002006,4002007,4002008,4002009,4002010,4002011,4002012,4002013,4002014,4002015,4002016,4002017,4002018,4002019,4002020,4002021	1
