id	type	showType	quality	stack	openType	openParameter	photoId	thumbnail	CG	effectType	effectId	effectNum	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH	description	description_zh_TW	description_en_UK	description_ja_JP	description_ko_KR	description_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
6810001	68	681	4	0			6:goods_icon_6800101	190:thumb_loading_cg_139_1	57:story_cg_139_1				1	私密相片1	私密相片1	Private Photo 1	シークレットフォト1	비밀 사진1	ภาพถ่ายส่วนตัว 1	获取后，可在战斗加载界面欣赏战斗员私密相片	獲取後，可在戰鬥載入介面欣賞戰鬥員私密相片	After obtaining, you can view Combatants' Private Photos in the battle loading screen.	入手すると戦闘のローディング画面で戦闘員のシークレットフォトを楽しめます。	획득 후, 전투 로딩 화면에서 비밀 사진을 감상할 수 있습니다.	หลัง​ได้รับ​ สามารถ​ชม​ภาพถ่าย​ส่วนตัว​ของ​ตัว​ละครใน​หน้า​ดาวน์โหลด​ได้​						
6810002	68	681	4	0			6:goods_icon_6800102	190:thumb_loading_cg_359_1	57:story_cg_359_1				1	私密相片2	私密相片2	Private Photo 2	シークレットフォト2	비밀 사진2	ภาพถ่ายส่วนตัว 2	获取后，可在战斗加载界面欣赏战斗员私密相片	獲取後，可在戰鬥載入介面欣賞戰鬥員私密相片	After obtaining, you can view Combatants' Private Photos in the battle loading screen.	入手すると戦闘のローディング画面で戦闘員のシークレットフォトを楽しめます。	획득 후, 전투 로딩 화면에서 비밀 사진을 감상할 수 있습니다.	หลัง​ได้รับ​ สามารถ​ชม​ภาพถ่าย​ส่วนตัว​ของ​ตัว​ละครใน​หน้า​ดาวน์โหลด​ได้​						
6810003	68	681	4	0			6:goods_icon_6800103	190:thumb_loading_cg_012_1	57:story_cg_012_1				1	私密相片3	私密相片3	Private Photo 3	シークレットフォト3	비밀 사진3	ภาพถ่ายส่วนตัว 3	获取后，可在战斗加载界面欣赏战斗员私密相片	獲取後，可在戰鬥載入介面欣賞戰鬥員私密相片	After obtaining, you can view Combatants' Private Photos in the battle loading screen.	入手すると戦闘のローディング画面で戦闘員のシークレットフォトを楽しめます。	획득 후, 전투 로딩 화면에서 비밀 사진을 감상할 수 있습니다.	หลัง​ได้รับ​ สามารถ​ชม​ภาพถ่าย​ส่วนตัว​ของ​ตัว​ละครใน​หน้า​ดาวน์โหลด​ได้​						
6810004	68	681	4	0			6:goods_icon_6800104	190:thumb_loading_cg_129_3	57:story_cg_129_3				1	私密相片4	私密相片4	Private Photo 4	シークレットフォト4	비밀 사진4	ภาพถ่ายส่วนตัว 4	获取后，可在战斗加载界面欣赏战斗员私密相片	獲取後，可在戰鬥載入介面欣賞戰鬥員私密相片	After obtaining, you can view Combatants' Private Photos in the battle loading screen.	入手すると戦闘のローディング画面で戦闘員のシークレットフォトを楽しめます。	획득 후, 전투 로딩 화면에서 비밀 사진을 감상할 수 있습니다.	หลัง​ได้รับ​ สามารถ​ชม​ภาพถ่าย​ส่วนตัว​ของ​ตัว​ละครใน​หน้า​ดาวน์โหลด​ได้​						
6810005	68	681	4	0			6:goods_icon_6800105	190:thumb_loading_cg_hefeng_002_1	57:story_cg_hefeng_002_1				1	私密相片5	私密相片5	Private Photo 5	シークレットフォト5	비밀 사진5	ภาพถ่ายส่วนตัว 5	获取后，可在战斗加载界面欣赏战斗员私密相片	獲取後，可在戰鬥載入介面欣賞戰鬥員私密相片	After obtaining, you can view Combatants' Private Photos in the battle loading screen.	入手すると戦闘のローディング画面で戦闘員のシークレットフォトを楽しめます。	획득 후, 전투 로딩 화면에서 비밀 사진을 감상할 수 있습니다.	หลัง​ได้รับ​ สามารถ​ชม​ภาพถ่าย​ส่วนตัว​ของ​ตัว​ละครใน​หน้า​ดาวน์โหลด​ได้​						
6810006	68	681	4	0			6:goods_icon_6800106	190:thumb_loading_cg_307_1	57:story_cg_cg_307_1				1	私密相片6	私密相片6	Private Photo 6	シークレットフォト6	비밀 사진6	ภาพถ่ายส่วนตัว 6	获取后，可在战斗加载界面欣赏战斗员私密相片	獲取後，可在戰鬥載入介面欣賞戰鬥員私密相片	After obtaining, you can view Combatants' Private Photos in the battle loading screen.	入手すると戦闘のローディング画面で戦闘員のシークレットフォトを楽しめます。	획득 후, 전투 로딩 화면에서 비밀 사진을 감상할 수 있습니다.	หลัง​ได้รับ​ สามารถ​ชม​ภาพถ่าย​ส่วนตัว​ของ​ตัว​ละครใน​หน้า​ดาวน์โหลด​ได้​						
6810007	68	681	4	0			6:goods_icon_6800107	190:thumb_loading_cg_077_1	57:story_cg_077_1				1	私密相片7	私密相片7	Private Photo 7	シークレットフォト7	비밀 사진7	ภาพถ่ายส่วนตัว 7	获取后，可在战斗加载界面欣赏战斗员私密相片	獲取後，可在戰鬥載入介面欣賞戰鬥員私密相片	After obtaining, you can view Combatants' Private Photos in the battle loading screen.	入手すると戦闘のローディング画面で戦闘員のシークレットフォトを楽しめます。	획득 후, 전투 로딩 화면에서 비밀 사진을 감상할 수 있습니다.	หลัง​ได้รับ​ สามารถ​ชม​ภาพถ่าย​ส่วนตัว​ของ​ตัว​ละครใน​หน้า​ดาวน์โหลด​ได้​						
6810008	68	681	4	0									1																		
6810009	68	681	4	0									1																		
6810010	68	681	4	0									1																		
6810011	68	681	4	0									1																		
6810012	68	681	4	0									1																		
6810013	68	681	4	0									1																		
6810014	68	681	4	0									1																		
