id	type	showType	quality	stack	openType	openParameter	photoId	thumbnail	CG	effectType	effectId	effectNum	status
int	int	int	int	int	int	int	int	int	int	int	int	int	int
6810001	68	681	4	0			6:goods_icon_6800101	190:thumb_loading_cg_139_1	57:story_cg_139_1				1
6810002	68	681	4	0			6:goods_icon_6800102	190:thumb_loading_cg_359_1	57:story_cg_359_1				1
6810003	68	681	4	0			6:goods_icon_6800103	190:thumb_loading_cg_012_1	57:story_cg_012_1				1
6810004	68	681	4	0			6:goods_icon_6800104	190:thumb_loading_cg_129_3	57:story_cg_129_3				1
6810005	68	681	4	0			6:goods_icon_6800105	190:thumb_loading_cg_hefeng_002_1	57:story_cg_hefeng_002_1				1
6810006	68	681	4	0			6:goods_icon_6800106	190:thumb_loading_cg_307_1	57:story_cg_cg_307_1				1
6810007	68	681	4	0			6:goods_icon_6800107	190:thumb_loading_cg_077_1	57:story_cg_077_1				1
6810008	68	681	4	0									1
6810009	68	681	4	0									1
6810010	68	681	4	0									1
6810011	68	681	4	0									1
6810012	68	681	4	0									1
6810013	68	681	4	0									1
6810014	68	681	4	0									1
