id	type	showType	quality	stack	openType	openParameter	effectType	effectId	effectNum	photoId	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	role	role_zh_TW	role_en_UK	role_ja_JP	role_ko_KR	role_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH	description	description_zh_TW	description_en_UK	description_ja_JP	description_ko_KR	description_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
10100801	1000	10001	3	1			0	0	0	18:card_icon_101008_1	1	自由轮滑	自由輪滑	Freestyle Skater	フリースケーティング	프리 스케이팅	โรลเลอร์เบลด	非天	非天	Asura	アスラ	아수라	อาสึระ	非天的自由轮滑。	非天的自由輪滑。	Asura: Freestyle Skater.	アスラ･フリースケーティング。	아수라의 프리 스케이팅	อาสึระ: โรลเลอร์เบลด	已录入E-Artifact的绪晶装备，由Moonstone开发，可以有效地对抗傀。	已錄入E-Artifact的緒晶裝備，由Moonstone開發，可以有效地對抗傀。	A piece of Pathite equipment registered in the E-Artifact system, developed by Moonstone. It is effective in combat against Anomalies.	ムーンストーン(Moonstone)により開発され、E-Artifactに収録されている緒晶装備。傀化物との戦闘でその威力を発揮する。	E-Artifact에 입력된 이모션 크리스털 장비는 Moonstone으로 개발하며, 퍼펫에게 효과적으로 대항할 수 있다.	อุปกรณ์​พา​ไธต์​ที่​บันทึก​ข้อมูล​ E-Artifact​ ไว้​แล้ว​ พัฒนา​โดย​ Moonstone​ สามารถ​ใช้​ต่อสู้​กับ​หุ่นเชิด​ได้​อย่าง​มีประสิทธิภาพ​
10101101	1000	10001	3	1			0	0	0	18:card_icon_101011_1	1	棒球龙魂	棒球龍魂	Blaze Battler	ドラゴンストライク	드래곤 베이스볼	ดราก้อนสไตรค์	非天	非天	Asura	アスラ	아수라	อาสึระ	非天的棒球龙魂。	非天的棒球龍魂。	Asura: Blaze Battler	アスラ･ドラゴンストライク。	아수라의 드래곤 베이스볼	อาสึระ: ดราก้อนสไตรค์	已录入E-Artifact的绪晶装备，由Moonstone开发，可以有效地对抗傀。	已錄入E-Artifact的緒晶裝備，由Moonstone開發，可以有效地對抗傀。	A piece of Pathite equipment registered in the E-Artifact system, developed by Moonstone. It is effective in combat against Anomalies.	ムーンストーン(Moonstone)により開発され、E-Artifactに収録されている緒晶装備。傀化物との戦闘でその威力を発揮する。	E-Artifact에 입력된 이모션 크리스털 장비는 Moonstone으로 개발하며, 퍼펫에게 효과적으로 대항할 수 있다.	อุปกรณ์​พา​ไธต์​ที่​บันทึก​ข้อมูล​ E-Artifact​ ไว้​แล้ว​ พัฒนา​โดย​ Moonstone​ สามารถ​ใช้​ต่อสู้​กับ​หุ่นเชิด​ได้​อย่าง​มีประสิทธิภาพ​
10100501	1000	10001	3	1			0	0	0	18:card_icon_101005_1	1	涂鸦战争	塗鴉戰爭	Scribble Scramble	グラフィティ戦争	그래피티	สงครามกราฟฟิตี	非天	非天	Asura	アスラ	아수라	อาสึระ	非天的涂鸦战争。	非天的塗鴉戰爭。	Asura: Scribble Scramble	アスラ･グラフィティ戦争。	아수라의 그래피티	อาสึระ: สงครามกราฟฟิตี	已录入E-Artifact的绪晶装备，由Moonstone开发，可以有效地对抗傀。	已錄入E-Artifact的緒晶裝備，由Moonstone開發，可以有效地對抗傀。	A piece of Pathite equipment registered in the E-Artifact system, developed by Moonstone. It is effective in combat against Anomalies.	ムーンストーン(Moonstone)により開発され、E-Artifactに収録されている緒晶装備。傀化物との戦闘でその威力を発揮する。	E-Artifact에 입력된 이모션 크리스털 장비는 Moonstone으로 개발하며, 퍼펫에게 효과적으로 대항할 수 있다.	อุปกรณ์​พา​ไธต์​ที่​บันทึก​ข้อมูล​ E-Artifact​ ไว้​แล้ว​ พัฒนา​โดย​ Moonstone​ สามารถ​ใช้​ต่อสู้​กับ​หุ่นเชิด​ได้​อย่าง​มีประสิทธิภาพ​
10101301	1000	10001	3	1			0	0	0	18:card_icon_101013_1	1	森林守护者	森林守護者	Forest Ranger	森の守護者	포레스트 가디언	ผู้พิทักษ์แห่งป่า	非天	非天	Asura	アスラ	아수라	อาสึระ	非天的森林守护者。	非天的森林守護者。	Asura: Forest Ranger	アスラ･森の守護者。	아수라의 포레스트 가디언	อาสึระ: ผู้พิทักษ์แห่งป่า	已录入E-Artifact的绪晶装备，由Moonstone开发，可以有效地对抗傀。	已錄入E-Artifact的緒晶裝備，由Moonstone開發，可以有效地對抗傀。	A piece of Pathite equipment registered in the E-Artifact system, developed by Moonstone. It is effective in combat against Anomalies.	ムーンストーン(Moonstone)により開発され、E-Artifactに収録されている緒晶装備。傀化物との戦闘でその威力を発揮する。	E-Artifact에 입력된 이모션 크리스털 장비는 Moonstone으로 개발하며, 퍼펫에게 효과적으로 대항할 수 있다.	อุปกรณ์​พา​ไธต์​ที่​บันทึก​ข้อมูล​ E-Artifact​ ไว้​แล้ว​ พัฒนา​โดย​ Moonstone​ สามารถ​ใช้​ต่อสู้​กับ​หุ่นเชิด​ได้​อย่าง​มีประสิทธิภาพ​
10101302	1000	10001	4	1	807		0	0	0	18:card_icon_10101302_1	1	森林守护者·漆夜	森林守護者·漆夜	Forest Ranger (Nightfall)	森の守護者 -黒夜-	포레스트 가디언·다크	ราตรี	非天	非天	Asura	アスラ	아수라	อาสึระ	非天的森林守护者。	非天的森林守護者。	Asura: Forest Ranger	アスラ･森の守護者。	아수라의 포레스트 가디언	อาสึระ: ผู้พิทักษ์แห่งป่า	已录入E-Artifact的绪晶装备，由Moonstone开发，可以有效地对抗傀。	已錄入E-Artifact的緒晶裝備，由Moonstone開發，可以有效地對抗傀。	A piece of Pathite equipment registered in the E-Artifact system, developed by Moonstone. It is effective in combat against Anomalies.	ムーンストーン(Moonstone)により開発され、E-Artifactに収録されている緒晶装備。傀化物との戦闘でその威力を発揮する。	E-Artifact에 입력된 이모션 크리스털 장비는 Moonstone으로 개발하며, 퍼펫에게 효과적으로 대항할 수 있다.	อุปกรณ์​พา​ไธต์​ที่​บันทึก​ข้อมูล​ E-Artifact​ ไว้​แล้ว​ พัฒนา​โดย​ Moonstone​ สามารถ​ใช้​ต่อสู้​กับ​หุ่นเชิด​ได้​อย่าง​มีประสิทธิภาพ​
10200801	1000	10001	3	1			0	0	0	18:card_icon_102008_1	1	机械助理	機械助理	Mechanicat	アシスタントロボット	머신 어시스턴트	เหมียวเครื่องกล	艾可	艾可	Echo	アイコ	에코	เอคโค	艾可的机械助理。	艾可的機械助理。	Echo: Mechanicat	アイコ･アシスタントロボット。	에코의 머신 어시스턴트	เอคโค: เหมียวเครื่องกล	已录入E-Artifact的绪晶装备，由Moonstone开发，可以有效地对抗傀。	已錄入E-Artifact的緒晶裝備，由Moonstone開發，可以有效地對抗傀。	A piece of Pathite equipment registered in the E-Artifact system, developed by Moonstone. It is effective in combat against Anomalies.	ムーンストーン(Moonstone)により開発され、E-Artifactに収録されている緒晶装備。傀化物との戦闘でその威力を発揮する。	E-Artifact에 입력된 이모션 크리스털 장비는 Moonstone으로 개발하며, 퍼펫에게 효과적으로 대항할 수 있다.	อุปกรณ์​พา​ไธต์​ที่​บันทึก​ข้อมูล​ E-Artifact​ ไว้​แล้ว​ พัฒนา​โดย​ Moonstone​ สามารถ​ใช้​ต่อสู้​กับ​หุ่นเชิด​ได้​อย่าง​มีประสิทธิภาพ​
10200701	1000	10001	3	1			0	0	0	18:card_icon_102007_1	1	电音骑士	電音騎士	Sparkle Rider	ポップナイト	EDM 여신	เหมียวนักบิด	艾可	艾可	Echo	アイコ	에코	เอคโค	艾可的电音骑士。	艾可的電音騎士。	Echo: Sparkle Rider	アイコ･ポップナイト。	에코의 EDM 여신	เอคโค: เหมียวนักบิด	已录入E-Artifact的绪晶装备，由Moonstone开发，可以有效地对抗傀。	已錄入E-Artifact的緒晶裝備，由Moonstone開發，可以有效地對抗傀。	A piece of Pathite equipment registered in the E-Artifact system, developed by Moonstone. It is effective in combat against Anomalies.	ムーンストーン(Moonstone)により開発され、E-Artifactに収録されている緒晶装備。傀化物との戦闘でその威力を発揮する。	E-Artifact에 입력된 이모션 크리스털 장비는 Moonstone으로 개발하며, 퍼펫에게 효과적으로 대항할 수 있다.	อุปกรณ์​พา​ไธต์​ที่​บันทึก​ข้อมูล​ E-Artifact​ ไว้​แล้ว​ พัฒนา​โดย​ Moonstone​ สามารถ​ใช้​ต่อสู้​กับ​หุ่นเชิด​ได้​อย่าง​มีประสิทธิภาพ​
10201101	1000	10001	3	1			0	0	0	18:card_icon_102011_1	1	摇鳐心情	搖鰩心情	Marine Maverick	バイオニックエイ	마인드 셰이커	ผู้พิทักษ์วารี	艾可	艾可	Echo	アイコ	에코	เอคโค	艾可的摇鳐心情。	艾可的搖鰩心情。	Echo: Marine Maverick	アイコ･バイオニックエイ。	에코의 마인드 셰이커	เอคโค: ผู้พิทักษ์วารี	已录入E-Artifact的绪晶装备，由Moonstone开发，可以有效地对抗傀。	已錄入E-Artifact的緒晶裝備，由Moonstone開發，可以有效地對抗傀。	A piece of Pathite equipment registered in the E-Artifact system, developed by Moonstone. It is effective in combat against Anomalies.	ムーンストーン(Moonstone)により開発され、E-Artifactに収録されている緒晶装備。傀化物との戦闘でその威力を発揮する。	E-Artifact에 입력된 이모션 크리스털 장비는 Moonstone으로 개발하며, 퍼펫에게 효과적으로 대항할 수 있다.	อุปกรณ์​พา​ไธต์​ที่​บันทึก​ข้อมูล​ E-Artifact​ ไว้​แล้ว​ พัฒนา​โดย​ Moonstone​ สามารถ​ใช้​ต่อสู้​กับ​หุ่นเชิด​ได้​อย่าง​มีประสิทธิภาพ​
10200101	1000	10001	3	1			0	0	0	18:card_icon_102001_1	1	星之愿	星之愿	Stargazer	星に願いを	별의 기원	สตาร์เกซเซอร์	艾可	艾可	Echo	アイコ	에코	เอคโค	艾可的星之愿。	艾可的星之愿。	Echo: Stargazer	アイコ･星に願いを。	에코의 별의 기원	เอคโค: สตาร์เกซเซอร์	已录入E-Artifact的绪晶装备，由Moonstone开发，可以有效地对抗傀。	已錄入E-Artifact的緒晶裝備，由Moonstone開發，可以有效地對抗傀。	A piece of Pathite equipment registered in the E-Artifact system, developed by Moonstone. It is effective in combat against Anomalies.	ムーンストーン(Moonstone)により開発され、E-Artifactに収録されている緒晶装備。傀化物との戦闘でその威力を発揮する。	E-Artifact에 입력된 이모션 크리스털 장비는 Moonstone으로 개발하며, 퍼펫에게 효과적으로 대항할 수 있다.	อุปกรณ์​พา​ไธต์​ที่​บันทึก​ข้อมูล​ E-Artifact​ ไว้​แล้ว​ พัฒนา​โดย​ Moonstone​ สามารถ​ใช้​ต่อสู้​กับ​หุ่นเชิด​ได้​อย่าง​มีประสิทธิภาพ​
