id	talentId	level	attAddTypeId	param1	param2	param3	attAddNum	buffId	costItem	costNum	combat	status	descrp	descrp_zh_TW	descrp_en_UK	descrp_ja_JP	descrp_ko_KR	descrp_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1	1010101	1	1	2	3		0.01	60101001_1	4119001	1	6	1	绿色情绪战斗员克制伤害提升_num_	綠色情緒戰鬥員克制傷害提升_num_	Counter DMG dealt by Green Pathos Combatant +_num_	グリーン属性の戦闘員の有利属性ダメージ＋_num_	그린 이모션 전투원 역상성 대미지 +_num_	ดา​เม​จ​ชนะ​ทาง​ของ​ตัวละคร​พา​โธส​เขียว​ +_num_​
2	1010101	2	1	2	3		0.02	60101001_2	4119001	1	9	1	绿色情绪战斗员克制伤害提升_num_	綠色情緒戰鬥員克制傷害提升_num_	Counter DMG dealt by Green Pathos Combatant +_num_	グリーン属性の戦闘員の有利属性ダメージ＋_num_	그린 이모션 전투원 역상성 대미지 +_num_	ดา​เม​จ​ชนะ​ทาง​ของ​ตัวละคร​พา​โธส​เขียว​ +_num_​
3	1010101	3	1	2	3		0.03	60101001_3	4119001	2	12	1	绿色情绪战斗员克制伤害提升_num_	綠色情緒戰鬥員克制傷害提升_num_	Counter DMG dealt by Green Pathos Combatant +_num_	グリーン属性の戦闘員の有利属性ダメージ＋_num_	그린 이모션 전투원 역상성 대미지 +_num_	ดา​เม​จ​ชนะ​ทาง​ของ​ตัวละคร​พา​โธส​เขียว​ +_num_​
4	1010101	4	1	2	3		0.04	60101001_4	4119001	2	14	1	绿色情绪战斗员克制伤害提升_num_	綠色情緒戰鬥員克制傷害提升_num_	Counter DMG dealt by Green Pathos Combatant +_num_	グリーン属性の戦闘員の有利属性ダメージ＋_num_	그린 이모션 전투원 역상성 대미지 +_num_	ดา​เม​จ​ชนะ​ทาง​ของ​ตัวละคร​พา​โธส​เขียว​ +_num_​
5	1010101	5	1	2	3		0.05	60101001_5	4119001	3	16	1	绿色情绪战斗员克制伤害提升_num_	綠色情緒戰鬥員克制傷害提升_num_	Counter DMG dealt by Green Pathos Combatant +_num_	グリーン属性の戦闘員の有利属性ダメージ＋_num_	그린 이모션 전투원 역상성 대미지 +_num_	ดา​เม​จ​ชนะ​ทาง​ของ​ตัวละคร​พา​โธส​เขียว​ +_num_​
6	1010102	1	1	1	2		0.01	60201001_1	4119001	1	6	1	红色情绪战斗员克制伤害提升_num_	紅色情緒戰鬥員克制傷害提升_num_	Counter DMG dealt by Red Pathos Combatant +_num_	レッド属性の戦闘員の有利属性ダメージ＋_num_	레드 이모션 전투원 역상성 대미지 +_num_	ดา​เม​จ​ชนะ​ทาง​ของ​ตัวละคร​พา​โธส​แดง​ +_num_​
7	1010102	2	1	1	2		0.02	60201001_2	4119001	1	9	1	红色情绪战斗员克制伤害提升_num_	紅色情緒戰鬥員克制傷害提升_num_	Counter DMG dealt by Red Pathos Combatant +_num_	レッド属性の戦闘員の有利属性ダメージ＋_num_	레드 이모션 전투원 역상성 대미지 +_num_	ดา​เม​จ​ชนะ​ทาง​ของ​ตัวละคร​พา​โธส​แดง​ +_num_​
8	1010102	3	1	1	2		0.03	60201001_3	4119001	2	12	1	红色情绪战斗员克制伤害提升_num_	紅色情緒戰鬥員克制傷害提升_num_	Counter DMG dealt by Red Pathos Combatant +_num_	レッド属性の戦闘員の有利属性ダメージ＋_num_	레드 이모션 전투원 역상성 대미지 +_num_	ดา​เม​จ​ชนะ​ทาง​ของ​ตัวละคร​พา​โธส​แดง​ +_num_​
9	1010102	4	1	1	2		0.04	60201001_4	4119001	2	14	1	红色情绪战斗员克制伤害提升_num_	紅色情緒戰鬥員克制傷害提升_num_	Counter DMG dealt by Red Pathos Combatant +_num_	レッド属性の戦闘員の有利属性ダメージ＋_num_	레드 이모션 전투원 역상성 대미지 +_num_	ดา​เม​จ​ชนะ​ทาง​ของ​ตัวละคร​พา​โธส​แดง​ +_num_​
