talentId	type	floor	location	preId	preLevel	iconType	icon	map_line	systemId	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	nameDes	nameDes_zh_TW	nameDes_en_UK	nameDes_ja_JP	nameDes_ko_KR	nameDes_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1010101	3	1	1			0	169:talent_restrain	Line_3_3_0		1	克制增强·绿I	克制增強·綠I	Counter Boost - Green I	有利属性アップ･グリーンI	상성 증가·그린I	เสริมพลังพาโธส·เขียว I	对蓝色情绪克制加成	對藍色情緒克制加成	Counter Bonus against Blue Pathos.	ブルー属性に対する有利アップ	블루 이모션에 대한 상성 증가	โบนัสชนะทางพาโธสสีน้ำเงิน
1010102	3	1	2			0	169:talent_restrain	Line_3_3_0		1	克制增强·红I	克制增強·紅I	Counter Boost - Red I	有利属性アップ･レッドI	상성 증가·레드I	เสริมพลังพาโธส·แดง I	对绿色情绪克制加成	對綠色情緒克制加成	Counter Bonus against Green Pathos.	グリーン属性に対する有利アップ	그린 이모션에 대한 상성 증가	โบนัสชนะทางพาโธสสีเขียว
1010103	3	1	3			0	169:talent_restrain	Line_3_3_0		1	克制增强·蓝I	克制增強·藍I	Counter Boost - Blue I	有利属性アップ･ブルーI	상성 증가·블루I	เสริมพลังพาโธส·น้ำเงิน I	对红色情绪克制加成	對紅色情緒克制加成	Counter Bonus against Red Pathos.	レッド属性に対する有利アップ	레드 이모션에 대한 상성 증가	โบนัสชนะทางพาโธสสีแดง
1010201	3	2	1	1010101	1	0	169:talent_restrain	Line_3_1_0		1	被红克制降低I	被紅克制降低I	Red Pathos Counter Down I	有利属性ダウン･レッドI	레드 이모션에 의한 역상성 디버프I	แพ้ทางสีแดงลดลง I	受红色情绪克制降低	受紅色情緒克制降低	DMG taken from Red Pathos enemies reduced.	レッド属性による有利ダウン	레드 이모션에 의한 역상성 디버프	แพ้ทางพาโธสสีแดงลดลง
1010202	3	2	2	1010102	1	0	169:talent_restrain	Line_3_1_0		1	被蓝克制降低I	被藍克制降低I	Blue Pathos Counter Down I	有利属性ダウン･ブルーI	블루 이모션에 의한 역상성 디버프I	แพ้ทางสีน้ำเงินลดลง I	受蓝色情绪克制降低	受藍色情緒克制降低	DMG taken from Blue Pathos enemies reduced.	ブルー属性による有利ダウン	블루 이모션에 의한 역상성 디버프	การแพ้ทางพาโธสสีน้ำเงินลดลง
1010203	3	2	3	1010103	1	0	169:talent_restrain	Line_3_1_0		1	被绿克制降低I	被綠克制降低I	Green Pathos Counter Down I	有利属性ダウン･グリーンI	그린 이모션에 의한 역상성 디버프I	แพ้ทางสีเขียวลดลง I	受绿色情绪克制降低	受綠色情緒克制降低	DMG taken from Green Pathos enemies reduced.	グリーン属性による有利ダウン	그린 이모션에 의한 역상성 디버프	การแพ้ทางพาโธสสีเขียวลดลง
1010301	3	3	1	1010201;1010202;1010203	1;1;1	1	169:talent_relation	Line_1_3_0		1	助战提升I	助戰提升I	Assist Bonus I	サポートボーナスI	서포터 버프I	ซัพพอร์ตเพิ่มขึ้น I	助战位属性加成	助戰位屬性加成	The Assist Combatants will get stats bonus.	支援属性アップ	서포터 속성 버프	โบนัสคุณสมบัติช่องซัพพอร์ต
1010401	3	4	1	1010301	1	0	169:talent_restrain	Line_3_3_0		1	克制增强·绿II	克制增強·綠II	Counter Boost - Green II	有利属性アップ･グリーンII	상성 증가·그린II	เสริมพลังพาโธส·เขียว II	对蓝色情绪克制加成	對藍色情緒克制加成	Counter Bonus against Blue Pathos.	ブルー属性に対する有利アップ	블루 이모션에 대한 상성 증가	โบนัสชนะทางพาโธสสีน้ำเงิน
1010402	3	4	2	1010301	1	0	169:talent_restrain	Line_3_3_0		1	克制增强·红II	克制增強·紅II	Counter Boost - Red II	有利属性アップ･レッドII	상성 증가·레드II	เสริมพลังพาโธส·แดง II	对绿色情绪克制加成	對綠色情緒克制加成	Counter Bonus against Green Pathos.	グリーン属性に対する有利アップ	그린 이모션에 대한 상성 증가	โบนัสชนะทางพาโธสสีเขียว
