key	ids	status
string	string	int
101	101005,101006,101008,101011,101013,101002	1
102	102001,102007,102008,102011,102013,102021,102005,102017,102010	1
103	103002,103006,103007,103008,103021,103019,103012,103005,103010,103011	1
104	104001,104003,104004,104005,104008,104002	1
105	105001,105002,105006,105008,105004	1
106	106001,106002,106008,106010,106009,106005	1
107	107001,107005,107008,107010	1
108	108001,108004,108006,108008,108009	1
110	110008	1
111	111002,111008	1
112	112002,112008	1
113	113001,113008	1
114	114001,114008	1
904	904001,904002,904005,904006,904009,904010,904014,904015,904020,904022,904025,904026,904031,904033,904034,904041,904043	1
908	908002	1
109	109008	1
115	115008	1
117	117008	1
121	121008	1
127	127008	1
130	130008	1
131	131008,131001	1
116	116001	1
137	137008	1
129	129008,129001	1
140	140008	1
128	128008	1
160	160008	1
161	161008	1
156	156008	1
157	157008	1
158	158008	1
132	132008	1
162	162008	1
163	163008	1
145	145008	1
155	155008	1
164	164008	1
165	165008	1
144	144002	1
135	135002	1
166	166008	1
167	167008	1
170	170008	1
169	169008	1
171	171008	1
172	172008	1
173	173008	1
