id	grade	starPVP	headPortrait	headFrame	playerLevel	ranksId	fraction	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	playerName	playerName_zh_TW	playerName_en_UK	playerName_ja_JP	playerName_ko_KR	playerName_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1	1	1	6200001	6200002	32	20001	1000	1	E	E	E	E	E	E	土豆大使	大使降臨	PotatoAmbassador	ジャガイモ	감자 사부	ทูตมันฝรั่ง
2	1	1	6200001	6200002	32	20001	1000	1	E	E	E	E	E	E	阿这这这＆	阿這這這	TTTTTHIS&	蒼真	하와와	อ่ะนี่นี่นี่ &
3	1	1	6200001	6200002	32	20003	1000	1	E	E	E	E	E	E	未雨清风。	未雨清風	ClearWinds	囚人の大無田	미우청풍	ลมเย็นที่ไร้ฝน
4	1	1	6200001	6200002	32	20004	1000	1	E	E	E	E	E	E	隔壁老六@	隔壁老六	DudeNextDoor@	隣人さん	이웃집 킬러@	เพื่อนบ้าน​เจ้าเล่ห์​ @​
5	1	1	6200001	6200002	32	20006	1000	1	E	E	E	E	E	E	立珑	立瓏	Sparklie	陽鴉ファンタズム	입롱	หลี่หลง
6	1	1	6200001	6200002	32	20006	1000	1	E	E	E	E	E	E	瑜邶	瑜邶	NorthCrystal	ブレスド	옥패	อี้เป่ย
7	1	1	6200001	6200002	32	20006	1000	1	E	E	E	E	E	E	飞夜枭	飛夜梟	NightOwl	フクロウ	올빼미	นกฮูกราตรี
8	1	1	6200001	6200002	32	20008	1000	1	E	E	E	E	E	E	愈发珍重Df	且行且珍重	PreciousDf	ふろ対策本部	가장 소중한 건 자유	ยิ่งรักยิ่งหวงแหน Df
9	1	1	6200001	6200002	32	20008	1000	1	E	E	E	E	E	E	分开是痛bC	分開是痛	PainofSeparationbC	三葉	이별은 슬픈 바보	การ​แยกจาก​คือ​ความเจ็บปวด​ bC​
10	1	1	6200001	6200002	32	20006	1000	1	E	E	E	E	E	E	岷丶	岷丶	Min	すみい	민	หมิน
11	2	1	6200001	6200002	32	20011	1500	1	D	D	D	D	D	D	半仙儿木子茶	半仙兒木子茶	GodtierTea	ちゃはら	하프 페어리 티	ชาครึ่งเซียน
12	2	1	6200001	6200002	32	20011	1500	1	D	D	D	D	D	D	时间简史密斯	時間史密斯	TimeSmith	スミース	타임 제인 스미스	สมิธแห่งกาลเวลา
13	2	1	6200001	6200002	32	20013	1500	1	D	D	D	D	D	D	1根懒骨头	1根懶骨頭	LazyBones1	良太	게으름뱅이1	กระดูกขี้เกียจ 1 ชิ้น
14	2	1	6200001	6200002	32	20014	1500	1	D	D	D	D	D	D	枫花雪	楓花雪	MapleSnow	雪月花	메이플 스노우	ใบเมเปิล
15	2	1	6200001	6200002	32	20006	1500	1	D	D	D	D	D	D	爱李丁阳	李丁陽	LidinYang	雪月花	에르디나	รักในลี่ติงหยาง
16	2	1	6200001	6200002	32	20016	1500	1	D	D	D	D	D	D	一位路过的可莉	一位路過的羅莉	KaliPassing	コリーヌ	지나가는 콜리	เค​ล​ลี่​คน​หนึ่ง​ที่​ผ่าน​ทาง​มา​
17	2	1	6200001	6200002	32	20006	1500	1	D	D	D	D	D	D						
18	2	1	6200001	6200002	32	20018	1500	1	D	D	D	D	D	D	王小蒙	王小蒙	Simone	エッセンス	왕소몽	หวังเสี่ยวเหมิง
19	2	1	6200001	6200002	32	20018	1500	1	D	D	D	D	D	D	夜里啥都有	夢裡都有	AllAtNight	ずっと真夜中	밤엔 다 있어	มีทุกอย่างในยามค่ำคืน
20	2	1	6200001	6200002	32	20006	1500	1	D	D	D	D	D	D	兰斯娜	蘭斯娜	Lansla	ランスナ	란스나	แลนซิน่า
21	3	1	6200001	6200002	48	20021	2000	1	C	C	C	C	C	C	可莉	可莉	Kelly	クレー	켈리	เคลลี่
22	3	1	6200001	6200002	48	20021	2000	1	C	C	C	C	C	C	mjqdcx	mjqdcx	mjqdcx	mjqdcx	mjqdcx	mjqdcx
23	3	1	6200001	6200002	48	20023	2000	1	C	C	C	C	C	C	光洁	光潔	Clarity	クレロン	광결	แสงวาว
24	3	1	6200001	6200002	48	20024	2000	1	C	C	C	C	C	C	不雨花犹落	不雨花猶落	Blossomfall	ルレイ	待定翻译内容不雨花犹落	ดอกไม้ร่วงวันไร้ฝน
25	3	1	6200001	6200002	48	20006	2000	1	C	C	C	C	C	C	Tlisbeth	Tlisbeth	Tlisbeth	Tlisbeth	Tlisbeth	Tlisbeth
26	3	1	6200001	6200002	48	20026	2000	1	C	C	C	C	C	C	秋盎	秋盎	AutumnCharm	ソルド	가을 기운	ฤดูใบไม้ร่วง
27	3	1	6200001	6200002	48	20006	2000	1	C	C	C	C	C	C	春盎	春盎	SpringCharm	ハル	봄 기운	ฤดูใบไม้ผลิ
28	3	1	6200001	6200002	48	20028	2000	1	C	C	C	C	C	C	冰音雪舞	冰音雪舞	Icydances	旭香	스노우 댄스	ระบำเหมันต์
29	3	1	6200001	6200002	48	20028	2000	1	C	C	C	C	C	C	酹影	酹影	LiqShadow	ほうきのヤー	뢰영	เงาสุรา
30	3	1	6200001	6200002	48	20006	2000	1	C	C	C	C	C	C	miukie	miukie	miukie	miukie	miukie	miukie
31	4	1	6200001	6200002	48	20031	2500	1	B	B	B	B	B	B	鱼小怪	魚小怪	SmallFry	魚好き	괴물고기	ปีศาจปลา
32	4	1	6200001	6200002	48	20031	2500	1	B	B	B	B	B	B	玄琞	玄琞	AuraJade	夢幻回廊	첸 쉬안	เซียนเซิ่ง
33	4	1	6200001	6200002	48	20033	2500	1	B	B	B	B	B	B	宏枫	宏楓	HongFong	かえで	홍 펑	หงเฟิง
34	4	1	6200001	6200002	48	20034	2500	1	B	B	B	B	B	B	丧甜	喪甜	DreadSweet	師走	상 첨	หวานขม
