id	upperLimit	lowerLimit	type	reward	rewardNum	mailID	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int
1	1	1	1	3000013	700		1	第1名	第1名	No.1	1位	1위	อันดับที่ 1
2	2	5	1	3000013	600		1	第2~5名	第2~5名	No.2 - No.5	2~5位	2~5위	อันดับที่ 2-5
3	6	20	1	3000013	550		1	第6~20名	第6~20名	No.6 - No.20	6~20位	6~20위	อันดับที่ 6-20
4	21	50	1	3000013	500		1	第21~50名	第21~50名	No.21 - No.50	21~50位	21~50위	อันดับที่ 21-50
5	51	100	1	3000013	450		1	第51~100名	第51~100名	No.51 - No.100	51~100位	51~100위	อันดับที่ 51-100
6	1	5	2	3000013	390		1	前5%	前5%	Top 5%	上位5%	상위 5%	TOP 5%
7	6	10	2	3000013	360		1	前10%	前10%	Top 10%	上位10%	상위 10%	TOP 10%
8	11	20	2	3000013	330		1	前20%	前20%	Top 20%	上位20%	상위 20%	TOP 20%
9	21	50	2	3000013	300		1	前50%	前50%	Top 50%	上位50%	상위 50%	TOP 50%
10	51	70	2	3000013	150		1	前70%	前70%	Top 70%	上位70%	상위 70%	TOP 70%
11	71	90	2	3000013	90		1	前90%	前90%	Top 90%	上位90%	상위 90%	TOP 90%
12	91	100	2	3000013	60		1	前100%	前100%	Top 100%	上位100%	상위 100%	TOP 100%
