id	skinId	key	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH
int	int	int	int	int	int	int	int	int	int
1	10302101		1						
2	10302199		1						
3	14000801		1						
4	14000899		1						
5	12900101		1						
6	12900199		1						
7	10800601		1						
8	10800699		1						
9			1						
12	11100250	touchHand100	1	手	手	Hand	手	손	มือ
13	11100250	touchFace100	1	脸	臉	Face	顔	얼굴	หน้า
14	11100250	touchChest100	1	躯干	軀幹	Body	体幹	몸	ลำตัว
15	11100250	spacialLeg200	1	腿·Ⅰ	腿·Ⅰ	Leg I	脚Ⅰ	다리Ⅰ	ขา·Ⅰ
16	11100250	touchLeg200	1	腿·Ⅱ	腿·Ⅱ	Leg II	脚Ⅱ	다리Ⅱ	ขา·Ⅱ
17	10302150	touchArm100	1	手臂	手臂	Arm	腕	손목	แขน
18	10302150	touchTail100	1	尾巴·Ⅰ	尾巴·Ⅰ	Tail I	尻尾·Ⅰ	꼬리Ⅰ	หาง·Ⅰ
19	10302150	touchFoot100	1	足	足	Foot	足	발	เท้า
20	10302150	touchHand200	1	手	手	Hand	手	손	มือ
21	10302150	touchLeg200	1	腿	腿	Leg	脚	다리	ขา
22	10302150	touchChest200	1	躯干	軀幹	Body	体幹	몸	ลำตัว
23	10302150	touchHead200	1	脸	臉	Face	顔	얼굴	หน้า
24	10302150	touchTail200	1	尾巴·Ⅱ	尾巴·Ⅱ	Tail II	尻尾·Ⅱ	꼬리Ⅱ	หาง·ⅠⅠ
25	10302150	touchRoot100	1	臀	臀	Hip	尻	엉덩이	สะโพก
26	11400102	touchLeg100	1	腿·Ⅰ	腿·Ⅰ	Leg I	脚Ⅰ	다리Ⅰ	ขา·Ⅰ
27	11400102	touchFace100	1	脸	臉	Face	顔	얼굴	หน้า
28	11400102	touchChest100	1	胸部	胸部	Chest	胸	가슴	ทรวงอก
29	11400102	touchEar100	1	耳朵	耳朵	Ear	耳	귀	หู
30	11400102	touchTail100	1	尾巴·Ⅰ	尾巴·Ⅰ	Tail I	尻尾·Ⅰ	꼬리Ⅰ	หาง·Ⅰ
31	11400102	touchTail200	1	尾巴·Ⅱ	尾巴·Ⅱ	Tail II	尻尾·Ⅱ	꼬리Ⅱ	หาง·ⅠⅠ
32	11400102	touchLeg200	1	腿·Ⅱ	腿·Ⅱ	Leg II	脚Ⅱ	다리Ⅱ	ขา·Ⅱ
33	11400102	touchHand200	1	牵手	牽手	Hold Hands	握手	손잡기	จับมือ
34	11300102	touchHand100	1	手·Ⅰ	手·Ⅰ	Hand I	手Ⅰ	손Ⅰ	มือ·Ⅰ
35	11300102	touchLeg100	1	腿	腿	Leg	脚	다리	ขา
36	11300102	touchWeapon100 	1	手持物	手持物	Handheld	持ち物	소지품	ของในมือ
37	11300102	touchRoot100	1	屁股	屁股	Buttocks	尻	엉덩이	สะโพก
38	11300102	touchFace200	1	脸	臉	Face	顔	얼굴	หน้า
39	11300102	touchChest200	1	胸部	胸部	Chest	胸	가슴	ทรวงอก
40	11300102	touchHand200	1	手·Ⅱ	手·Ⅱ	Hand II	手Ⅱ	손Ⅱ	มือ·Ⅱ
41	11300102	touchTail200	1	尾巴	尾巴	Tail	尻尾	꼬리	หาง
42	14000801	touchChest100	1	胸·Ⅰ	胸·Ⅰ	Chest I	胸Ⅰ	가슴 I	ทรวงอก·Ⅰ
43	14000801	touchDress100	1	裙子	裙子	Skirt	スカート	치마	กระโปรง
44	14000801	touchFace100	1	头	頭	Head	頭	머리	หัว
45	14000801	touchLeg100	1	腿	腿	Leg	脚	다리	ขา
46	14000801	touchChest200	1	胸·Ⅱ	胸·Ⅱ	Chest II	胸Ⅱ	가슴 II	ทรวงอก·ⅠⅠ
47	14000899	touchChest100	1	胸·Ⅰ	胸·Ⅰ	Chest I	胸Ⅰ	가슴 I	ทรวงอก·Ⅰ
48	14000899	touchDress100	1	裙子	裙子	Skirt	スカート	치마	กระโปรง
49	14000899	touchFace100	1	头	頭	Head	頭	머리	หัว
50	14000899	touchLeg100	1	腿	腿	Leg	脚	다리	ขา
51	14000899	touchChest200	1	胸·Ⅱ	胸·Ⅱ	Chest II	胸Ⅱ	가슴 II	ทรวงอก·ⅠⅠ
52	12900250	touchFace100	1	脸·Ⅰ	臉·Ⅰ	Face I	顔Ⅰ	얼굴Ⅰ	หน้า·Ⅰ
53	12900250	touchArm100	1	手臂·Ⅰ	手臂·Ⅰ	Arm I	腕Ⅰ	팔Ⅰ	แขน·Ⅰ
54	12900250	touchChest100	1	胸部·Ⅰ	胸部·Ⅰ	Chest I	胸Ⅰ	가슴Ⅰ	ทรวงอก·Ⅰ
55	12900250	touchAbdomen100	1	腹	腹	Abdomen	腹	배	หน้าท้อง
56	12900250	touchLeg100	1	腿	腿	Leg	脚	다리	ขา
57	12900250	touchTail100	1	尾巴	尾巴	Tail	尻尾	꼬리	หาง
58	12900250	touchFace200	1	脸·Ⅱ	臉·Ⅱ	Face II	顔Ⅱ	얼굴Ⅱ	หน้า·ⅠⅠ
59	12900250	touchArm200	1	手臂·Ⅱ	手臂·Ⅱ	Arm II	腕Ⅱ	팔Ⅱ	แขน·ⅠⅠ
60	12900250	touchChest200	1	胸部·Ⅱ	胸部·Ⅱ	Chest II	胸Ⅱ	가슴Ⅱ	ทรวงอก·ⅠⅠ
61	12900250	touchLeg200	1	腿·Ⅱ	腿·Ⅱ	Leg II	脚Ⅱ	다리Ⅱ	ขา·Ⅱ
62	12900250	touchEar200	1	耳朵	耳朵	Ear	耳	귀	หู
63	13600850	touchHand100	1	手	手	Hand	手	손	มือ
64	13600850	touchArm100	1	手臂·Ⅰ	手臂·Ⅰ	Arm I	腕Ⅰ	팔Ⅰ	แขน·Ⅰ
65	13600850	touchChest100	1	胸部·Ⅰ	胸部·Ⅰ	Chest I	胸Ⅰ	가슴Ⅰ	ทรวงอก·Ⅰ
66	13600850	touchLeg100	1	腿·Ⅰ	腿·Ⅰ	Leg I	脚Ⅰ	다리Ⅰ	ขา·Ⅰ
67	13600850	touchBuns100	1	屁股·Ⅰ	屁股·Ⅰ	Buttocks I	尻Ⅰ	엉덩이 I	สะโพก·Ⅰ
68	13600850	touchFace200	1	头	頭	Head	頭	머리	หัว
69	13600850	touchChest200	1	胸部·Ⅱ	胸部·Ⅱ	Chest II	胸Ⅱ	가슴Ⅱ	ทรวงอก·ⅠⅠ
70	13600850	touchArm200	1	手臂·Ⅱ	手臂·Ⅱ	Arm II	腕Ⅱ	팔Ⅱ	แขน·ⅠⅠ
71	13600850	touchLeg200	1	腿·Ⅱ	腿·Ⅱ	Leg II	脚Ⅱ	다리Ⅱ	ขา·Ⅱ
72	13600850	touchBuns200	1	屁股·Ⅱ	屁股·Ⅱ	Buttocks II	尻Ⅱ	엉덩이 II	สะโพก·ⅠⅠ
73	12900150	touchFace100	1	脸·Ⅰ	臉·Ⅰ	Face I	顔Ⅰ	얼굴Ⅰ	หน้า·Ⅰ
74	12900150	touchArm100	1	手臂·Ⅰ	手臂·Ⅰ	Arm I	腕Ⅰ	팔Ⅰ	แขน·Ⅰ
75	12900150	touchChest100	1	胸部·Ⅰ	胸部·Ⅰ	Chest I	胸Ⅰ	가슴Ⅰ	ทรวงอก·Ⅰ
76	12900150	touchAbdomen100	1	腹	腹	Abdomen	腹	배	หน้าท้อง
77	12900150	touchLeg100	1	腿	腿	Leg	脚	다리	ขา
78	12900150	touchTail100	1	尾巴	尾巴	Tail	尻尾	꼬리	หาง
79	12900150	touchFace200	1	脸·Ⅱ	臉·Ⅱ	Face II	顔Ⅱ	얼굴Ⅱ	หน้า·ⅠⅠ
80	12900150	touchArm200	1	手臂·Ⅱ	手臂·Ⅱ	Arm II	腕Ⅱ	팔Ⅱ	แขน·ⅠⅠ
81	12900150	touchChest200	1	胸部·Ⅱ	胸部·Ⅱ	Chest II	胸Ⅱ	가슴Ⅱ	ทรวงอก·ⅠⅠ
82	12900150	touchLeg200	1	腿·Ⅱ	腿·Ⅱ	Leg II	脚Ⅱ	다리Ⅱ	ขา·Ⅱ
83	12900150	touchEar200	1	耳朵	耳朵	Ear	耳	귀	หู
84	12700150	touchHand100	1	手·Ⅰ	手·Ⅰ	Hand I	手Ⅰ	손Ⅰ	มือ·Ⅰ
85	12700150	touchChest100	1	胸部·Ⅰ	胸部·Ⅰ	Chest I	胸Ⅰ	가슴Ⅰ	ทรวงอก·Ⅰ
86	12700150	touchWaist100	1	腰·Ⅰ	腰·Ⅰ	Waist I	腰I	허리Ⅰ	บั้นท้าย·Ⅰ
87	12700150	touchLeg100	1	腿·Ⅰ	腿·Ⅰ	Leg I	脚Ⅰ	다리Ⅰ	ขา·Ⅰ
88	12700150	touchEar200	1	耳朵	耳朵	Ear	耳	귀	หู
89	12700150	touchFace200	1	脸	臉	Face	顔	얼굴	หน้า
90	12700150	touchChest200	1	胸·Ⅱ	胸·Ⅱ	Chest II	胸Ⅱ	가슴 II	ทรวงอก·ⅠⅠ
91	12700150	touchHand200	1	手·Ⅱ	手·Ⅱ	Hand II	手Ⅱ	손Ⅱ	มือ·Ⅱ
92	12700150	touchTail200	1	尾巴	尾巴	Tail	尻尾	꼬리	หาง
93	12700150	touchLeg200	1	腿·Ⅱ	腿·Ⅱ	Leg II	脚Ⅱ	다리Ⅱ	ขา·Ⅱ
94	14100850	touchEar100	1	耳朵·Ⅰ	耳朵·Ⅰ	Ear I	耳·Ⅰ	귀Ⅰ	หู·Ⅰ
95	14100850	touchFace100	1	脸	臉	Face	顔	얼굴	หน้า
97	14100850	touchBuns100	1	屁股·Ⅰ	屁股·Ⅰ	Buttocks I	尻Ⅰ	엉덩이 I	สะโพก·Ⅰ
98	14100850	touchTail100	1	尾巴	尾巴	Tail	尻尾	꼬리	หาง
99	14100850	touchLeg100	1	腿	腿	Leg	脚	다리	ขา
100	14100850	touchEar200	1	耳朵·Ⅱ	耳朵·Ⅱ	Ear II	耳·Ⅱ	귀Ⅱ	หู·ⅠⅠ
101	14100850	touchHead200	1	头	頭	Head	頭	머리	หัว
