id	ids	status
string	string	int
vo_live3d_11100205_idle1	1,2,3	1
vo_live3d_11100205_idle1_1	4,5	1
vo_live3d_11100205_idle1_2	6,7,8	1
vo_live3d_11100205_idle1_3	9,10,11	1
vo_live3d_11100205_idle2	12	1
vo_live3d_11100205_idle2_1	13,14	1
vo_live3d_11100205_idle2_2	15,16,17,18,19	1
vo_live3d_11100205_idle2_3	20,21,22	1
vo_live3d_10302150_idle1	23,24	1
vo_live3d_10302150_idle1_2	27,28,29	1
vo_live3d_10302150_idle1_3	30	1
vo_live3d_10302150_idle2	31,32,33	1
vo_live3d_11400102_idle1	34	1
vo_live3d_11400102_idle1_1	35,36	1
vo_live3d_11400102_idle1_3	37	1
vo_live3d_11400102_idle1_4	38,39	1
vo_live3d_11400102_idle2	40,41	1
vo_live3d_11400102_idle2_1	42,43	1
vo_live3d_11400102_idle2_2	44,45,46	1
vo_live3d_11400102_idle2_3	47	1
vo_live3d_11400102_idle2_4	48	1
vo_live3d_11300102_idle1_1	49,50	1
vo_live3d_11300102_idle1_3	51,52	1
vo_live3d_11300102_idle1_4	53,54	1
vo_live3d_11300102_idle2_1	55,56	1
vo_live3d_11300102_idle2_2	57,58,59	1
vo_live3d_11300102_idle2_3	60,61,62,63,64,65	1
vo_live3d_11300102_idle2_4	66,67	1
vo_live3d_12900250_timeline_1	68,69,70,71,72,73,74,75	1
vo_live3d_12900250_idle1	78	1
vo_live3d_12900250_idle1_1	79,80,81	1
vo_live3d_12900250_idle1_2	82,83,84	1
vo_live3d_12900250_idle0_1_3	85	1
vo_live3d_12900250_idle2	86,87,88	1
vo_live3d_12900250_idle2_3	89,90	1
vo_live3d_12900250_narratage	91	1
vo_live3d_12900250_idle1_3	92,93,94	1
vo_live3d_12900250_timeline_1_5	95	1
vo_live3d_12900250_idle2_1	96	1
vo_live3d_12900250_idle2_2	97,98	1
vo_live3d_13600850_idle1	100	1
vo_live3d_13600850_idle1_2	101	1
vo_live3d_13600850_idle2	102	1
vo_live3d_13600850_idle2_4	103	1
vo_live3d_13600850_idle2_5	105,106	1
vo_live3d_12700150_idle1	107,108	1
vo_live3d_12700150_idle1_1	109	1
vo_live3d_12700150_idle1_2	110,111,112,113	1
vo_live3d_12700150_idle1_3	114,115	1
vo_live3d_12700150_idle1_4	116	1
vo_live3d_12700150_idle2	117	1
vo_live3d_12700150_idle2_1	118	1
vo_live3d_12700150_idle2_2	119	1
vo_live3d_12700150_idle2_3	120	1
vo_live3d_12700150_idle2_6	121	1
vo_live3d_14100850_idle1_b	122	1
vo_live3d_14100850_idle1_c	123	1
vo_live3d_14100850_idle1_1	124	1
vo_live3d_14100850_idle1_3	125	1
vo_live3d_14100850_idle1_4	126	1
vo_live3d_14100850_idle2	127	1
vo_live3d_14100850_idle2_2	128,129	1
vo_live3d_14100850_idle2_4	130	1
vo_live3d_14100850_idle2_6	131	1
vo_live3d_14100850_idle2_6_f	132	1
vo_live3d_14900850_timeline_1_f	133	1
vo_live3d_14900850_idle1_1_b	135	1
vo_live3d_14900850_idle1_2	136,137,138	1
vo_live3d_14900850_idle1_4	140,141,142	1
vo_live3d_14900850_idle1_5	143,144	1
vo_live3d_14900850_timeline_2	145	1
vo_live3d_14900850_idle2_1_a	148	1
vo_live3d_14900850_idle2_3	149,150,151	1
vo_live3d_14900850_idle2_4	152	1
vo_live3d_14900850_idle2_5	154	1
vo_live3d_14900850_idle2_6_a	155	1
vo_live3d_14900850_idle2_6_c	157	1
vo_live3d_14900850_idle2_6_d	158	1
vo_live3d_13500850_idle1_a	159	1
vo_live3d_13500850_idle1_b	160,161	1
vo_live3d_13500850_idle1_d	162	1
vo_live3d_13500850_idle0_1_a	163	1
vo_live3d_13500850_idle1_1_a	164	1
vo_live3d_13500850_idle1_2_a	165	1
vo_live3d_13500850_idle1_3_a	166	1
vo_live3d_13500850_idle1_4_a	167	1
vo_live3d_13500850_idle1_5	168,169,170,171	1
vo_live3d_13500850_idle2	172,173,174	1
vo_live3d_13500850_idle0_2_a	175	1
vo_live3d_13500850_idle2_1_a	176	1
vo_live3d_13500850_idle2_2_a	177	1
vo_live3d_13500850_idle2_5_a	178	1
vo_live3d_13500850_idle2_6	179,180,181	1
15100850	182	1
vo_live3d_15100850_idle1	185,186	1
vo_live3d_15100850_idle1_1_b	187	1
vo_live3d_15100850_idle1_2	188,189	1
vo_live3d_15100850_idle1_3	190	1
vo_live3d_15100850_idle1_4	191	1
vo_live3d_15100850_idle1_6_a	192	1
vo_live3d_15100850_idle1_6	193,194,195	1
vo_live3d_15100850_idle2	196,197	1
vo_live3d_15100850_idle2_1	198	1
vo_live3d_15100850_idle2_3	199	1
vo_live3d_15100850_idle2_5	200	1
vo_live3d_15200850	202,203	1
vo_live3d_15200850_idle1	204,205	1
vo_live3d_15200850_idle1_1	206,207	1
vo_live3d_15200850_idle1_3	208	1
vo_live3d_15200850_idle1_4	209,210	1
vo_live3d_15200850_idle1_5	211,212	1
vo_live3d_15200850_idle2	213,214,215	1
vo_live3d_15200850_idle2_1	216,217	1
vo_live3d_15200850_idle2_2	218	1
vo_live3d_15200850_idle2_3	219	1
vo_live3d_15200850_idle2_4	220	1
vo_live3d_13300850_idle1_a	223	1
vo_live3d_13300850_idle1_1_a	224	1
vo_live3d_13300850_idle1_2_a	225	1
vo_live3d_13300850_idle1_3_a	226	1
vo_live3d_13300850_idle1_5_a	227	1
vo_live3d_13300850_idle1_7_a	229	1
vo_live3d_13300850_idle1_8	230	1
vo_live3d_13300850_idle2	231,232,233	1
vo_live3d_13300850_idle2_1_a	234	1
vo_live3d_13300850_idle2_2_a	235	1
vo_live3d_13300850_idle2_3_a	236	1
vo_live3d_13300850_idle2_5	238,239	1
vo_live3d_13300850_idle2_5_c	240	1
vo_live3d_13300850_idle2_5_e	241	1
vo_live3d_13300850_idle2_5_f	242	1
vo_live3d_13300850_idle3_a	243	1
vo_live3d_13300850_idle3_2_a	245	1
vo_live3d_13300850_idle3_3_a	246	1
vo_live3d_13300850_idle3_4_b	247	1
vo_live3d_13300850_idle3_4_c	248	1
vo_live3d_14000850_idle1	249,250,252,253,254	1
vo_live3d_14000850_idle1_g	255,256,257	1
vo_live3d_14000850_idle1_1_a	262	1
vo_live3d_14000850_idle1_2_a	265	1
vo_live3d_14000850_idle1_2_b	266	1
vo_live3d_14000850_idle2_a	267,268	1
vo_live3d_14000850_idle2_3_a	271	1
vo_live3d_14000850_idle2_4_a	272,273	1
vo_live3d_14000850_idle3_a	279,280,281,282	1
宣誓这里	283	1
vo_live3d_14000850_idle3_e	285,286,287	1
vo_live3d_14000850_idle4_a	288	1
vo_live3d_14000850_idle4_1_a	289	1
vo_live3d_14000850_idle4_2_a	290	1
vo_live3d_14000850_aside_1	297	1
vo_live3d_14000850_aside_2	298,299,300,301	1
vo_live3d_15700850_idle1	302,303,304	1
vo_live3d_15700850_idle1_1	305,306	1
vo_live3d_15700850_idle1_2	307	1
vo_live3d_15700850_idle1_3	308	1
vo_live3d_15700850_idle1_3_b	309	1
vo_live3d_15700850_idle1_5	310	1
vo_live3d_15700850_idle1_6	311	1
vo_live3d_15700850_idle2	312	1
vo_live3d_15700850_idle2_2	313	1
vo_live3d_15700850_idle2_3	314	1
vo_live3d_15700850_idle2_4	315	1
vo_live3d_15700850_idle2_5	316	1
vo_live3d_15700850_idle2_7	317	1
vo_live3d_15700850_idle2_9	318	1
vo_live3d_15700850_idle2_10	319,320	1
