level	showDes	costValue	additionId	additionNum	percentage	status
int	int	int	int	int	int	int
1	100	119	5002	1,0.05	1,1	1
2	120	139	5002	1,0.07	1,1	1
3	140	159	5002	1,0.09	1,1	1
4	160	179	5002	1,0.11	1,1	1
5	180	199	5002	1,0.13	1,1	1
6	200	219	5002	1,0.15	1,1	1
7	220	239	5002	1,0.17	1,1	1
8	240	259	5002	1,0.19	1,1	1
9	260	279	5002	1,0.21	1,1	1
10	280	299	5002	1,0.23	1,1	1
11	300	319	5002	1,0.25	1,1	1
12	320	339	5002	1,0.27	1,1	1
13	340	359	5002	1,0.29	1,1	1
14	360	379	5002	1,0.31	1,1	1
15	380	399	5002	1,0.33	1,1	1
16	400	419	5002	1,0.35	1,1	1
17	420	439	5002	1,0.37	1,1	1
18	440	459	5002	1,0.39	1,1	1
19	460	479	5002	1,0.41	1,1	1
20	480	499	5002	1,0.43	1,1	1
21	500	549	5002	1,0.45	1,1	1
22	550	599	5002	1,0.48	1,1	1
23	600	649	5002	1,0.52	1,1	1
24	650	699	5002	1,0.55	1,1	1
25	700	749	5002	1,0.59	1,1	1
26	750	799	5002	1,0.62	1,1	1
27	800	849	5002	1,0.66	1,1	1
28	850	899	5002	1,0.69	1,1	1
29	900	949	5002	1,0.73	1,1	1
30	950	999	5002	1,0.76	1,1	1
31	1000	1049	5002	1,0.8	1,1	1
32	1050	1099	5002	1,0.83	1,1	1
33	1100	1149	5002	1,0.87	1,1	1
34	1150	1199	5002	1,0.9	1,1	1
35	1200	1249	5002	1,0.94	1,1	1
36	1250	1299	5002	1,0.97	1,1	1
37	1300	1349	5002	1,1.01	1,1	1
38	1350	1399	5002	1,1.04	1,1	1
39	1400	1449	5002	1,1.08	1,1	1
40	1450	1499	5002	1,1.11	1,1	1
41	1500	1549	5002	1,1.15	1,1	1
42	1550	1599	5002	1,1.18	1,1	1
43	1600	1649	5002	1,1.22	1,1	1
44	1650	1699	5002	1,1.25	1,1	1
45	1700	1749	5002	1,1.29	1,1	1
46	1750	1799	5002	1,1.32	1,1	1
47	1800	1849	5002	1,1.36	1,1	1
48	1850	1899	5002	1,1.39	1,1	1
49	1900	1949	5002	1,1.43	1,1	1
50	1950	1999	5002	1,1.46	1,1	1
51	2000	2049	5002	1,1.5	1,1	1
52	2050	2099	5002	1,1.53	1,1	1
53	2100	2149	5002	1,1.57	1,1	1
54	2150	2199	5002	1,1.6	1,1	1
55	2200	2249	5002	1,1.64	1,1	1
56	2250	2299	5002	1,1.67	1,1	1
57	2300	2349	5002	1,1.71	1,1	1
58	2350	2399	5002	1,1.74	1,1	1
59	2400	2449	5002	1,1.78	1,1	1
60	2450	2499	5002	1,1.81	1,1	1
61	2500	2549	5002	1,1.85	1,1	1
62	2550	2599	5002	1,1.88	1,1	1
63	2600	2649	5002	1,1.92	1,1	1
64	2650	2699	5002	1,1.95	1,1	1
65	2700	2749	5002	1,1.99	1,1	1
66	2750	2799	5002	1,2.02	1,1	1
67	2800	2849	5002	1,2.06	1,1	1
68	2850	2899	5002	1,2.09	1,1	1
69	2900	2949	5002	1,2.13	1,1	1
70	2950	2999	5002	1,2.16	1,1	1
71	3000	3049	5002	1,2.2	1,1	1
72	3050	3099	5002	1,2.22	1,1	1
73	3100	3149	5002	1,2.25	1,1	1
74	3150	3199	5002	1,2.27	1,1	1
75	3200	3249	5002	1,2.3	1,1	1
76	3250	3299	5002	1,2.32	1,1	1
77	3300	3349	5002	1,2.35	1,1	1
78	3350	3399	5002	1,2.37	1,1	1
79	3400	3449	5002	1,2.4	1,1	1
80	3450	3499	5002	1,2.42	1,1	1
81	3500	3549	5002	1,2.45	1,1	1
82	3550	3599	5002	1,2.47	1,1	1
83	3600	3649	5002	1,2.5	1,1	1
84	3650	3699	5002	1,2.52	1,1	1
85	3700	3749	5002	1,2.55	1,1	1
86	3750	3799	5002	1,2.57	1,1	1
87	3800	3849	5002	1,2.6	1,1	1
88	3850	3899	5002	1,2.62	1,1	1
89	3900	3949	5002	1,2.65	1,1	1
90	3950	3999	5002	1,2.67	1,1	1
91	4000	4099	5002	1,2.7	1,1	1
92	4100	4199	5002	1,2.75	1,1	1
93	4200	4299	5002	1,2.8	1,1	1
94	4300	4399	5002	1,2.85	1,1	1
95	4400	4499	5002	1,2.9	1,1	1
96	4500	4599	5002	1,2.95	1,1	1
97	4600	4699	5002	1,3	1,1	1
98	4700	4799	5002	1,3.05	1,1	1
99	4800	4999	5002	1,3.1	1,1	1
100	5000	10000	5002	1,3.15	1,1	1
