cardAction	specialEffects	eye	status
int	int	int	int
108006_101			1
108006_102			1
108006_103			1
101006_101			1
101006_102			1
101006_103			1
103008_101			1
103008_102			1
103008_103			1
111008_101			1
111008_102			1
111008_103			1
104003_101			1
104003_102			1
104003_103			1
103021_101			1
103021_102			1
103021_103			1
102021_101			1
102021_102			1
102021_103			1
102001_101			1
102001_102			1
102001_103			1
104005_101			1
104005_102			1
104005_103			1
106008_101			1
106008_102			1
106008_103			1
112008_101			1
112008_102			1
112008_103			1
113008_101			1
113008_102			1
113008_103			1
114008_101			1
114008_102			1
114008_103			1
102008_101			1
102008_102			1
102008_103			1
103019_101			1
103019_102			1
103019_103			1
108008_101			1
108008_102			1
108008_103			1
103002_101			1
103002_102			1
103002_103			1
101005_101			1
101005_102			1
101005_103			1
101008_101			1
101008_102			1
101008_103			1
101011_101			1
101011_102			1
101011_103			1
102007_101			1
102007_102			1
102007_103			1
102011_101			1
102011_102			1
102011_103			1
103007_101			1
103007_102			1
103007_103			1
104001_101			1
104001_102			1
104001_103			1
104008_101			1
104008_102			1
104008_103			1
105001_101			1
105001_102			1
105001_103			1
105002_101			1
105002_102			1
105002_103			1
105006_101			1
105006_102			1
105006_103			1
105008_101			1
105008_102			1
105008_103			1
106001_101			1
106001_102			1
106001_103			1
106002_101			1
106002_102			1
106002_103			1
106010_101			1
106010_102			1
106010_103			1
107001_101			1
107001_102			1
107001_103			1
107005_101			1
107005_102			1
107005_103			1
107008_101			1
107008_102			1
107008_103			1
108001_101			1
108001_102			1
108001_103			1
108004_101			1
108004_102			1
108004_103			1
110008_101			1
110008_102			1
110008_103			1
111002_101			1
111002_102			1
111002_103			1
112002_101			1
112002_102			1
112002_103			1
113001_101			1
113001_102			1
113001_103			1
114001_101			1
114001_102			1
114001_103			1
109008_101			1
109008_102			1
109008_103			1
115008_101			1
115008_102			1
115008_103			1
117008_101			1
117008_102			1
117008_103			1
121008_101			1
121008_102			1
121008_103			1
127008_101			1
127008_102			1
127008_103			1
130008_101			1
130008_102			1
130008_103			1
131008_101			1
131008_102			1
131008_103			1
103006_101			1
103006_102			1
103006_103			1
904001_101			1
904001_102			1
904001_103			1
904002_101			1
904002_102			1
904002_103			1
904005_101			1
904005_102			1
904005_103			1
904006_101			1
904006_102			1
904006_103			1
904007_101			1
904007_102			1
904007_103			1
904009_101			1
904009_102			1
904009_103			1
904010_101			1
904010_102			1
904010_103			1
904014_101			1
904014_102			1
904014_103			1
904015_101			1
904015_102			1
904015_103			1
904020_101			1
904020_102			1
904020_103			1
904022_101			1
904022_102			1
904022_103			1
904025_101			1
904025_102			1
904025_103			1
904026_101			1
904026_102			1
904026_103			1
904031_101			1
904031_102			1
904031_103			1
904033_101			1
904033_102			1
904033_103			1
904034_101			1
904034_102			1
904034_103			1
904041_101			1
904041_102			1
904041_103			1
904043_101			1
904043_102			1
904043_103			1
908002_101			1
908002_102			1
908002_103			1
