id	rankId	icon	status	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
int	int	int	int	int	int	int	int	int	int
101	1	4	1	<color=#A88665>套餐售卖:</color>上架数量增加至40	<color=#A88665>套餐售賣:</color>上架數量增加至40	<color=#A88665>Set Menus:</color> Sale quantity increased to 40.	<color=#A88665>セット販売:</color>最大販売数は40までアップ	<color=#A88665>세트 판매:</color> 진열 가능 수량 40으로 증가	<color=#A88665>จำหน่ายเซ็ตเมนู:</color>​ จำนวน​การ​วางขาย​เพิ่มขึ้น​ถึง​ 40​
102	1	4	1	<color=#A88665>套餐售卖:</color>解锁新的套餐售卖位置	<color=#A88665>套餐售賣:</color>解鎖新的套餐售賣位置	<color=#A88665>Set Menus:</color> Unlocks a new set menu slot.	<color=#A88665>セット販売:</color>新しいセット枠解放	<color=#A88665>세트 판매:</color> 새 세트 판매 위치 해금	<color=#A88665>จำหน่ายเซ็ตเมนู:</color>​ ปลดล็อก​ตำแหน่ง​ใหม่​สำหรับ​จำหน่าย​เซ็ต​เมนู​
103	2	4	1	<color=#A88665>套餐售卖:</color>上架数量增加至60	<color=#A88665>套餐售賣:</color>上架數量增加至60	<color=#A88665>Set Menus:</color> Sale quantity increased to 60.	<color=#A88665>セット販売:</color>最大販売数は60までアップ	<color=#A88665>세트 판매:</color> 진열 가능 수량 60으로 증가	<color=#A88665>จำหน่ายเซ็ตเมนู:</color>​จำนวน​การ​วางขาย​เพิ่มขึ้น​ถึง​ 60​
104	2	4	1	<color=#A88665>员工设置:</color>增加新的店员工位	<color=#A88665>員工設置:</color>增加新的店員工位	<color=#A88665>Management:</color> Adds new staff members.	<color=#A88665>店員配置:</color>新しい店員枠解放	<color=#A88665>점원 설정:</color> 추가 점원 배치 가능	<color=#A88665>ตั้งค่าพนักงาน:</color>​เพิ่ม​ตำแหน่ง​พนักงาน​ร้าน​ใหม่​
105	3	4	1	<color=#A88665>套餐售卖:</color>上架数量增加至80	<color=#A88665>套餐售賣:</color>上架數量增加至80	<color=#A88665>Set Menus:</color> Sale quantity increased to 80.	<color=#A88665>セット販売:</color>最大販売数は80までアップ	<color=#A88665>세트 판매:</color> 진열 가능 수량 80으로 증가	<color=#A88665>จำหน่ายเซ็ตเมนู:</color>​ จำนวน​การ​วางขาย​เพิ่มขึ้น​ถึง​ 80​
106	4	4	1	<color=#A88665>套餐售卖:</color>上架数量增加至100	<color=#A88665>套餐售賣:</color>上架數量增加至100	<color=#A88665>Set Menus:</color> Sale quantity increased to 100.	<color=#A88665>セット販売:</color>最大販売数は100までアップ	<color=#A88665>세트 판매:</color> 진열 가능 수량 100으로 증가	<color=#A88665>จำหน่ายเซ็ตเมนู:</color>​ จำนวน​การ​วางขาย​เพิ่มขึ้น​ถึง​ 100​
107	4	4	1	<color=#A88665>套餐售卖:</color>解锁新的套餐售卖位置	<color=#A88665>套餐售賣:</color>解鎖新的套餐售賣位置	<color=#A88665>Set Menus:</color> Unlocks a new set menu slot.	<color=#A88665>セット販売:</color>新しいセット枠解放	<color=#A88665>세트 판매:</color> 새 세트 판매 위치 해금	<color=#A88665>จำหน่ายเซ็ตเมนู:</color>​ ปลดล็อก​ตำแหน่ง​ใหม่​สำหรับ​จำหน่าย​เซ็ต​เมนู​
108	5	4	1	<color=#A88665>套餐售卖:</color>上架数量增加至120	<color=#A88665>套餐售賣:</color>上架數量增加至120	<color=#A88665>Set Menus:</color> Sale quantity increased to 120.	<color=#A88665>セット販売:</color>最大販売数は120までアップ	<color=#A88665>세트 판매:</color> 진열 가능 수량 120으로 증가	<color=#A88665>จำหน่ายเซ็ตเมนู:</color>​ จำนวน​การ​วางขาย​เพิ่มขึ้น​ถึง​ 120​
109	5	4	1	<color=#A88665>套餐售卖:</color>解锁新的套餐售卖位置	<color=#A88665>套餐售賣:</color>解鎖新的套餐售賣位置	<color=#A88665>Set Menus:</color> Unlocks a new set menu slot.	<color=#A88665>セット販売:</color>新しいセット枠解放	<color=#A88665>세트 판매:</color> 새 세트 판매 위치 해금	<color=#A88665>จำหน่ายเซ็ตเมนู:</color>​ ปลดล็อก​ตำแหน่ง​ใหม่​สำหรับ​จำหน่าย​เซ็ต​เมนู​
110	6	4	1	<color=#A88665>套餐售卖:</color>上架数量增加至140	<color=#A88665>套餐售賣:</color>上架數量增加至140	<color=#A88665>Set Menus:</color> Sale quantity increased to 140.	<color=#A88665>セット販売:</color>最大販売数は140までアップ	<color=#A88665>세트 판매:</color> 진열 가능 수량 140으로 증가	<color=#A88665>จำหน่ายเซ็ตเมนู:</color>​ จำนวน​การ​วางขาย​เพิ่มขึ้น​ถึง​ 140​
