furnitureType	sort	photoId	Camera	coordinate	isSuit	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int
1	2	146:renova_icon_wall	Cam_furniture_01		0	1	墙面	牆面	Wall	壁面	벽면	ผนัง
2	3	146:renova_icon_floor	Cam_furniture_02		0	1	地板	地板	Floorboards	床	바닥	พื้น
3	4	146:renova_icon_bar	Cam_furniture_03		0	1	柜台	櫃台	Counter	カウンター	카운터	เคาน์เตอร์
4	5	146:renova_icon_barbg	Cam_furniture_04		0	1	操作台	操作台	Workstation	作業台	작업대	โต๊ะทำงาน
5	6	146:renova_icon_table	Cam_furniture_05		0	1	桌椅	桌椅	Dining Set	テーブル＆チェア	책상의자	โต๊ะเก้าอี้
6	7	146:renova_icon_sofa	Cam_furniture_06		0	1	沙发	沙發	Couch	ソファ	소파	โซฟา
7	8	146:renova_icon_kitchencorner	Cam_furniture_07		0	1	厨房	廚房	Kitchen	キッチン	주방	ห้องครัว
8	9	146:renova_icon_catroom	Cam_furniture_08		0	1	休息室	休息室	Lounge	休憩室	휴게실	ห้องพัก
9	10	146:renova_icon_doorcorner	Cam_furniture_09		0	1	门口	門口	Doorway	ドア	문	หน้าประตู
10	11	146:renova_icon_restcorner	Cam_furniture_10		0	1	边桌	邊桌	Side Table	カウンター席	사이드 테이블	โต๊ะเล็ก
11	1	146:renova_icon_suit	Cam_furniture_11		1	1	套装	套裝	Set	セット	세트	เซ็ต
