id	coffeeId	foodNum	foodRandomAmount	fish	fishId	group	baseRewardsNum	rewardId	rewardNum	weight	time	status
int	int	int	int	int	int	int	int	int	int	int	int	int
1	1	2;2	1;2	1;1	1;1	1	1	5112001;4105023;5300002;3000016;3000003	20;20;300;100;100000	10000	28800	1
101	1	2;2	3;3	1;1	1;1	1	1	5112001;4105023;5300002;3000016;3000003	20;20;300;100;105000	10000	28800	1
201	2	2;2	3;3	1;1	1;1	2	1	5112001;4105023;5300002;3000016;3000003	20;20;330;100;110000	10000	28800	1
301	3	2;2	3;3	1;1	1;1	3	1	5112001;4105023;5300002;3000016;3000003	20;20;360;100;115000	10000	28800	1
401	4	2;3	3;4	1;1	1;1	4	1	5112001;4105023;5300002;3000016;3000003	20;20;390;100;120000	10000	28800	1
501	5	2;3	4;4	1;2	1;2	5	1	5112001;4105023;5300002;3000016;3000003	20;20;420;100;125000	10000	28800	1
601	6	3;3	4;4	1;2	2;2	6	1	5112001;4105023;5300002;3000016;3000003	25;25;450;110;130000	10000	28800	1
701	7	3;3	4;5	1;2	2;2	7	1	5112001;4105023;5300002;3000016;3000003	25;25;480;110;135000	10000	28800	1
801	8	3;3	5;5	1;2	2;2	8	1	5112001;4105023;5300002;3000016;3000003	25;25;510;110;140000	10000	28800	1
901	9	3;3	5;5	2;2	2;3	9	1	5112001;4105023;5300002;3000016;3000003	25;25;540;110;145000	10000	28800	1
1001	10	3;4	5;6	2;2	2;3	10	1	5112001;4105023;5300002;3000016;3000003	25;25;570;110;150000	10000	28800	1
1101	11	3;4	6;6	2;2	2;3	11	1	5112001;4105023;5300002;3000016;3000003	30;30;600;120;155000	10000	28800	1
1201	12	4;4	6;6	2;2	3;3	12	1	5112001;4105023;5300002;3000016;3000003	30;30;630;120;160000	10000	28800	1
1301	13	4;4	6;7	2;2	3;3	13	1	5112001;4105023;5300002;3000016;3000003	30;30;660;120;165000	10000	28800	1
1401	14	4;4	7;7	2;2	3;3	14	2	5112001;4105023;5300002;3000016;3000003	30;30;690;120;170000	10000	28800	1
1501	15	4;4	7;7	2;2	3;4	15	2	5112001;4105023;5300002;3000016;3000003	30;30;720;120;175000	10000	28800	1
1601	16	4;5	7;8	2;3	3;4	16	2	5112001;4105023;5300002;3000016;3000003	35;35;750;130;180000	10000	28800	1
1701	17	4;5	8;8	2;3	3;4	17	2	5112001;4105023;5300002;3000016;3000003	35;35;780;130;185000	10000	28800	1
1801	18	5;5	8;8	2;3	4;4	18	2	5112001;4105023;5300002;3000016;3000003	35;35;810;130;190000	10000	28800	1
1901	19	5;5	8;9	2;3	4;4	19	2	5112001;4105023;5300002;3000016;3000003	35;35;840;130;195000	10000	28800	1
2001	20	5;5	9;9	3;3	4;4	20	2	5112001;4105023;5300002;3000016;3000003	35;35;870;130;200000	10000	28800	1
2101	21	5;5	9;9	3;3	4;5	21	2	5112001;4105023;5300002;3000016;3000003	40;40;900;150;205000	10000	28800	1
2201	22	5;6	9;10	3;3	4;5	22	2	5112001;4105023;5300002;3000016;3000003	40;40;930;150;210000	10000	28800	1
2301	23	5;6	10;10	3;3	4;5	23	2	5112001;4105023;5300002;3000016;3000003	40;40;960;150;215000	10000	28800	1
2401	24	6;6	10;10	3;3	5;5	24	2	5112001;4105023;5300002;3000016;3000003	40;40;990;150;220000	10000	28800	1
2501	25	6;6	10;10	3;3	5;5	25	2	5112001;4105023;3000003;3000016	40;40;250000;150	10000	28800	1
