id	regularReward	regularRewardNum	rareReward	rareRewardRandom	rareRewardMinNum	rareRewardMaxNum	rareRewardShow	rareRewardShowNum	fristRewards	fristRewardsNum	starRewardId	starRewardNum	showItem	showItemTag	showItemNum	status	label	label_zh_TW	label_en_UK	label_ja_JP	label_ko_KR	label_th_TH	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
12140101									9000023	100						1	地图1-1	地圖1-1	Map 1-1	地図1-1	지도 1-1	แผนที่ 1-1	普通战斗点2.1	普通戰鬥點2.1	Battle Point 2.1	通常戦闘ポイント2.1	일반 전투 지점 2.1	จุดต่อสู้ทั่วไป 2.1
12140102									9000023	150						1	地图1-1	地圖1-1	Map 1-1	地図1-1	지도 1-1	แผนที่ 1-1	普通战斗点2.4	普通戰鬥點2.4	Battle Point 2.4	通常戦闘ポイント2.4	일반 전투 지점 2.4	จุดต่อสู้ทั่วไป 2.4
12140103									9000023	200						1	地图1-1	地圖1-1	Map 1-1	地図1-1	지도 1-1	แผนที่ 1-1	BOSS战斗点6	BOSS戰鬥點6	Boss Point 6	BOSS戦闘ポイント6	보스 전투 지점 6	จุดต่อสู้บอส 6
12140104									9000023	250						1	地图1-2	地圖1-2	Map 1-2	地図1-2	지도 1-2	แผนที่ 1-2	普通战斗点2.1	普通戰鬥點2.1	Battle Point 2.1	通常戦闘ポイント2.1	일반 전투 지점 2.1	จุดต่อสู้ทั่วไป 2.1
12140202									9000023	150						1	难度2-1	難度2-1	Difficulty 2-1	難易度2-1	난이도 2-1	ความยาก 2-1	BOSS战斗点2.2	BOSS戰鬥點2.2	Boss Point 2.2	BOSS戦闘ポイント2.2	보스 전투 지점 2.2	จุดต่อสู้บอส 2.2
12140204									9000023	200						1	难度2-2	難度2-2	Difficulty 2-2	難易度2-2	난이도 2-2	ความยาก 2-2	普通战斗点4.2	普通戰鬥點4.2	Battle Point 4.2	通常戦闘ポイント4.2	일반 전투 지점 4.2	จุดต่อสู้ทั่วไป 4.2
12140203									9000023	250						1	难度2-2	難度2-2	Difficulty 2-2	難易度2-2	난이도 2-2	ความยาก 2-2	普通战斗点1.4	普通戰鬥點1.4	Battle Point 1.4	通常戦闘ポイント1.4	일반 전투 지점 1.4	จุดต่อสู้ทั่วไป 1.4
12140205									9000023	300						1	难度2-2	難度2-2	Difficulty 2-2	難易度2-2	난이도 2-2	ความยาก 2-2	BOSS战斗点1.3	BOSS戰鬥點1.3	Boss Point 1.3	BOSS戦闘ポイント1.3	보스 전투 지점 1.3	จุดต่อสู้บอส 1.3
12140206									9000023	350						1	难度2-3	難度2-3	Difficulty 2-3	難易度2-3	난이도 2-3	ความยาก 2-3	BOSS战斗点1.3	BOSS戰鬥點1.3	Boss Point 1.3	BOSS戦闘ポイント1.3	보스 전투 지점 1.3	จุดต่อสู้บอส 1.3
12140301									9000023	200						1	难度3-1	難度3-1	Difficulty 3-1	難易度3-1	난이도 3-1	ความยาก 3-1	普通战斗点3	普通戰鬥點3	Battle Point 3	通常戦闘ポイント3	일반 전투 지점 3	จุดต่อสู้ทั่วไป 3
12140302									9000023	250						1	难度3-1	難度3-1	Difficulty 3-1	難易度3-1	난이도 3-1	ความยาก 3-1	普通战斗点3.1	普通戰鬥點3.1	Battle Point 3.1	通常戦闘ポイント3.1	일반 전투 지점 3.1	จุดต่อสู้ทั่วไป 3.1
12140303									9000023	300						1	难度3-1	難度3-1	Difficulty 3-1	難易度3-1	난이도 3-1	ความยาก 3-1	BOSS战斗点5.1	BOSS戰鬥點5.1	Boss Point 5.1	BOSS戦闘ポイント5.1	보스 전투 지점 5.1	จุดต่อสู้บอส 5.1
12140304									9000023	350						1	难度3-2	難度3-2	Difficulty 3-2	難易度3-2	난이도 3-2	ความยาก 3-2	普通战斗点7.1	普通戰鬥點7.1	Battle Point 7.1	通常戦闘ポイント7.1	일반 전투 지점 7.1	จุดต่อสู้ทั่วไป 7.1
12140305									9000023	400						1	难度3-2	難度3-2	Difficulty 3-2	難易度3-2	난이도 3-2	ความยาก 3-2	普通战斗点10.1	普通戰鬥點10.1	Battle Point 10.1	通常戦闘ポイント10.1	일반 전투 지점 10.1	จุดต่อสู้ทั่วไป 10.1
12140306									9000023	450						1	难度3-2	難度3-2	Difficulty 3-2	難易度3-2	난이도 3-2	ความยาก 3-2	普通战斗点13.1	普通戰鬥點13.1	Battle Point 13.1	通常戦闘ポイント13.1	일반 전투 지점 13.1	จุดต่อสู้ทั่วไป 13.1
12140401									9000023	250						1	难度4-1	難度4-1	Difficulty 4-1	難易度4-1	난이도 4-1	ความยาก 4-1	普通战斗点4	普通戰鬥點4	Battle Point 4	通常戦闘ポイント4	일반 전투 지점 4	จุดต่อสู้ทั่วไป 4
12140402									9000023	300						1	难度4-1	難度4-1	Difficulty 4-1	難易度4-1	난이도 4-1	ความยาก 4-1	普通战斗点10	普通戰鬥點10	Battle Point 10	通常戦闘ポイント10	일반 전투 지점 10	จุดต่อสู้ทั่วไป 10
12140404									9000023	350						1	难度4-1	難度4-1	Difficulty 4-1	難易度4-1	난이도 4-1	ความยาก 4-1	普通战斗点10	普通戰鬥點10	Battle Point 10	通常戦闘ポイント10	일반 전투 지점 10	จุดต่อสู้ทั่วไป 10
12140405									9000023	400						1	难度4-1	難度4-1	Difficulty 4-1	難易度4-1	난이도 4-1	ความยาก 4-1	普通战斗点10	普通戰鬥點10	Battle Point 10	通常戦闘ポイント10	일반 전투 지점 10	จุดต่อสู้ทั่วไป 10
12140406									9000023	450						1	难度4-2	難度4-2	Difficulty 4-2	難易度4-2	난이도 4-2	ความยาก 4-2	BOSS战斗点1	BOSS戰鬥點1	Boss Point 1	BOSS戦闘ポイント1	보스 전투 지점 1	จุดต่อสู้บอส 1
