id	activityId	groupId	picture	regionLevel	Exp	cardExp	unlockNum	proposalLevel	frequency	costItem	costNum	costNumLose	SceneId	rounds	teamLimit	powerMin	powerTeamMin	roleNun	repeatButton	status	label	label_zh_TW	label_en_UK	label_ja_JP	label_ko_KR	label_th_TH	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
12140101	1	101		1	10	0	0	50000		3000004	10	0	15601	10	6000	2400	18000	4	0	1	地图1-1	地圖1-1	Map 1-1	地図1-1	지도 1-1	แผนที่ 1-1						
12140102	1	101		1	10	0	0	70000		3000004	10	0	15601	10	6000	2400	18000	4	0	1	地图1-1	地圖1-1	Map 1-1	地図1-1	지도 1-1	แผนที่ 1-1						
12140103	1	101		1	10	0	0	80000		3000004	10	0	15601	10	6000	2400	18000	4	0	1	地图1-1	地圖1-1	Map 1-1	地図1-1	지도 1-1	แผนที่ 1-1						
12140104	1	102		1	10	0	0	90000		3000004	10	0	14401	10	6000	2400	18000	4	0	1	地图1-2	地圖1-2	Map 1-2	地図1-2	지도 1-2	แผนที่ 1-2						
12140202	1	201		2	20	0	0	110000		3000004	13	0	15701	10	8000	3840	28800	4	0	1	难度2-1	難度2-1	Difficulty 2-1	難易度2-1	난이도 2-1	ความยาก 2-1						
12140204	1	202		2	20	0	0	115000		3000004	13	0	15701	10	8000	3840	28800	4	0	1	难度2-2	難度2-2	Difficulty 2-2	難易度2-2	난이도 2-2	ความยาก 2-2						
12140205	1	202		2	20	0	0	120000		3000004	13	0	14601	10	8000	3840	28800	4	0	1	难度2-2	難度2-2	Difficulty 2-2	難易度2-2	난이도 2-2	ความยาก 2-2						
12140206	1	203		2	20	0	0	125000		3000004	13	0	15701	10	8000	3840	28800	4	0	1	难度2-3	難度2-3	Difficulty 2-3	難易度2-3	난이도 2-3	ความยาก 2-3						
12140301	1	301		3	30	0	0	130000		3000004	16	0	15801	10	14000	6720	50400	4	0	1	难度3-1	難度3-1	Difficulty 3-1	難易度3-1	난이도 3-1	ความยาก 3-1						
12140302	1	301		3	30	0	0	132000		3000004	16	0	15801	10	14000	6720	50400	4	0	1	难度3-1	難度3-1	Difficulty 3-1	難易度3-1	난이도 3-1	ความยาก 3-1						
12140303	1	301		3	30	0	0	134000		3000004	16	0	15801	10	14000	6720	50400	4	0	1	难度3-1	難度3-1	Difficulty 3-1	難易度3-1	난이도 3-1	ความยาก 3-1						
12140304	1	302		3	30	0	0	136000		3000004	16	0	15801	10	14000	6720	50400	4	0	1	难度3-2	難度3-2	Difficulty 3-2	難易度3-2	난이도 3-2	ความยาก 3-2						
12140305	1	302		3	30	0	0	138000		3000004	16	0	15801	10	14000	6720	50400	4	0	1	难度3-2	難度3-2	Difficulty 3-2	難易度3-2	난이도 3-2	ความยาก 3-2						
12140306	1	302		3	30	0	0	140000		3000004	16	0	15801	10	14000	6720	50400	4	0	1	难度3-2	難度3-2	Difficulty 3-2	難易度3-2	난이도 3-2	ความยาก 3-2						
12140401	1	401		4	40	0	0	150000		3000004	20	0	15901	10	24000	12480	93600	4	0	1	难度4-1	難度4-1	Difficulty 4-1	難易度4-1	난이도 4-1	ความยาก 4-1						
12140402	1	401		4	40	0	0	152000		3000004	20	0	15901	10	24000	12480	93600	4	0	1	难度4-1	難度4-1	Difficulty 4-1	難易度4-1	난이도 4-1	ความยาก 4-1						
12140404	1	401		4	40	0	0	154000		3000004	20	0	15901	10	24000	12480	93600	4	0	1	难度4-1	難度4-1	Difficulty 4-1	難易度4-1	난이도 4-1	ความยาก 4-1						
12140405	1	401		4	40	0	0	156000		3000004	20	0	15901	10	24000	12480	93600	4	0	1	难度4-1	難度4-1	Difficulty 4-1	難易度4-1	난이도 4-1	ความยาก 4-1						
12140406	1	401		4	40	0	0	158000		3000004	20	0	15901	10	24000	12480	93600	4	0	1	难度4-2	難度4-2	Difficulty 4-2	難易度4-2	난이도 4-2	ความยาก 4-2						
