Id	team	quality	AddType	buffId	generateFloor	photoId	region	probability	lableId	recCard	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	description	description_zh_TW	description_en_UK	description_ja_JP	description_ko_KR	description_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
12177001	1	2	0	9100017	1,2,3,4,6,7,8,9,11,12,13,14,16,17,18,19	30:maze_buff_icon_20011	1,2,3,4,5,6	60	1		1	战术规划	戰術規劃	Strategic Maneuver	戦術計画	전술 규칙	วางแผนยุทธวิธี	攻击力提升20%	攻擊力提升20%	ATK +20%	攻撃力＋20％	공격력 20% 증가	ATK เพิ่มขึ้น 20%
12177002	2	1	0	9100027	1,2,3,4,6,7,8,9,11,12,13,14,16,17,18,19	30:maze_buff_icon_20021	1,2,3,4,5,6	60	1		1	铜墙铁壁	銅牆鐵壁	Unbreakable Armor	鉄壁	철벽 방어	ปราการมั่นคง	防御力提升30%	防禦力提升30%	DEF +30%	防御力＋30%	방어력 +15%	DEF เพิ่มขึ้น 15%
12177003	3	1	0	9100037	1,2,3,4,6,7,8,9,11,12,13,14,16,17,18,19	30:maze_buff_icon_20061	1,2,3,4,5,6	60	1		1	生命加护	生命加護	Vital Guard	生命の加護	생명의 가호	โล่ HP	生命值上限提升30%	生命值上限提升30%	Max HP +30%	最大HP＋30%	최대 HP +30%	MaxHP เพิ่มขึ้น 30%
12177004	4	1	0	9100047	1,2,3,4,6,7,8,9,11,12,13,14,16,17,18,19	30:maze_buff_icon_20121	1,2,3,4,5,6	60	1		1	猛攻	猛攻	Fierce Assault	猛攻	맹공	โจมตีรุนแรง	穿透率提升15%	穿透率提升15%	Armor PEN +15%	貫通率＋15%	관통률 +15%	อัตรา​เจาะ​เกราะ​เพิ่มขึ้น​ 15%​
12177005	5	1	0	9100052	1,2,3,4,6,7,8,9,11,12,13,14,16,17,18,19	30:maze_buff_icon_20131	1,2,3,4,5,6	60	1		1	奇袭策略	奇襲策略	Surprise Assault	奇襲の謀略	기습 전략	กลยุทธ์ลอบโจมตี	暴击率提升20%	爆擊率提升20%	CRIT Rate +20%	会心率＋20%	크리티컬율 +20%	อัต​ราค​ริ​ติ​คอ​ล​เพิ่มขึ้น​ 20%​
12177006	6	2	0	9100067	1,2,3,4,6,7,8,9,11,12,13,14,16,17,18,19	30:maze_buff_icon_20141	1,2,3,4,5,6	60	1		1	弱点解析	弱點解析	Weakness Detection	弱点解析	약점 분석	วิเคราะห์จุดอ่อน	暴击伤害提升50%	爆擊傷害提升50%	CRIT DMG +50%	会心ダメージ＋50％	크리티컬 대미지 50% 증가	ดา​เม​จค​ริ​ติ​คอ​ล​เพิ่มขึ้น​ 50%​
12177007	7	2	0	9110001	1,2,3,4,6,7,8,9,11,12,13,14,16,17,18,19	30:maze_buff_icon_20082	1,2,3,4,5,6	60	1		1	嗜血	嗜血	Bloodlust	血狂い	피의 굶주림	กระหายเลือด	使用技能对敌方造成伤害后，自身恢复伤害量30%的生命值	使用技能對敵方造成傷害後，自身恢復傷害量30%的生命值	When dealing damage with skills, Combatants restore HP equal to 30% damage dealt.	スキルで敵にダメージを与えた後、HPを回復する（回復量はダメージ量の30%に相当する）。	스킬이 대미지 부여 후, 부여한 대미지의 30%에 해당하는 자체 HP 회복	หลังจาก​ใช้สกิล​สร้าง​ดาเมจ​แก่ศัตรู ​จะฟื้นฟู ​HP ​ของ​ตัวเอง ​30% ​จาก​ดาเมจ​ที่ทำได้​
12177008	8	2	0	9100083	1,2,3,4,6,7,8,9,11,12,13,14,16,17,18,19	30:maze_buff_icon_20102	1,2,3,4,5,6	60	1		1	高效医疗	高效醫療	Efficient Healing	先進医療	고효율 치유	การรักษาคุณภาพสูง	受到治疗效果、受到护盾提升30%	受到治療效果、受到護盾提升30%	Received Healing & Shield +30%	被回復効果、被シールド耐久＋30%	적용되는 치유 효과, 실드 +30%	ได้รับ​เอฟเฟกต์​ฟื้นฟู​และ​โล่​ป้องกัน​เพิ่มขึ้น​ 30%​
12177011	11	2	0	9100551	1,2,3,4,6,7,8,9,11,12,13,14,16,17,18,19	30:maze_buff_icon_20262	1,2,3,4,5,6	60	1		1	克制加深	克制加深	Increased Suppression	あとやり	역상성 심화	การชนะทางเพิ่มขึ้น	攻击自身克制的属性，造成伤害额外提升30%	攻擊自身克制的屬性，造成傷害額外提升30%	Deal 30% more damage to the countered Elementals.	有利属性で敵を攻撃する場合、与ダメージ＋30%	자신과 상성 속성인 적 공격 시, 대미지 +30%	เมื่อ​โจมตี​คุณสมบัติ​ที่​ตนเอง​ชนะ​ทาง​ ดา​เม​จ​ที่​สร้าง​จะ​เพิ่มขึ้น​ 30%​
12177012	12	2	0	9100521	1,2,3,4,6,7,8,9,11,12,13,14,16,17,18,19	30:maze_buff_icon_20461	1,2,3,4,5,6	60	1		1	紧急救援	緊急救援	Emergency Rescue	緊急救援	긴급 지원	ช่วยเหลือฉุกเฉิน	每回合结束时，恢复生命值最低友方30%最大生命值	每回合結束時，恢復生命值最低友方30%最大生命值	At the end of each turn, heals the ally with the lowest HP for 30% of their max HP.	ターン終了時、HPの最も低い味方が最大HP30%分を回復する。	매 턴 종료 시, HP가 가장 낮은 아군에게 최대 HP 30%에 해당하는 치유 효과 부여	เมื่อ​จบ​แต่ละ​เทิร์น​ จะ​ฟื้นฟู​ HP​ ของ​เพื่อน​ร่วม​ทีม​ที่​มี​ HP​ ต่ำสุด​ 30%​ ของ​ MaxHP​
12177013	13	3	0	9100215	4,5,9,10,15,19	30:maze_buff_icon_20551	1,2,3,4,5,6	5	1		1	鼓励	鼓勵	Moral Boost	激励	격려	กำลังใจ	每回合开始时，全体友方随机一张技能卡升2星	每回合開始時，全體友方隨機一張技能卡升2星	At the beginning of each turn, all allies upgrade one random skill card by 2★.	毎ターン開始時、味方全体のランダムなスキルカード1枚の★数＋2。	매번 턴 시작 시, 전체 아군은 랜덤으로 1장의 스킬 카드가 2★ 증가한다.	เมื่อ​เริ่ม​แต่ละ​เทิร์น​ จะ​สุ่ม​อัปเกรด​การ์ด​สกิล​หนึ่ง​ใบ​ของ​เพื่อน​ร่วม​ทีม​ทั้งหมด​เพิ่มขึ้น​ 2★​
12177014	14	3	0	9100211	4,5,9,10,15,19	30:maze_buff_icon_20431	1,2,3,4,5,6	5	1		1	战前支援	戰前支援	Prebattle Assist	戦前支援	전투 전 지원	สนับสนุนก่อนออกสู้	战斗开始时，全体友方获得2点奥义能量	戰鬥開始時，全體友方獲得2點奧義能量	At the start of a battle, all allies gain 2 SP.	戦闘開始時、味方全体のSP＋2	전투 시작 시, 아군 필살기 게이지 +2pt	เมื่อ​เริ่ม​การต่อสู้​ เพื่อน​ร่วม​ทีม​ทั้งหมด​จะ​ได้รับ​พลังงาน​อัล​ติ​เมท​ 2​ แต้ม​
12177015	15	3	0	9100591	4,5,9,10,15,19	30:maze_buff_icon_20761	1,2,3,4,5,6	5	1		1	拘捕计划	拘捕計畫	Capture Plan	捕獲計画	체포 플랜	แผนการจับกุม	战斗开始时，敌方全体【恐惧】1回合 【恐惧】：无法使用攻击技能	戰鬥開始時，敵方全體【恐懼】1回合 【恐懼】：無法使用攻擊技能	At the start of battles, all enemies are inflicted with [Fear] for 1 turn. [Fear]: Unable to use offensive skills.	戦闘開始時、敵全体に【恐怖】を付与します。【恐怖】：攻撃スキル使用不可	전투 시작 시, 전체 적이 1턴 동안 [공포]를 획득. [공포]: 공격 스킬 사용 불가	เมื่อเริ่มการต่อสู้ ​ฝ่ายศัตรู​ทั้งหมด​จะได้รับ ​[หวาดกลัว] ​เป็นเวลา ​1 เทิร์น​\n[หวาดกลัว]: ​ไม่สามารถ​ใช้สกิล​โจมตี​ได้​
12177016	16	3	0	9100216	4,5,9,10,15,19	30:maze_buff_icon_20431	1,2,3,4,5,6	5	1		1	疾风骤雨	疾風驟雨	Tempest Flurry	スコール	폭풍우	พายุฝนลมแรง	使用技能时额外获得1点奥义能量	使用技能時額外獲得1點奧義能量	When using skills, gain 1 extra SP .	スキル発動時、追加でSP＋1	스킬 사용 시, 추가로 필살기 게이지 +1pt	เมื่อ​ใช้​สกิล​จะ​ได้รับ​พลังงาน​อัล​ติ​เมท​เพิ่มเติม​ 1​ แต้ม​
12177482	17	3	0	9100482	4,5,9,10,15,19	30:maze_buff_icon_20501	1,2,3,4,5,6	5	1		1	护盾援护	護盾援護	Shield Support	シールド援護	실드 지원	ซัพพอร์ตโล่ป้องกัน	进入战斗时，我方全体获得自身生命值50%的护盾，持续3回合	進入戰鬥時，我方全體獲得自身生命值50%的護盾，持續3回合	When entering a battle, all allies gain a shield equal to 50% of their HP. Lasts 3 turns.	戦闘開始時、味方全体に最大HP50%に相当するシールドを付与する、3ターン持続。	전투 입장 시, 3턴 동안 아군이 자체 HP 50%에 해당하는 실드 획득	เมื่อเข้าสู่การต่อสู้ ​ฝ่ายเรา​ทั้งหมด​จะได้รับ​โล่ป้องกัน​ที่มี​ค่า​เท่ากับ ​50% ​ของ ​HP ​ตัวเอง ​ต่อเนื่อง ​3 เทิร์น​
12177484	18	3	0	12177484	4,5,9,10,15,20	30:maze_buff_icon_20391	1,2,3,4,5,6	5	1		1	势如破竹	勢如破竹	Indomitable Force	破竹の勢い	파죽지세	ราบรื่นไร้อุปสรรค	前3回合额外获得80%暴击率	前3回合額外獲得80%爆擊率	Gain an additional 80% CRIT Rate for the first 3 turns.	1〜3ターンで、追加で会心率＋80％	첫 3턴 동안 크리티컬 확률을 추가로 80% 획득한다	3​ เทิร์น​แรก​จะ​ได้รับ​อัต​ราค​ริ​ติ​คอ​ล​เพิ่มเติม​ 80%​
12177485	19	3	0	12177485	4,5,9,10,15,21	30:maze_buff_icon_20711	1,2,3,4,5,6	5	1		1	厚积薄发	厚積薄發	Rising Force	蓄積	충전발산	พลังอัดประจุ	每回合开始时，获得1层厚积薄发，攻击力提升8%，最多叠加至10层	每回合開始時，獲得1層厚積薄發，攻擊力提升8%，最多疊加至10層	At the beginning of each turn, gain 1 stack of Rising Force, increasing ATK by 8%. Stacks up to 10 times.	毎ターン開始時、自身に「蓄積」を1スタックし、攻撃力＋8％(最大10スタックまで)	턴이 시작할 때마다, 충전발산을 1스택 획득한다. 공격력이 8% 증가하고, 최대 10스택까지 중첩 가능	เมื่อ​เริ่ม​แต่ละ​เทิร์น​ จะ​ได้รับ​พลัง​อัด​ประจุ​ 1​ ชั้น​ ATK​ เพิ่มขึ้น​ 8%​ ซ้อนทับ​ได้​สูงสุด​ 10​ ชั้น​
12177486	20	3	0	12177486	4,5,9,10,15,22	30:maze_buff_icon_20231	1,2,3,4,5,6	5	1		1	快速重整	快速重整	Quick Revamp	休養再編成	신속 정비	ฟื้นฟูเร่งด่วน	每回合开始时，驱散我方携带的减益效果	每回合開始時，驅散我方攜帶的減益效果	At the beginning of each turn, dispel all debuffs from allies.	毎ターン開始時、味方が持っているデバフ効果を解除する	턴이 시작할 때마다, 아군이 보유한 디버프 효과를 제거한다	เมื่อ​เริ่ม​แต่ละ​เทิร์น​ จะ​ลบล้าง​เอฟเฟกต์​ดี​บัฟ​ที่​ฝ่าย​เรา​มี​ออก​
