Id	AddType	Effect_type	buffId	photoId	quality	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	description	description_zh_TW	description_en_UK	description_ja_JP	description_ko_KR	description_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
12177901	0	0	9120011	31:maze_debuff_icon_10001	4	1	情绪低落	情緒低落	Low Energy	ローテンション	감정 저하	พาโธสลดลง	我方全体基础攻击力降低30%	我方全體基礎攻擊力降低30%	Reduces all allies' Base ATK by 30%.	味方全体の攻撃力−30%	아군 전체의 기본 공격력 -30%	ATK​ พื้นฐาน​ของ​ฝ่าย​เรา​ทั้งหมด​ลดลง​ 30%​
12177902	0	0	9120021	31:maze_debuff_icon_10002	4	1	过度疲劳	過度疲勞	Exhaustion	過労	과로	เหนื่อยเกินไป	我方全体防御降低40%	我方全體防禦降低40%	Reduces all allies' DEF by 40%.	味方全体の防御力−40%	아군 전체의 방어력 -40%	DEF​ พื้นฐาน​ของ​ฝ่าย​เรา​ทั้งหมด​ลดลง​ 40%​
12177903	0	0	9120031	31:maze_debuff_icon_10003	4	1	体力透支	體力透支	Depleted Stamina	過度消費	행동력 소모	พลังงานหมด	我方全体生命值降低40%	我方全體生命值降低40%	Reduces all allies' HP by 40%.	味方全体の最大HP−40%	아군 전체의 HP -40%	HP​ พื้นฐาน​ของ​เพื่อน​ร่วม​ทีม​ทุกคน​ลดลง​ 40%​
12177904	0	0	9120041	31:maze_debuff_icon_10006	4	1	信息失效	資訊失效	Information Loss	失効メッセージ	정보 무효	ข้อมูลหมดอายุ	我方全体暴击降低30%	我方全體爆擊降低30%	Reduces all allies' CRIT Rate by 30%.	味方全体の会心率−30%	아군 전체의 크리티컬 -30%	ค​ริ​ติ​คอ​ล​ของ​เพื่อน​ร่วม​ทีม​ทุกคน​ลดลง​ 30%​
12177905	0	0	9120051	31:maze_debuff_icon_10007	4	1	过期药剂	過期藥劑	Expired Potion	期限切れの薬剤	유효기간 만료 약품	น้ำยาหมดอายุ	我方全体生命恢复效果降低50%	我方全體生命恢復效果降低50%	Reduces all allies' healing received by 50%.	味方全体のHP回復効果−50%	아군 전체의 HP 회복 효과 -50%	เอฟเฟกต์​ฟื้นฟู​ของ​เพื่อน​ร่วม​ทีม​ทุกคน​ลดลง​ 50%​
12177906	0	0	9120061	31:maze_debuff_icon_10005	4	1	护盾失效	護盾失效	Shield Failure	シールド失効	실드 무효	โล่ป้องกันหมดอายุ	我方全体受到护盾效果降低80%	我方全體受到護盾效果降低80%	Reduces all allies' Shield Gained by 80%.	味方全体が受けるシールド−50%	아군 전체에게 적용되는 실드 효과 -80%	เอฟเฟกต์​โล่​ของ​เพื่อน​ร่วม​ทีม​ทุกคน​ลดลง​ 80%​
12177907	0	0	9120071	31:maze_debuff_icon_10012	4	1	脆弱	脆弱	Fragility	脆弱	허약	อ่อนแรง	我方全体受到最终伤害提升40%	我方全體受到最終傷害提升40%	All allies take 40% more Final DMG.	味方全体が受ける最終ダメージ＋40%	아군 전체에게 적용되는 최종 대미지 +40%	ฝ่าย​เรา​ได้รับ​ดา​เม​จ​สุดท้าย​เพิ่มขึ้น​ 40%​
12177908	0	0	9120081	31:maze_debuff_icon_10010	4	1	迷雾重重	迷霧重重	Fog of War	深い霧	짙은 안개	หมอกหนา	战斗前两个回合，我方全体受到伤害提升50%	戰鬥前兩個回合，我方全體受到傷害提升50%	In the first 2 turns, all allies take 50% more damage .	1~2ターン目、味方全体の被ダメージ＋50%	전투 시작 후 두번째 턴까지, 아군 전체에게 적용되는 대미지 +50%	ใน​สอง​เทิร์น​แรก​ ฝ่าย​เรา​จะ​ได้รับ​ดา​เม​จ​เพิ่มขึ้น​ 50%​
12177909	0	1		31:maze_debuff_icon_10016	4	1	禁止	禁止	Prohibition	禁止	금지	ปิดกั้น	无法使用刷新圣物功能	無法使用刷新聖物功能	Unable to refresh Relics.	聖物をリセットできない。	성유물 기능 초기화 불가	ไม่​สามารถ​ใช้​ฟังก์ชัน​รีเฟรช​ริ​ลิ​ค​ได้​
12177910	0	2		31:maze_debuff_icon_10017	4	1	负担	負擔	Burden	負担	부담	ภาระ	刷新圣物消耗翻倍	刷新聖物消耗翻倍	Refreshing Relics costs double.	聖物リセットの消費が二倍になる。	성유물 초기화 시 2배 소모됨	ราคา​รีเฟรช​ริ​ลิ​ค​เพิ่ม​สองเท่า​
