id	region	group	floor	level_num	next_level	map_line	status
int	int	int	int	int	int	int	int
1	1	1	1	1	1,2,3	Line_1_3_0	1
2	1	1	2	3	1;1,2;2	Line_3_2_2	1
3	1	1	3	2	1,2;2,3	Line_2_3_2	1
4	1	1	4	3	1;1;1	Line_3_1_0	1
5	1	1	5	1	1,2,3	Line_1_3_0	1
6	1	1	6	3	1;1,2;2	Line_3_2_2	1
7	1	1	7	2	1,2;2,3	Line_2_3_2	1
8	1	1	8	3	1;1,2;2	Line_3_2_2	1
9	1	1	9	2	1;1	Line_2_1_0	1
10	1	1	10	1	1,2	Line_1_2_0	1
11	1	1	11	2	1,2;2,3	Line_2_3_2	1
12	1	1	12	3	1;1,2;2	Line_3_2_2	1
13	1	1	13	2	1,2;2,3	Line_2_3_2	1
14	1	1	14	3	1;1;1	Line_3_1_0	1
15	1	1	15	1	1,2	Line_1_2_0	1
16	1	1	16	2	1,2;2,3	Line_2_3_2	1
17	1	1	17	3	1;1,2;2	Line_3_2_2	1
18	1	1	18	2	1,2;2,3	Line_2_3_2	1
19	1	1	19	3	1;1;1	Line_3_1_0	1
20	1	1	20	1			1
21	1	2	1	1	1,2	Line_1_2_0	1
22	1	2	2	2	1;2,3	Line_2_3_0	1
23	1	2	3	3	1;1,2;2	Line_3_2_2	1
24	1	2	4	2	1;1	Line_2_1_0	1
25	1	2	5	1	1,2,3	Line_1_3_0	1
26	1	2	6	3	1;1,2;2	Line_3_2_2	1
27	1	2	7	2	1,2;2,3	Line_2_3_2	1
28	1	2	8	3	1;1,2;2	Line_3_2_2	1
29	1	2	9	2	1;1	Line_2_1_0	1
30	1	2	10	1	1,2	Line_1_2_0	1
31	1	2	11	2	1,2;2,3	Line_2_3_2	1
32	1	2	12	3	1;1,2;2	Line_3_2_2	1
33	1	2	13	2	1,2;2,3	Line_2_3_2	1
34	1	2	14	3	1;1;1	Line_3_1_0	1
35	1	2	15	1	1,2	Line_1_2_0	1
36	1	2	16	2	1,2;2,3	Line_2_3_2	1
37	1	2	17	3	1;1;2	Line_3_2_1	1
38	1	2	18	2	1,2;2,3	Line_2_3_2	1
39	1	2	19	3	1;1;1	Line_3_1_0	1
40	1	2	20	1			1
41	2	1	1	1	1,2	Line_1_2_0	1
42	2	1	2	2	1,2;2,3	Line_2_3_2	1
43	2	1	3	3	1;1,2;2	Line_3_2_2	1
44	2	1	4	2	1;1	Line_2_1_0	1
45	2	1	5	1	1,2,3	Line_1_3_0	1
46	2	1	6	3	1;1,2;2	Line_3_2_2	1
