id	areaId	schemeCount	schemeCard	schemeCore	schemeBuff	status	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int
301	1	1	163008;162008;132008;101002	2	12177227;12177226;12177225;12177224;12177223;12177222;12177221;12177220;12177219;12177218;12177217;12177216	1						
302	1	2	149008;152008;143008;122008	1	12177215;12177214;12177213;12177212;12177211;12177210;12177209;12177208;12177207;12177206;12177205;12177204;12177203;12177202	1						
303	2	1	802008;803008;136008;127001	1	12177138;12177137;12177136;12177135;12177134;12177133;12177132	1						
304	2	1	140008;161008;160008;154008	2	12177052;12177051;12177053;12177049;12177047;12177044;12177045;12177037;12177038;	1						
305	3	1	125008;804008;805008;141008	1	12177176;12177175;12177174;12177173;12177172;12177171;12177170;12177169	1						
306	3	2	123008;119008;138008;133008	1	12177201;12177200;12177199;12177198;12177197;12177196;12177195;12177194;12177193;12177192;12177191;12177190;12177189	1						
307	1	1	163008;132008;166008;101002	1	12177176;12177175;12177174;12177173;12177172;12177171;12177170;12177169	1						
308	2	1	155008;145008;164008;161008	1	12177001;12177002;12177003;12177004;12177005;12177006;12177007;12177008;12177009;12177010;12177011;12177012;12177013;12177014;12177015;12177016;12177482;12177484;12177485;12177486	1						
309	3	1	135002;144002;102018;165008	1	12177152;12177153;12177154;12177155;12177156;12177157;12177158;12177159;12177160;12177161;12177162;12177163	1						
