id	desc	plotIdStory	plotIdWave	plotIdEndWave	status
int	int	int	int	int	int
50020001	3010000	3010000			1
50020101	3010010	3010010			1
50020102					1
50020103	3010030	3010030			1
50020104	3010040	3010040			1
50020105					1
50020106	3010061		3010061		1
50020107	3010070	3010070			1
50020201	3010080	3010080			1
50020202	3010090	3010090			1
50020203	3010101		3010101		1
50020204	3010111		3010111		1
50020205	3010120	3010120			1
50020206	3010130	3010130			1
50020301	3010140	3010140			1
50020302	3010150	3010150			1
50020303					1
50020304	3010170	3010170			1
50020305	3010180	3010180			1
50020306	3010190	3010190			1
50020401	3010200	3010200			1
50020402	3010211		3010211		1
50020403	3010220	3010220			1
50020404	3010230	3010230			1
50020405	3010240	3010240			1
50020406	3010250	3010250			1
50020407	3010260	3010260			1
50020408	3010270	3010270			1
50020501	3010280	3010280			1
50020502					1
50020503	3010300	3010300			1
50020504	3010310	3010310			1
50020505	3010320	3010320			1
50020506	3010330	3010330			1
50020507					1
50020508	3010350	3010350			1
50020509	3010360	3010360			1
50021101	3015010	3015010			1
50021102	3015020	3015020			1
50021103	3015030	3015030			1
50021104	3015040	3015040			1
50021105	3015050	3015050			1
50021106					1
50021107	3015060	3015060			1
50021108	3015070	3015070			1
50021201	3015080	3015080			1
50021202	3015090	3015090			1
50021203	3015100	3015100			1
50021204	3015110	3015110			1
50021205	3015120	3015120			1
50021206	3015130	3015130			1
50021207	3015140	3015140			1
50021208	3015150	3015150			1
50021209					1
50021210	3015160	3015160			1
50021301	3015170	3015170			1
50021302	3015180	3015180			1
50021303	3015190	3015190			1
50021304	3015201		3015201	3015203	1
50021305	3015210	3015210			1
50021306	3015220	3015220			1
50021307	3015230	3015230			1
50021308	3015240	3015240			1
50021401	3015250	3015250			1
50021402	3015260	3015260			1
50022101	3020010	3020010			1
50022102	3020020	3020020			1
50022103	3020030	3020030			1
50022104					1
50022105	3020040	3020040			1
50022201	3020050	3020050			1
50022202	3020060	3020060			1
50022203					1
50022204	3020070	3020070			1
50022205	3020080	3020080			1
50022301	3020090	3020090			1
50022302	3020100	3020100			1
50022303					1
50022304	3020111		3020111		1
50022305	3020120	3020120			1
50022401	3020130	3020130			1
50022402	3020140	3020140			1
50023101	3021010	3021010			1
50023102	3021020	3021020			1
50023103	3021031		3021031	3021033	1
50023104	3021041		3021041		1
50023201	3021053			3021053	1
50023202	3021060	3021060			1
50023203	3021070	3021070			1
50023204	3021081		3021081		1
50023301	3021091		3021091		1
50023302	3021101		3021101		1
50023303	3021111		3021111		1
50023304	3021120	3021120			1
50023305	3021131		3021131		1
50023306	3021140	3021140			1
50023307	3021150	3021150			1
50023401	3021160	3021160			1
50024101	3022010	3022010			1
50024102	3022021		3022021	3022023	1
50024103	3022030	3022030			1
50024104	3022041		3022041	3022043	1
50024105	3022050	3022050			1
50024201	3022060	3022060			1
50024202	3022070	3022070			1
50024203	3022081		3022081		1
50024204	3022090	3022090			1
50024205	3022100	3022100			1
50024301	3022110	3022110			1
50024302	3022120	3022120			1
50024303	3022131		3022131	3022133	1
50024304	3022141		3022141		1
50024305	3022150	3022150			1
50024401	3022160	3022160			1
50024402	3022170	3022170			1
50025101	3024011		3024011		1
50025102	3024020	3024020			1
50025103	3024031		3024031		1
50025104	3024040	3024040			1
50025105	3024050	3024050			1
50025201	3024060	3024060			1
50025202	3024070	3024070			1
50025203	3024080	3024080			1
50025204	3024090	3024090			1
50025301	3024101		3024101		1
50025302	3024110	3024110			1
50025303	3024120	3024120			1
50025304	3024131		3024131	3024133	1
50025305	3024140	3024140			1
50025401	3024151		3024151		1
50025402	3024161		3024161		1
50025403	3024170	3024170			1
50025404	3024180	3024180			1
50025405	3024190	3024190			1
50025406	3024200	3024200			1
50026101	3026010		3026010		1
50026102	3026020	3026020			1
50026103	3026030	3026030			1
50026104	3026040		3026040		1
50026105	3026050	3026050			1
50026106	3026060	3026060			1
50026201	3026070		3026070		1
50026202	3026080	3026080			1
50026203	3026090		3026090		1
50026204	3026100	3026100			1
50026205	3026110	3026110			1
50026206	3026120	3026120			1
50026301	3026130	3026130			1
50026302	3026140	3026140			1
50026303	3026150	3026150			1
50026304	3026160	3026160			1
50026305	3026170		3026170		1
50026306	3026180		3026180		1
50026307	3026190	3026190			1
50026308	3026200		3026200		1
50026309	3026210	3026210			1
50026310	3026220	3026220			1
50027101	3027010	3027010			1
50027102	3027020	3027020			1
50027103	3027030		3027030		1
50027104	3027040	3027040			1
50027105	3027050	3027050			1
50027106	3027060	3027060			1
50027107	3027070	3027070			1
50027108	3027080		3027080		1
50027109	3027090	3027090			1
50027201	3027100	3027100			1
50027202	3027110		3027110		1
50027203	3027120	3027120			1
50027204	3027130	3027130			1
50027205	3027140		3027140		1
50027206	3027150	3027150			1
50027207	3027160		3027160		1
50027208	3027170	3027170			1
50027209	3027180	3027180			1
50027301	3027190		3027190		1
50027302	3027200	3027200			1
