id	activityId	picture	unlockLevel	mainQuestUnlockLevel	exp	cardExp	battleRules	proposalLevel	costItem	costNum	costNumLose	sceneId	rounds	roleNun	repeatButton	powerRatioTeamID	showContinueBtn	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
50030101	1	150:activity_letterfrom_repeat_img_1	0	50020107			1	30000	9000010	30	0	15002	10	4	1	21	1	1	雪笺书局	雪箋書局	Snowflake Bookstore	雪箋書局	스노우레터 서고	ร้านหนังสือสโนว์เฟลก
50030201	1	150:activity_letterfrom_repeat_img_2	50030101	50020206			1	60000	9000010	30	0	15003	10	4	1	21	1	1	斯图亚特广场	斯圖亞特廣場	Stuart Square	スチュアート広場	스튜어트 광장	จตุรัสสจวร์ต
50030301	1	150:activity_letterfrom_repeat_img_3	50030201	50020306			1	90000	9000010	30	0	15004	10	4	1	21	1	1	新利兹邮局	新利茲郵局	New Leids Post Office	ニューリーズ郵便局	뉴 리즈 우체국	ที่ทำการไปรษณีย์นิวลิซ
50030401	1	150:activity_letterfrom_repeat_img_4	50030301	50020408			1	150000	9000010	30	0	15005	10	4	1	21	1	1	罗赛塔花园	羅賽塔花園	Rosette Garden	ロゼータの庭園	로제타 가든	สวนโรเซตตา
50030501	1	150:activity_letterfrom_repeat_img_5	50030401	50020509			1	220000	9000010	30	0	17301	10	4	1	21	1	1	风蚀暗堡	風蝕暗堡	Eolus' Keep	風蝕の闇城	풍화된 벙커	บังเกอร์ลมกร่อน
50031101	2	150:activity_nameless_repeat_img_1	0	50021108			1	40000	9000081	30	0	13101	10	4	1	21	1	1	凯菲尔的排班记录	凱菲爾的排班記錄	Garfire's Scheduling Record	ガーフィールのシフト表	가르피엘의 근무 기록	ตารางงานของคาเฟียร์
50031201	2	150:activity_nameless_repeat_img_2	50031101	50021210			1	80000	9000081	30	0	13101	10	4	1	21	1	1	黛蕾拉的排班记录	黛蕾拉的排班記錄	Delilah's Scheduling Record	デリラのシフト表	딜라일라의 근무 기록	ตารางงานของไดเลล่า
50031301	2	150:activity_nameless_repeat_img_3	50031201	50021308			1	140000	9000081	30	0	13201	10	4	1	21	1	1	莉莉的排班记录	莉莉的排班記錄	Lily's Scheduling Record	リリーのシフト表	릴리의 근무 기록	ตารางงานของลิลี่
50031401	2	150:activity_nameless_repeat_img_4	50031301	50021402			1	220000	9000081	30	0	18501	10	4	1	21	1	1	后日谈	後日談	After Story	後日談	후일담	เรื่องราวหลังจากนั้น
50032101	3	202:activity_water_repeat_img_1	0	50022105			1	40000	9000079	30	0	13101	10	4	1	21	1	1	繁华市集	繁華市集	Bustling Marketplace	市場	번화한 시장	ตลาดนัดสุดคึกคัก
50032201	3	202:activity_water_repeat_img_2	50032101	50022205			1	80000	9000079	30	0	13101	10	4	1	21	1	1	主舞台	主舞臺	Main Stage	メインステージ	메인 무대	เวทีหลัก
50032301	3	202:activity_water_repeat_img_3	50032201	50022305			1	140000	9000079	30	0	13201	10	4	1	21	1	1	室内舞台	室內舞臺	Indoor Stage	室内ステージ	실내 무대	โรงละครในร่ม
50032401	3	202:activity_water_repeat_img_4	50032301	50022402			1	220000	9000079	30	0	18501	10	4	1	21	1	1	狂欢夜	狂歡夜	Carnival Night	カーニバルナイト	광희의 밤	คืนสุขสันต์
50033101	4	202:activity_cherry_repeat_img_1	0	50023104			1	30000	9000083	20	0	82314	10	4	1	21	1	1	暮樱赏会	暮櫻賞會	Sakura Gala	遅桜鑑賞会	늦벚꽃 감상회	งานชมดอกซากุระยามเย็น
50033201	4	202:activity_cherry_repeat_img_2	50033101	50023204			1	60000	9000083	20	0	82314	10	4	1	21	1	1	豹豹日报社	豹豹日報社	Leopard Daily	ヒョウヒョウ日報社	레오파드 데일리	ต้าวเสือดาว เดลินิวส์
50033301	4	202:activity_cherry_repeat_img_3	50033201	50023307			1	90000	9000083	20	0	14804	10	4	1	21	1	1	樱下夜径	櫻下夜徑	Nightshade Path	桜の夜道	벚꽃 아래에서의 밤길	เส้นทางใต้ต้นซากุระยามค่ำคืน
50033401	4	202:activity_cherry_repeat_img_4	50033301	50023401			1	150000	9000083	20	0	14804	10	4	1	21	1	1	野餐日	野餐日	Picnic in the Park	ピックニックの日	피크닉 데이	วันปิกนิก
50034101	5	204:activity_wandering_repeat_img_1	0	50024105			1	30000	9000085	20	0	73406	10	4	1	21	1	1	情绪干预中心	情緒干預中心	Emotion Remedy Center	エモーションリメディセンター	이모션 컨트롤 센터	ศูนย์เยียวยาพาโธซิส
50034201	5	204:activity_wandering_repeat_img_2	50034101	50024205			1	60000	9000085	20	0	73406	10	4	1	21	1	1	流浪猫之家	流浪貓之家	Stray Cat Shelter	野良猫の家	낭만 고양이 하우스	บ้านแมวจร
50034301	5	204:activity_wandering_repeat_img_3	50034201	50024305			1	90000	9000085	20	0	12101	10	4	1	21	1	1	废弃工厂	廢棄工廠	Derelict Factory	廃工場	폐공장 지대	โรงงานร้าง
50034401	5	204:activity_wandering_repeat_img_4	50034301	50024402			1	150000	9000085	20	0	12101	10	4	1	21	1	1	一家人	一家人	Family Bond	家族	가족	คนบ้านเดียวกัน
50035101	6	204:activity_fireworks_repeat_img_1	0	50025105			1	30000	9000088	20	0	82015	10	4	1	21	1	1	出游香山岛	出遊香山島	To Fragrance Island	香山島への旅	향산도 여행	ออกสำรวจเกาะ
50035201	6	204:activity_fireworks_repeat_img_2	50035101	50025204			1	60000	9000088	20	0	84621	10	4	1	21	1	1	庆典之夜	慶典之夜	Night of Celebration	祝典の夜	축제의 밤	คืนเฉลิมฉลอง
50035301	6	204:activity_fireworks_repeat_img_3	50035201	50025305			1	90000	9000088	20	0	87401	10	4	1	21	1	1	无尽的演出	無盡的演出	Never-ending Show	終わらない祭り	끝없는 공연	การแสดงไร้สิ้นสุด
50035401	6	204:activity_fireworks_repeat_img_4	50035301	50025406			1	150000	9000088	20	0	82101	10	4	1	21	1	1	心愿绽放之夜	心願綻放之夜	Wish-Blooming Night	願いが叶う夜	소원이 피어나는 밤	คืนที่คำอธิษฐานผลิบาน
50036101	7	210:activity_flower_repeat_img_1	0	50026106			1	60000	9000102	20	0	13303	10	4	1	21	1	1	杜兰达尔酒店	杜蘭達爾酒店	Durandal Hotel	デュランダルホテル	뒤랑달 호텔	โรงแรมดูแรนดัล
50036201	7	210:activity_flower_repeat_img_2	50036101	50026206			1	90000	9000102	20	0	12603	10	4	1	21	1	1	希里诺斯大使馆	希里諾斯大使館	Syrinos Embassy	シリノス大使館	히리노스 대사관	สถานทูตซีรีนอส
50036301	7	210:activity_flower_repeat_img_3	50036201	50026310			1	150000	9000102	20	0	14806	10	4	1	21	1	1	厄德堡	厄德堡	Erdburg	エルドブルク	에르드부르크	แอร์ดบวร์ก
50037101	8	213:activity_train_repeat_img_1	0	50027109			1	60000	9000104	20	0	11201	10	4	1	21	1	1	19:00~21:00	19:00~21:00	19:00~21:00	19:00~21:00	19:00~21:00	
50037201	8	213:activity_train_repeat_img_2	50037101	50027209			1	90000	9000104	20	0	13201	10	4	1	21	1	1	21:00~23:00	21:00~23:00	21:00~23:00	21:00~23:00	21:00~23:00	
50037301	8	213:activity_train_repeat_img_3	50037201	50027302			1	150000	9000104	20	0	23701	10	4	1	21	1	1	23:00~	23:00~	23:00~	23:00~	23:00~	
