id	regularReward	regularRewardNum	fristRewards	fristRewardsNum	showItem	showItemNum	showItemTag	raidRewardID	raidRewardNum	status
int	int	int	int	int	int	int	int	int	int	int
50030101	9000013	30	9000013	200	9000013;9000013	30;200	1;3			1
50030201	9000013	45	9000013	250	9000013;9000013	45;250	1;3			1
50030301	9000013	60	9000013	300	9000013;9000013	60;300	1;3			1
50030401	9000013	75	9000013	350	9000013;9000013	75;350	1;3			1
50030501	9000013	90	9000013	400	9000013;9000013	90;400	1;3			1
50031101	9000082	45	9000082	250	9000082;9000082	45;250	1;3			1
50031201	9000082	60	9000082	300	9000082;9000082	60;300	1;3			1
50031301	9000082	75	9000082	350	9000082;9000082	75;350	1;3			1
50031401	9000082	90	9000082	400	9000082;9000082	90;400	1;3			1
50032101	9000080	45	9000080	250	9000080;9000080	45;250	1;3			1
50032201	9000080	60	9000080	300	9000080;9000080	60;300	1;3			1
50032301	9000080	75	9000080	350	9000080;9000080	75;350	1;3			1
50032401	9000080	90	9000080	400	9000080;9000080	90;400	1;3			1
50033101	9000084	45	9000084	250	9000084;9000084	45;250	1;3			1
50033201	9000084	60	9000084	300	9000084;9000084	60;300	1;3			1
50033301	9000084	75	9000084	350	9000084;9000084	75;350	1;3			1
50033401	9000084	90	9000084	400	9000084;9000084	90;400	1;3			1
50034101	9000086	50	9000086	250	9000086;9000086	45;250	1;3			1
50034201	9000086	80	9000086	300	9000086;9000086	60;300	1;3			1
50034301	9000086	120	9000086	350	9000086;9000086	75;350	1;3			1
50034401	9000086	180	9000086	400	9000086;9000086	90;400	1;3			1
50035101	9000089	50	9000089	250	9000089;9000089	50;250	1;3			1
50035201	9000089	80	9000089	300	9000089;9000089	80;300	1;3			1
50035301	9000089	120	9000089	350	9000089;9000089	120;350	1;3			1
50035401	9000089	180	9000089	400	9000089;9000089	180;400	1;3			1
50036101	9000103	80	9000103	300	9000103;9000103	80;300	1;3			1
50036201	9000103	120	9000103	350	9000103;9000103	120;350	1;3			1
50036301	9000103	180	9000103	400	9000103;9000103	180;400	1;3			1
50037101	9000105	80	9000105	300	9000105;9000105	80;300	1;3			1
50037201	9000105	120	9000105	350	9000105;9000105	120;350	1;3			1
50037301	9000105	180	9000105	400	9000105;9000105	180;400	1;3			1
