id	type	icon	addSkillId	star	exSkillId	exStar	addBuffId	buffStar	exBuffId	exbuffStar	effLogic	effScene	actionType	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
10100101	1	36:catball_skill_icon_101001	71010011	1									1	1	虎虎生威	虎虎生威	Roaring Tiger	虎虎生威	기세등등	พลังเสือคำราม	按全队基础攻击力之和的_#skill_hit_0_0_1_，对敌方单体造成<color="#FF7F50">纯粹伤害</color>\n<color="#FF7F50">纯粹伤害</color>：只受效果相关属性影响的固定值伤害\n冷却时间3回合，可使用3次					
10100102	1	36:catball_skill_icon_101001	71010012	1	71010011	1							1	1	虎虎生威	虎虎生威	Roaring Tiger	虎虎生威	기세등등	พลังเสือคำราม	按全队基础攻击力之和的_#skill_hit_0_0_1_，对敌方单体造成<color="#FF7F50">纯粹伤害</color>\n<color="#FF7F50">纯粹伤害</color>：只受效果相关属性影响的固定值伤害\n冷却时间3回合，可使用3次					
10100103	1	36:catball_skill_icon_101001	71010013	1	71010012	1							1	1	虎虎生威	虎虎生威	Roaring Tiger	虎虎生威	기세등등	พลังเสือคำราม	按全队基础攻击力之和的_#skill_hit_0_0_1_，对敌方单体造成<color="#FF7F50">纯粹伤害</color>\n<color="#FF7F50">纯粹伤害</color>：只受效果相关属性影响的固定值伤害\n冷却时间3回合，可使用3次					
10100104	1	36:catball_skill_icon_101001	71010014	1	71010013	1							1	1	虎虎生威	虎虎生威	Roaring Tiger	虎虎生威	기세등등	พลังเสือคำราม	按全队基础攻击力之和的_#skill_hit_0_0_1_，对敌方单体造成<color="#FF7F50">纯粹伤害</color>\n<color="#FF7F50">纯粹伤害</color>：只受效果相关属性影响的固定值伤害\n冷却时间3回合，可使用3次					
10100201	1	36:catball_skill_icon_101002	71010021	1									1	1	恶作剧	惡作劇	Prank	イタズラ	장난	แผนซุกซน	按全队基础攻击力之和的_#skill_hit_0_0_1_，对敌方全体造成<color="#FF7F50">纯粹伤害</color>\n<color="#FF7F50">纯粹伤害</color>：只受效果相关属性影响的固定值伤害\n冷却时间3回合，可使用3次					
10100202	1	36:catball_skill_icon_101002	71010022	1	71010021	1							1	1	恶作剧	惡作劇	Prank	イタズラ	장난	แผนซุกซน	按全队基础攻击力之和的_#skill_hit_0_0_1_，对敌方全体造成<color="#FF7F50">纯粹伤害</color>\n<color="#FF7F50">纯粹伤害</color>：只受效果相关属性影响的固定值伤害\n冷却时间3回合，可使用3次					
10100203	1	36:catball_skill_icon_101002	71010023	1	71010022	1							1	1	恶作剧	惡作劇	Prank	イタズラ	장난	แผนซุกซน	按全队基础攻击力之和的_#skill_hit_0_0_1_，对敌方全体造成<color="#FF7F50">纯粹伤害</color>\n<color="#FF7F50">纯粹伤害</color>：只受效果相关属性影响的固定值伤害\n冷却时间3回合，可使用3次					
10100204	1	36:catball_skill_icon_101002	71010024	1	71010023	1							1	1	恶作剧	惡作劇	Prank	イタズラ	장난	แผนซุกซน	按全队基础攻击力之和的_#skill_hit_0_0_1_，对敌方全体造成<color="#FF7F50">纯粹伤害</color>\n<color="#FF7F50">纯粹伤害</color>：只受效果相关属性影响的固定值伤害\n冷却时间3回合，可使用3次					
10100301	1	36:catball_skill_icon_101003	71010031	1									2	1	领袖意志	領袖意志	Leadership Resolve	カリスマリーダー	리더의 의지	จิตวิญญาณผู้นำ	对敌方全体施加_#buff_hit_0_0_1_4_伤害传递，持续2回合\n冷却时间3回合，可使用3次					
10100302	1	36:catball_skill_icon_101003	71010032	1	71010031	1							2	1	领袖意志	領袖意志	Leadership Resolve	カリスマリーダー	리더의 의지	จิตวิญญาณผู้นำ	对敌方全体施加_#buff_hit_0_0_1_4_伤害传递，持续2回合\n冷却时间3回合，可使用3次					
10100303	1	36:catball_skill_icon_101003	71010033	1	71010032	1							2	1	领袖意志	領袖意志	Leadership Resolve	カリスマリーダー	리더의 의지	จิตวิญญาณผู้นำ	对敌方全体施加_#buff_hit_0_0_1_4_伤害传递，持续2回合\n冷却时间3回合，可使用3次					
10100304	1	36:catball_skill_icon_101003	71010034	1	71010033	1							2	1	领袖意志	領袖意志	Leadership Resolve	カリスマリーダー	리더의 의지	จิตวิญญาณผู้นำ	对敌方全体施加_#buff_hit_0_0_1_4_伤害传递，持续2回合\n冷却时间3回合，可使用3次					
10100401	1	36:catball_skill_icon_101004	71010041	1									2	1	弥撒之礼	彌撒之禮	The Mass	ミサ聖祭	성찬식	ฮอลิเดย์ฮีล	按全队基础攻击力之和的_#skill_heal_0_0_1_，治疗友方全体\n冷却时间3回合，可使用3次					
