id	catballId	starRating	attAddTypeId	attAddNum	SkillId	consumeKindID	consumeKind	consumePropID	consumeProp	status	skillDesc	skillDesc_zh_TW	skillDesc_en_UK	skillDesc_ja_JP	skillDesc_ko_KR	skillDesc_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
640100100	6401001	0	101	20	10100101	0	0	0	0	1	按全队基础攻击力之和的_#skill_effectper_0_0_1_，对敌方单体造成<color="#FF7F50">纯粹伤害</color>\n<color="#FF7F50">纯粹伤害</color>：只计算攻击力的固定值伤害	按全隊基礎攻擊力之和的_#skill_effectper_0_0_1_，對敵方單體造成<color="#FF7F50">純粹傷害</color>\n<color="#FF7F50">純粹傷害</color>：只計算攻擊力的固定值傷害	Deals <color="#FF7F50">Pure DMG</color> equal to _#skill_effectper_0_0_1_ of the sum of the team's ATK to one enemy.\n<color="#FF7F50">Pure DMG</color>: Deals a set amount of DMG based on ATK.	チームの合計攻撃力_#skill_effectper_0_0_1_に基づき、敵単体に<color="#FF7F50">「純ダメージ」</color>を与える。\n<color="#FF7F50">「純ダメージ」</color>：ステータスによる影響を受けない固定ダメージ。	단일 적에게 팀 내 모든 기본 공격력의 합의_#skill_effectper_0_0_1_에 해당하는 <color="#FF7F50">순수 대미지</color>를 부여한다.\n<color="#FF7F50">순수 대미지</color>: 공격력의 대미지 확정값만 계산한다.	สร้าง​ดา​เม​จ​ใส่​ศัตรู​หนึ่ง​คน​เป็น​<color="#FF7F50">ดาเมจเพียว</color>​ _#skill_effectper_0_0_1_​ ของ​ ATK​ พื้นฐาน​รวม​ของ​ทั้ง​ทีม​\n<color="#FF7F50">​ดา​เม​จ​เพียว​</color>:​ คำนวณ​ดา​เม​จ​จาก​ค่า​ ATK​ แบบ​คงที่​เท่านั้น​
640100101	6401001	1	101	40	10100102	670101001	5	3000003	5000	1	按全队基础攻击力之和的_#skill_effectpercat_0_0_1_→_#skill_effectper_0_0_1_，对敌方单体造成<color="#FF7F50">纯粹伤害</color>\n<color="#FF7F50">纯粹伤害</color>：只计算攻击力的固定值伤害	按全隊基礎攻擊力之和的_#skill_effectpercat_0_0_1_→_#skill_effectper_0_0_1_，對敵方單體造成<color="#FF7F50">純粹傷害</color>\n<color="#FF7F50">純粹傷害</color>：只計算攻擊力的固定值傷害	Deals <color="#FF7F50">Pure DMG</color> equal to _#skill_effectpercat_0_0_1_→_#skill_effectper_0_0_1_ of the sum of the team's ATK to one enemy.\n<color="#FF7F50">Pure DMG</color>: Deals a set amount of DMG based on ATK.	味方全体の合計攻撃力_#skill_effectpercat_0_0_1_→_#skill_effectper_0_0_1_に基づき、敵単体に<color="#FF7F50">「純ダメージ」</color>を与える。\n<color="#FF7F50">「純ダメージ」</color>：ステータスによる影響を受けない固定ダメージ。	단일 적에게 팀 내 모든 기본 공격력의 합의_#skill_effectpercat_0_0_1_→_#skill_effectper_0_0_1_에 해당하는 <color="#FF7F50">순수 대미지</color>를 부여한다.\n<color="#FF7F50">순수 대미지</color>: 공격력의 대미지 확정값만 계산한다.	สร้าง​ดา​เม​จ​ใส่​ศัตรู​หนึ่ง​คน​เป็น​<color="#FF7F50">ดาเมจเพียว</color>​ _#skill_effectpercat_0_0_1_​ →​ _#skill_effectper_0_0_1_​ ของ​ ATK​ พื้นฐาน​รวม​ของ​ทั้ง​ทีม​\n<color="#FF7F50">​ดา​เม​จ​เพียว​</color>:​ คำนวณ​ดา​เม​จ​จาก​ค่า​ ATK​ แบบ​คงที่​เท่านั้น​
640100102	6401001	2	101	60	10100102	670101001	10	3000003	10000	1	按全队基础攻击力之和的_#skill_effectper_0_0_1_，对敌方单体造成<color="#FF7F50">纯粹伤害</color>\n<color="#FF7F50">纯粹伤害</color>：只计算攻击力的固定值伤害	按全隊基礎攻擊力之和的_#skill_effectper_0_0_1_，對敵方單體造成<color="#FF7F50">純粹傷害</color>\n<color="#FF7F50">純粹傷害</color>：只計算攻擊力的固定值傷害	Deals <color="#FF7F50">Pure DMG</color> equal to _#skill_effectper_0_0_1_ of the sum of the team's ATK to one enemy.\n<color="#FF7F50">Pure DMG</color>: Deals a set amount of DMG based on ATK.	チームの合計攻撃力_#skill_effectper_0_0_1_に基づき、敵単体に<color="#FF7F50">「純ダメージ」</color>を与える。\n<color="#FF7F50">「純ダメージ」</color>：ステータスによる影響を受けない固定ダメージ。	단일 적에게 팀 내 모든 기본 공격력의 합의_#skill_effectper_0_0_1_에 해당하는 <color="#FF7F50">순수 대미지</color>를 부여한다.\n<color="#FF7F50">순수 대미지</color>: 공격력의 대미지 확정값만 계산한다.	สร้าง​ดา​เม​จ​ใส่​ศัตรู​หนึ่ง​คน​เป็น​<color="#FF7F50">ดาเมจเพียว</color>​ _#skill_effectper_0_0_1_​ ของ​ ATK​ พื้นฐาน​รวม​ของ​ทั้ง​ทีม​\n<color="#FF7F50">​ดา​เม​จ​เพียว​</color>:​ คำนวณ​ดา​เม​จ​จาก​ค่า​ ATK​ แบบ​คงที่​เท่านั้น​
640100103	6401001	3	101	80	10100103	670101001	15	3000003	15000	1	按全队基础攻击力之和的_#skill_effectpercat_0_0_1_→_#skill_effectper_0_0_1_，对敌方单体造成<color="#FF7F50">纯粹伤害</color>\n<color="#FF7F50">纯粹伤害</color>：只计算攻击力的固定值伤害	按全隊基礎攻擊力之和的_#skill_effectpercat_0_0_1_→_#skill_effectper_0_0_1_，對敵方單體造成<color="#FF7F50">純粹傷害</color>\n<color="#FF7F50">純粹傷害</color>：只計算攻擊力的固定值傷害	Deals <color="#FF7F50">Pure DMG</color> equal to _#skill_effectpercat_0_0_1_→_#skill_effectper_0_0_1_ of the sum of the team's ATK to one enemy.\n<color="#FF7F50">Pure DMG</color>: Deals a set amount of DMG based on ATK.	味方全体の合計攻撃力_#skill_effectpercat_0_0_1_→_#skill_effectper_0_0_1_に基づき、敵単体に<color="#FF7F50">「純ダメージ」</color>を与える。\n<color="#FF7F50">「純ダメージ」</color>：ステータスによる影響を受けない固定ダメージ。	단일 적에게 팀 내 모든 기본 공격력의 합의_#skill_effectpercat_0_0_1_→_#skill_effectper_0_0_1_에 해당하는 <color="#FF7F50">순수 대미지</color>를 부여한다.\n<color="#FF7F50">순수 대미지</color>: 공격력의 대미지 확정값만 계산한다.	สร้าง​ดา​เม​จ​ใส่​ศัตรู​หนึ่ง​คน​เป็น​<color="#FF7F50">ดาเมจเพียว</color>​ _#skill_effectpercat_0_0_1_​ →​ _#skill_effectper_0_0_1_​ ของ​ ATK​ พื้นฐาน​รวม​ของ​ทั้ง​ทีม​\n<color="#FF7F50">​ดา​เม​จ​เพียว​</color>:​ คำนวณ​ดา​เม​จ​จาก​ค่า​ ATK​ แบบ​คงที่​เท่านั้น​
640100104	6401001	4	101	100	10100103	670101001	20	3000003	20000	1	按全队基础攻击力之和的_#skill_effectper_0_0_1_，对敌方单体造成<color="#FF7F50">纯粹伤害</color>\n<color="#FF7F50">纯粹伤害</color>：只计算攻击力的固定值伤害	按全隊基礎攻擊力之和的_#skill_effectper_0_0_1_，對敵方單體造成<color="#FF7F50">純粹傷害</color>\n<color="#FF7F50">純粹傷害</color>：只計算攻擊力的固定值傷害	Deals <color="#FF7F50">Pure DMG</color> equal to _#skill_effectper_0_0_1_ of the sum of the team's ATK to one enemy.\n<color="#FF7F50">Pure DMG</color>: Deals a set amount of DMG based on ATK.	チームの合計攻撃力_#skill_effectper_0_0_1_に基づき、敵単体に<color="#FF7F50">「純ダメージ」</color>を与える。\n<color="#FF7F50">「純ダメージ」</color>：ステータスによる影響を受けない固定ダメージ。	단일 적에게 팀 내 모든 기본 공격력의 합의_#skill_effectper_0_0_1_에 해당하는 <color="#FF7F50">순수 대미지</color>를 부여한다.\n<color="#FF7F50">순수 대미지</color>: 공격력의 대미지 확정값만 계산한다.	สร้าง​ดา​เม​จ​ใส่​ศัตรู​หนึ่ง​คน​เป็น​<color="#FF7F50">ดาเมจเพียว</color>​ _#skill_effectper_0_0_1_​ ของ​ ATK​ พื้นฐาน​รวม​ของ​ทั้ง​ทีม​\n<color="#FF7F50">​ดา​เม​จ​เพียว​</color>:​ คำนวณ​ดา​เม​จ​จาก​ค่า​ ATK​ แบบ​คงที่​เท่านั้น​
640100105	6401001	5	101	120	10100103	670101001	30	3000003	30000	1	按全队基础攻击力之和的_#skill_effectper_0_0_1_，对敌方单体造成<color="#FF7F50">纯粹伤害</color>\n<color="#FF7F50">纯粹伤害</color>：只计算攻击力的固定值伤害	按全隊基礎攻擊力之和的_#skill_effectper_0_0_1_，對敵方單體造成<color="#FF7F50">純粹傷害</color>\n<color="#FF7F50">純粹傷害</color>：只計算攻擊力的固定值傷害	Deals <color="#FF7F50">Pure DMG</color> equal to _#skill_effectper_0_0_1_ of the sum of the team's ATK to one enemy.\n<color="#FF7F50">Pure DMG</color>: Deals a set amount of DMG based on ATK.	チームの合計攻撃力_#skill_effectper_0_0_1_に基づき、敵単体に<color="#FF7F50">「純ダメージ」</color>を与える。\n<color="#FF7F50">「純ダメージ」</color>：ステータスによる影響を受けない固定ダメージ。	단일 적에게 팀 내 모든 기본 공격력의 합의_#skill_effectper_0_0_1_에 해당하는 <color="#FF7F50">순수 대미지</color>를 부여한다.\n<color="#FF7F50">순수 대미지</color>: 공격력의 대미지 확정값만 계산한다.	สร้าง​ดา​เม​จ​ใส่​ศัตรู​หนึ่ง​คน​เป็น​<color="#FF7F50">ดาเมจเพียว</color>​ _#skill_effectper_0_0_1_​ ของ​ ATK​ พื้นฐาน​รวม​ของ​ทั้ง​ทีม​\n<color="#FF7F50">​ดา​เม​จ​เพียว​</color>:​ คำนวณ​ดา​เม​จ​จาก​ค่า​ ATK​ แบบ​คงที่​เท่านั้น​
640100106	6401001	6	101	140	10100104	670101001	40	3000003	40000	1	按全队基础攻击力之和的_#skill_effectpercat_0_0_1_→_#skill_effectper_0_0_1_，对敌方单体造成<color="#FF7F50">纯粹伤害</color>\n<color="#FF7F50">纯粹伤害</color>：只计算攻击力的固定值伤害	按全隊基礎攻擊力之和的_#skill_effectpercat_0_0_1_→_#skill_effectper_0_0_1_，對敵方單體造成<color="#FF7F50">純粹傷害</color>\n<color="#FF7F50">純粹傷害</color>：只計算攻擊力的固定值傷害	Deals <color="#FF7F50">Pure DMG</color> equal to _#skill_effectpercat_0_0_1_→_#skill_effectper_0_0_1_ of the sum of the team's ATK to one enemy.\n<color="#FF7F50">Pure DMG</color>: Deals a set amount of DMG based on ATK.	味方全体の合計攻撃力_#skill_effectpercat_0_0_1_→_#skill_effectper_0_0_1_に基づき、敵単体に<color="#FF7F50">「純ダメージ」</color>を与える。\n<color="#FF7F50">「純ダメージ」</color>：ステータスによる影響を受けない固定ダメージ。	단일 적에게 팀 내 모든 기본 공격력의 합의_#skill_effectpercat_0_0_1_→_#skill_effectper_0_0_1_에 해당하는 <color="#FF7F50">순수 대미지</color>를 부여한다.\n<color="#FF7F50">순수 대미지</color>: 공격력의 대미지 확정값만 계산한다.	สร้าง​ดา​เม​จ​ใส่​ศัตรู​หนึ่ง​คน​เป็น​<color="#FF7F50">ดาเมจเพียว</color>​ _#skill_effectpercat_0_0_1_​ →​ _#skill_effectper_0_0_1_​ ของ​ ATK​ พื้นฐาน​รวม​ของ​ทั้ง​ทีม​\n<color="#FF7F50">​ดา​เม​จ​เพียว​</color>:​ คำนวณ​ดา​เม​จ​จาก​ค่า​ ATK​ แบบ​คงที่​เท่านั้น​
640100200	6401002	0	101	20	10100201	670101002	0	0	0	1	对敌方单体施加_#buff_effectper_0_0_0_1_4_<color="#FF7F50">「伤害扩散」</color>2回合\n<color="#FF7F50">「伤害扩散」</color>：自身受到的部分伤害会被二次施加给场上的其他角色，后续入场的角色不受影响	對敵方單體施加_#buff_effectper_0_0_0_1_4_<color="#FF7F50">「傷害擴散」</color>2回合\n<color="#FF7F50">「傷害擴散」</color>：自身受到的部分傷害會被二次施加給場上的其他角色，後續入場的角色不受影響	Inflicts _#buff_effectper_0_0_0_1_4_ <color="#FF7F50">Spread</color> on one enemy for 2 turns. \n<color="#FF7F50">Spread</color>: A portion of this Combatant's DMG taken will be inflicted on other characters on the field, with subsequent characters unaffected.	敵単体に2ターン持続する_#buff_effectper_0_0_0_1_4_<color="#FF7F50">「ダメージ拡散」</color>を付与する。\n<color="#FF7F50">「ダメージ拡散」</color>：自身が受ける一部のダメージは他のキャラに拡散される。次に入場するキャラは影響を受けない。	단일 적에게 2턴 동안 <color="#FF7F50">「대미지 확산」</color> _#buff_effectper_0_0_0_1_4_을 부여한다.\n<color="#FF7F50">「대미지 확산」</color>: 적용된 대미지의 일부가 전장에 있는 다른 캐릭터에게 확산되며, 이후 입장하는 캐릭터는 영향을 받지 않는다.	ติด​เอฟเฟกต์​ _#buff_effectper_0_0_0_1_4_​ <color="#FF7F50">[กระจายดาเมจ]</color>​ใส่​ศัตรู​หนึ่ง​คน​ เป็นเวลา​ 2​ เทิร์น​\n<color="#FF7F50">[​กระจาย​ดา​เม​จ​]</color>:​ ดา​เม​จ​บางส่วน​ที่​ตัวเอง​ได้รับ​จะ​ถูก​ส่ง​ต่อไป​ยัง​ตัวละคร​อื่น​ใน​สนาม​ โดย​ตัวละคร​ที่​เข้า​สนาม​ภายหลัง​จะ​ไม่​ได้รับ​ผลกระทบ​
640100201	6401002	1	101	40	10100202	670101002	5	3000003	5000	1	对敌方单体施加_#buff_effectpercat_0_0_0_1_4_→_#buff_effectper_0_0_0_1_4_<color="#FF7F50">「伤害扩散」</color>2回合\n<color="#FF7F50">「伤害扩散」</color>：自身受到的部分伤害会被二次施加给场上的其他角色，后续入场的角色不受影响	對敵方單體施加_#buff_effectpercat_0_0_0_1_4_→_#buff_effectper_0_0_0_1_4_<color="#FF7F50">「傷害擴散」</color>2回合\n<color="#FF7F50">「傷害擴散」</color>：自身受到的部分傷害會被二次施加給場上的其他角色，後續入場的角色不受影響	Inflicts _#buff_effectpercat_0_0_0_1_4_→_#buff_effectper_0_0_0_1_4_ <color="#FF7F50">Spread</color> on one enemy for 2 turns. \n<color="#FF7F50">Spread</color>: A portion of this Combatant's DMG taken will be inflicted on other characters on the field, with subsequent characters unaffected.	敵単体に2ターンの_#buff_effectpercat_0_0_0_1_4_→_#buff_effectper_0_0_0_1_4_<color="#FF7F50">「ダメージ拡散」</color>を付与する。\n<color="#FF7F50">「ダメージ拡散」</color>：被ダメージの一定割合をフィールド上の他の味方に共有する。	단일 적에게 2턴 동안 _#buff_effectpercat_0_0_0_1_4_→_#buff_effectper_0_0_0_1_4_에 해당하는 <color="#FF7F50">「대미지 확산」</color>을 부여한다.\n <color="#FF7F50">「대미지 확산」</color>: 적용된 대미지의 일부가 전장에 있는 다른 캐릭터에게 다시 적용되며, 이후의 캐릭터는 영향을 받지 않는다.	ติด​เอฟเฟกต์​ <color="#FF7F50">[กระจายดาเมจ]</color>​ _#buff_effectpercat_0_0_0_1_4_​ →​ _#buff_effectper_0_0_0_1_4_​ ใส่​ศัตรู​หนึ่ง​คน​ เป็นเวลา​ 2​ เทิร์น​\n<color="#FF7F50">[​กระจาย​ดา​เม​จ​]</color>:​ ดา​เม​จ​บางส่วน​ที่​ตัวเอง​ได้รับ​จะ​ถูก​ส่ง​ต่อไป​ยัง​ตัวละคร​อื่น​ใน​สนาม​ โดย​ตัวละคร​ที่​เข้า​สนาม​ภายหลัง​จะ​ไม่​ได้รับ​ผลกระทบ​
