id	desc	next	skinId	skinName	condition	delay	duration	param	triggerTimes	voice	moodId	pos	status
int	int	int	int	int	int	int	int	int	int	int	int	int	int
1050701	又到了艾可大人的登场时间！	0	18:card_icon_102006_1	艾可	3		0.65	1	1	0	1	0	1
1050702	哇…这个傀化物首领居然有这么强的被动	1050703	18:card_icon_102006_1	艾可	3		0.9	2	1	0	1	0	1
1050703	艾可大人总有办法，使用<color="#8aff98">妄想注射</color>2星的A技能。	1050704	18:card_icon_102006_1	艾可	3		2.35	2	1	0	1	0	1
1050704	这样他的被动就无法生效了。	0	18:card_icon_102006_1	艾可	3		0.65	2	1	0	1	0	1
3900101	调查官，请移动技能牌合成6次技能牌。		18:card_icon_102001_1	艾可	3		0.9	1	1	0	1	0	1
3900201	调查官，请获得SP点数并释放2次SP技能牌。		18:card_icon_101008_1	非天	3		1.1	1	1	0	1	0	1
3900301	调查官，请对克制目标使用8次攻击牌。		18:card_icon_103014_1	特莉丝	3		0.9	1	1	0	1	0	1
3900401	调查官，请利用敌人虚弱阶段受到伤害提升击败敌人。		18:card_icon_103006_1	特莉丝	3		1.2	1	1	0	1	0	1
10001	我们都曾立于风暴眼之间，看恶念呼啸席卷一切。	10002	18:npc_179_01_h	老奶奶	1		1.1	31002061	1	0	1	1	1
10002	小心！永远不要被那些绝望的呐喊裹挟……	10003			0		0.95	31002061	1	0	1	1	1
10003	如果你真的想起我那放飞你心中的怒火	10004			0		0.85	31002061	1	0	1	1	1
10004	来吧垃圾~~~	10005			0		0.35	31002061	1	0	1	1	1
10005	终结这个世界吧	0			0		0.35	31002061	1	0	1	1	1
1010501	调查官，这个敌人比较危险	101050101	18:card_icon_108008_1	小白	3		0.65	1	1	0	1	0	1
101050101	总部在右上角为您准备了战术情报	0	18:card_icon_108008_1	小白	0		0.8	0	1	0	1	0	1
1010601	哇…啊！调查官，傀化物冲过来了	1010602	18:card_icon_102008_1	艾可	3		1.95	1	1	0	4	0	1
1010602	大家小心，依依快退后！	0	18:card_icon_101008_1	非天	3		3.65	1	1	0	2	0	1
1010603	啊..你们都离我远点	0	18:m_icon_4014_1	依依	5			101008;14000062	1	0	2	0	1
1010801	调查官，该目标是巨型傀，此次作战比较危险	0	18:card_icon_108008_1	小白	3			1	1	0	1	0	1
1101401	都是你们的错，害我变成了这样…	110140101	18:m_icon_4020_1	杰克皇	3			4	1	0	2	1	1
1101402	都变成傀吧	0	18:m_icon_4020_1	杰克皇	5			34020102;14000006	-1	0	2	1	1
110140101	调查官，他正在将周围人傀化，请快阻止他	0	18:card_icon_108008_1	小白	0			0	1	0	2	0	1
1101407	我…不会…就这样…放弃的	110140701	18:m_icon_4020_1	杰克皇	2			34020102;0.4	1	0	2	1	1
110140701	杰克皇…你已经伤害了太多人了	0	18:card_icon_103008_3	特莉丝	2			0	0	0	1	0	1
1101406	好不容易…等到…如果没有你们…	110140601	18:m_icon_4020_1	杰克皇	2			34020102;0.2	1	0	2	1	1
110140601	安息吧，杰克皇	0	18:card_icon_103008_3	特莉丝	2			0	0	0	1	0	1
1101301	荣光之戒…我需要力量…	0	18:m_icon_4020_1	杰克皇	6			34020101;520402002	-1	0	2	1	1
1101302	…杰克先生，请住手吧，现在还来得及	1101303	18:card_icon_103008_3	特莉丝	2			34020101;0.6	1	0	1	0	1
1101303	闭嘴，你这个大小姐是不会明白的	0	18:m_icon_4020_1	杰克皇	0			0	1	0	2	1	1
1101304	…更多的力量…怎么会这样	110130401	18:m_icon_4020_1	杰克皇	5			34020101;1402006	1	0	4	1	1
