bulletId	battleGroupId	bulletType	IntervalTime	startPosition	endPosition	isRandom	runningTime	status	hash	bulletText	bulletText_zh_TW	bulletText_en_UK	bulletText_ja_JP	bulletText_ko_KR	bulletText_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
14100801	141008_1	1	0			1	10	1		<color=#00FBFF>小玲这身衣服好漂亮呀</color>					
14100802	141008_1	1	1			1	10	1		<color=#00FBFF>最喜欢小玲了</color>					
14100803	141008_1	1	2			1	10	1		<color=#00FBFF>小玲天下第一可爱！</color>					
14100804	141008_1	1	3			1	10	1		<color=#007BFF>主播可爱捏</color>					
14100805	141008_1	1	4			1	10	1		<color=#FFE800>小玲的泳装哪里买的</color>					
14100806	141008_1	1	5			1	10	1		<color=#FFE800>求同款泳装链接</color>					
14100807	141008_1	1	6			1	10	1		<color=#FFE800>求同款泳装链接+1</color>					
14100808	141008_1	1	7			1	10	1		<color=#FA9812>心疼一下被面具吓到的艾可</color>					
14100809	141008_1	1	8			1	10	1		哈哈我也要买个面具吓唬我的室友					
14100810	141008_1	1	9			1	10	1		<color=#FFE800>有没有其他款式的面具</color>					
14100811	141008_1	1	10			1	10	1		<color=#FA00FF>主播能表演一个喵喵喵吗？</color>					
14100812	141008_1	1	11			1	10	1		什么时候开始正式的鬼屋冒险					
14100813	141008_1	1	12			1	10	1		提前买一个留着万圣节用					
14100814	141008_1	1	13			1	10	1		今天是白猫侦探社团建吗					
14100815	141008_1	1	14			1	10	1		好清爽的一套衣服					
13000801	130008_0	2	0	100;200			25	1		<color=#ff2121>我什么都做不到</color>					
13000802	130008_0	2	0	200;100			22	1		<color=#ff2121>我什么都做不到</color>					
13000803	130008_0	2	0	300;150			19	1		<color=#ff2121>我什么都做不到</color>					
13000804	130008_0	2	0	200;-180			16	1		<color=#ff2121>我什么都做不到</color>					
13000805	130008_0	2	0	-200;180			13	1		<color=#ff2121>我什么都做不到</color>					
