id	nextId	sameTime	type	characterName	desc	fedesc	sceneType	sceneId	scenePivot	sceneScale	flashBackTime	screenAnim	screenTime	characterId	characterRes	faceId	action	loop	position	rotation	eyes	effect	enter	avatar	exist	music	sound	soundtime	loopSE	voice	fevoice	speaker	displayItem	itemAction	option	jumpId	durationTime	transientNum	battleGroupId	function	vague	lookAt	moveCamera	headEffect	feOption	feCharacterName	effectRootId	messageId	sceneBgId	EntryTip	bgEffectPos	status
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1	2				<color=#d8d8d8>被雨打湿后的街巷，昏暗而又寂静，几乎看不到行人。</color>		1	57:dialg_bg_79				22	39								1						op3_jiaobu		op2_yu																							1
2	3				<color=#d8d8d8>这时，雅波伦跌跌撞撞地走了进来，最后依着墙角，失魂落魄地坐在地上。</color>																1						sfx_story_01_daodi																									1
3	4				<color=#d8d8d8>此时，她周围的一切似乎都被寒意裹挟，未干的雨水渐渐在地上凝结成薄薄的冰雪。</color>																1																															1
4	5		12	雅波伦	该死！为什么偏偏是那个索普德特家族！																1			18:npc_icon_709_2	1																											1
5	6				<color=#d8d8d8>盛怒之下，空气中的寒意似乎又凛冽了几分。</color>																1																															1
6	7		11				1	57:dialg_bg_79			1										1								-1																				57:dialg_bg_100			1
7	8				<color=#d8d8d8>最初，雅波伦就没有所谓的「归处」。</color>		1	57:dialg_bg_100													1					sfx_story_01_luyin																										1
8	9				<color=#d8d8d8>过去雅波伦的家族为了守住自己的国家，与敌国派出的索普德特家族进行长达数年的战争。</color>																1																															1
9	10				<color=#d8d8d8>最后，她所在的家族战败，国家也灭亡了。\n成为了战俘的他们很快又变成了敌国侵略他国的战争牺牲品。</color>																1																															1
10	11				<color=#d8d8d8>年幼的雅波伦也不例外。\n而天赋异禀的她，一次又一次从残酷的战场上存活了下来。</color>																1																															1
11	12				<color=#d8d8d8>这并不是奇迹，\n——而是靠着对那个让自己家破人亡的家族的仇恨坚持下来的。</color>																1																															1
12	13				<color=#d8d8d8>她必须变强，变得比任何人都要强大。\n只为能亲自血刃自己的家族世仇。</color>																1																															1
13	14				<color=#d8d8d8>然而在她通过杀戮获得权力后，那个家族却像是人间蒸发了一样，渺无音讯</color>																1																															1
14	15				<color=#d8d8d8>扎根于心的执念蒙蔽了她的双眼，雅波伦变得越来越狂暴、好战。</color>																1																															1
15	16				<color=#d8d8d8>一旦听到某处出现了索普德特家族的消息，她便会倾尽所有，直到将那里夷为平地。</color>																1																															1
16	17				<color=#d8d8d8>很快，她的暴行招来了「正义」的肃清，而那时站在她面前的人便是——贝斯特。</color>																1																															1
17	18				<color=#d8d8d8>只是没想到，身经百战的雅波伦输给一个看上去如此娇小的猫族少女。</color>																1																															1
18	19				<color=#d8d8d8>更出乎意料的是，她竟接受了贝斯特的邀请，成为她所在的戍边军队——天狼星的一员。</color>																1																															1
19	20				<color=#d8d8d8>连雅波伦自己都觉得神奇，一向高傲的她竟会和这个平时懒散的少女成为了同伴，挚友。</color>																1																															1
20	21				<color=#d8d8d8>她不知道自己如此在意少女的原因。\n或许，是少女居高临下，用手中的剑抵住她的喉咙的那个瞬间……</color>																1						sfx_story_01_chuqiao	1																								1
21	22				<color=#d8d8d8>又或许，是在看到这个前来征讨她的少女的第一眼起……\n她的视线便再也移不开了。</color>																1																															1
22	23				<color=#d8d8d8>在天狼星小队的日子，是雅波伦记忆中难得的快乐时光。\n那时的她，短暂地忘记了「复仇」。</color>																1																															1
23	24				<color=#d8d8d8>而命运却似乎总爱和她开玩笑。\n偶然间，雅波伦知道了贝斯特正在找弄丢的家族圣遗物的事情。</color>																1																															1
24	25				<color=#d8d8d8>而那个圣遗物——正是传说中索普德特家族所继承和守护的东西。</color>																1																															1
25	26		1		<color=#d8d8d8>那一刻，雅波伦莫名感受到了深深的「背叛感」。\n她又一次失去了「归处」。</color>																1						sfx_story_03_shuidi																									1
26	27		1		<color=#d8d8d8>过去的画面一幕幕闪过，那些曾经的美好和痛苦此刻都是如此清晰。</color>																1																															1
27	28		1		<color=#d8d8d8>正是因为那些记忆都是如此珍贵，经历了无数战场的雅波伦第一次选择了逃避。</color>																1																															1
28	29		1		<color=#d8d8d8>默不作声离开了天狼星小队的她，此刻只能在街头徘徊着。</color>																1								op3_jiaobu																							1
29	30			雅波伦	……要是能忘掉过去，该有多好……																1			18:npc_icon_709_3	1				-1																							1
30	31			未知黑影	看来……你似乎非常需要我的力量。		1	57:dialg_bg_79				17	-1								1					-1			op2_yu																							1
31	32			雅波伦	你是谁？																1			18:npc_icon_709_2	1		sfx_story_01_shafa																									1
32	33			未知黑影	你没必要知道我是谁，你只需要回答我，你想不想回到那个人身边？																1																															1
33	34			雅波伦	呵……我看上去很好骗吗？																1			18:npc_icon_709_2	1																											1
34	35			未知黑影	哈哈……我看上去像是那么善良的存在吗？																1																															1
35	36			未知黑影	这是交易。\n我会帮你实现你的愿望，而你也要完成我要你做到的事情。																1																															1
36	37			雅波伦	什么意思？																1			18:npc_icon_709_1	1																											1
37	38			未知黑影	很简单，我需要一个可以为我积蓄力量的温床，而这正好可以替你实现你的愿望。																1																															1
38	39			未知黑影	我可以帮你创造出完美的幻境，在这里，你希望的一切都能实现。																1																															1
39	40			未知黑影	我的力量可以轻易办到这种事，这不是件两全其美的事情吗？																1																															1
40	41		11								2										1						sfx_chapter1_xiangzhi		-1																							1
41	42		1		<color=#d8d8d8>再次回想起过去的种种，雅波伦终究还是忍不住答应了这个交易。</color>																1																															1
42	43		1		<color=#d8d8d8>她想要忘记那些与贝斯特有关的记忆，变回以前那个一心想要复仇的自己。</color>																1																															1
43	44		1		<color=#d8d8d8>她想着，如果她们不再是同伴，自己便不会再如此犹豫……</color>																1																															1
44	45		11				1	57:dialg_bg_327			3	10	1								1					bgm_instance_food_musicbox																										1
45	46		1		<color=#d8d8d8>可纵使忘记了那些过去，她的身体却仍留有记忆。</color>																1																															1
46	47		1		<color=#d8d8d8>不然，为什么即便知道了她是自己的仇敌，也依旧无法对贝斯特下手呢？</color>																1																															1
47	48		1		<color=#d8d8d8>明明她有无数次机会，可以借助幻境的力量将她杀死……</color>																1																															1
48	49		11				1	57:dialg_bg_388			3	10	1								1																															1
49	50		1		<color=#d8d8d8>但雅波伦却没有这么做。</color>																1						sfx_story_01_fengling																									1
50	51		1		<color=#d8d8d8>不，是她不愿意这么做。与贝斯特共处的那些时光，是对她的救赎。</color>																1						sfx_story_01_lin																									1
51	52		1		<color=#d8d8d8>但她也无法轻易放下内心的仇恨……</color>																1						sfx_story_02_chabei																									1
52	53		11				1	57:dialg_bg_361			3	10	1								1																															1
53	54		1		<color=#d8d8d8>毕竟，那曾是她活下去的唯一信念。</color>																1																															1
