id	group	roleId	itemNum	randNum	probability	status
int	int	int	int	int	int	int
1001	1	108006	1	1000	3.70%	1
1002	1	140008	1	1000	3.70%	1
1003	1	139008	1	1000	3.70%	1
1004	1	144001	1	1000	3.70%	1
1005	1	133008	1	1000	3.70%	1
1006	1	123008	1	1000	3.70%	1
1007	1	119008	1	1000	3.70%	1
1008	1	135008	1	1000	3.70%	1
1009	1	141008	1	1000	3.70%	1
1010	1	103021	1	1000	3.70%	1
1011	1	101013	1	1000	3.70%	1
1012	1	102007	1	1000	3.70%	1
1013	1	104001	1	1000	3.70%	1
1014	1	106002	1	1000	3.70%	1
1015	1	108001	1	1000	3.70%	1
1016	1	111002	1	1000	3.70%	1
1017	1	113001	1	1000	3.70%	1
1018	1	114001	1	1000	3.70%	1
1019	1	109008	1	1000	3.70%	1
1020	1	115008	1	1000	3.70%	1
1021	1	117008	1	1000	3.70%	1
1022	1	121008	1	1000	3.70%	1
1023	1	127008	1	1000	3.70%	1
1024	1	130008	1	1000	3.70%	1
1025	1	131008	1	1000	3.70%	1
1026	1	137008	1	1000	3.70%	1
1027	1	904014	1	1000	3.70%	1
1101	2	108006	1	1000	2.94%	1
1102	2	140008	1	1000	2.94%	1
1103	2	144001	1	1000	2.94%	1
1104	2	135008	1	1000	2.94%	1
1105	2	127001	1	1000	2.94%	1
1106	2	139008	1	1000	2.94%	1
1107	2	125008	1	1000	2.94%	1
1108	2	133008	1	1000	2.94%	1
1109	2	123008	1	1000	2.94%	1
1110	2	119008	1	1000	2.94%	1
1111	2	803008	1	1000	2.94%	1
1112	2	802008	1	1000	2.94%	1
1113	2	152008	1	1000	2.94%	1
1114	2	136008	1	1000	2.94%	1
1115	2	141008	1	1000	2.94%	1
1116	2	103003	1	1000	2.94%	1
1117	2	102007	1	1000	2.94%	1
1118	2	103021	1	1000	2.94%	1
1119	2	111002	1	1000	2.94%	1
1120	2	117008	1	1000	2.94%	1
1121	2	108001	1	1000	2.94%	1
1122	2	104001	1	1000	2.94%	1
1123	2	106002	1	1000	2.94%	1
1124	2	113001	1	1000	2.94%	1
1125	2	114001	1	1000	2.94%	1
1126	2	130008	1	1000	2.94%	1
1127	2	101013	1	1000	2.94%	1
1128	2	127008	1	1000	2.94%	1
1129	2	131008	1	1000	2.94%	1
1130	2	109008	1	1000	2.94%	1
1131	2	115008	1	1000	2.94%	1
1132	2	121008	1	1000	2.94%	1
1133	2	904014	1	1000	2.94%	1
1134	2	137008	1	1000	2.94%	1
1201	3	108006	1	1000	3.70%	1
1202	3	140008	1	1000	3.70%	1
1203	3	107010	1	1000	3.70%	1
1204	3	144001	1	1000	3.70%	1
1205	3	133008	1	1000	3.70%	1
1206	3	123008	1	1000	3.70%	1
1207	3	119008	1	1000	3.70%	1
1208	3	135008	1	1000	3.70%	1
1209	3	141008	1	1000	3.70%	1
1210	3	103021	1	1000	3.70%	1
1211	3	101013	1	1000	3.70%	1
1212	3	102007	1	1000	3.70%	1
1213	3	104001	1	1000	3.70%	1
1214	3	106002	1	1000	3.70%	1
1215	3	108001	1	1000	3.70%	1
1216	3	111002	1	1000	3.70%	1
1217	3	113001	1	1000	3.70%	1
1218	3	114001	1	1000	3.70%	1
1219	3	109008	1	1000	3.70%	1
1220	3	115008	1	1000	3.70%	1
1221	3	117008	1	1000	3.70%	1
1222	3	121008	1	1000	3.70%	1
1223	3	127008	1	1000	3.70%	1
1224	3	130008	1	1000	3.70%	1
1225	3	131008	1	1000	3.70%	1
1226	3	137008	1	1000	3.70%	1
1227	3	904014	1	1000	3.70%	1
1301	4	108006	1	1000	3.70%	1
1302	4	140008	1	1000	3.70%	1
1303	4	129001	1	1000	3.70%	1
1304	4	112002	1	1000	3.70%	1
1305	4	107010	1	1000	3.70%	1
1306	4	114002	1	1000	3.70%	1
1307	4	113002	1	1000	3.70%	1
1308	4	135008	1	1000	3.70%	1
