type	id	status
string	string	int
1_3	1001	1
1_6	1002	1
1_9	1003	1
1_12	1004	1
1_15	1005	1
1_18	1006	1
1_21	1007	1
1_24	1008	1
1_27	1009	1
1_30	1010	1
2_3	1101	1
2_6	1102	1
2_9	1103	1
2_12	1104	1
2_15	1105	1
2_18	1106	1
2_21	1107	1
2_24	1108	1
2_27	1109	1
2_30	1110	1
3_3	1201	1
3_6	1202	1
3_9	1203	1
3_12	1204	1
3_15	1205	1
3_18	1206	1
3_21	1207	1
3_24	1208	1
3_27	1209	1
3_30	1210	1
4_3	1301	1
4_6	1302	1
4_9	1303	1
4_12	1304	1
4_15	1305	1
4_18	1306	1
4_21	1307	1
4_24	1308	1
4_27	1309	1
4_30	1310	1
5_3	1401	1
5_6	1402	1
5_9	1403	1
5_12	1404	1
5_15	1405	1
5_18	1406	1
5_21	1407	1
5_24	1408	1
5_27	1409	1
5_30	1410	1
6_1	1501	1
6_2	1502	1
6_3	1503	1
6_4	1504	1
6_5	1505	1
6_6	1506	1
6_7	1507	1
6_9	1508	1
6_12	1509	1
6_15	1510	1
7_1	1601	1
7_2	1602	1
7_3	1603	1
7_5	1604	1
7_7	1605	1
7_10	1606	1
7_13	1607	1
7_17	1608	1
7_21	1609	1
7_25	1610	1
7_30	1611	1
8_3	1701	1
8_6	1702	1
8_9	1703	1
8_12	1704	1
8_15	1705	1
8_18	1706	1
8_21	1707	1
8_24	1708	1
8_27	1709	1
8_30	1710	1
9_3	1801	1
9_6	1802	1
9_9	1803	1
9_12	1804	1
9_15	1805	1
9_18	1806	1
9_21	1807	1
9_24	1808	1
9_27	1809	1
9_30	1810	1
10_3	1901	1
10_6	1902	1
10_9	1903	1
10_12	1904	1
10_15	1905	1
10_18	1906	1
10_21	1907	1
10_24	1908	1
10_27	1909	1
10_30	1910	1
11_3	2001	1
11_6	2002	1
11_9	2003	1
11_12	2004	1
11_15	2005	1
11_18	2006	1
11_21	2007	1
11_24	2008	1
11_27	2009	1
11_30	2010	1
12_1	2101	1
12_2	2102	1
12_3	2103	1
12_5	2104	1
12_7	2105	1
12_10	2106	1
12_13	2107	1
12_17	2108	1
12_21	2109	1
12_24	2110	1
12_28	2111	1
