id	itemId	level	addType	buffId	costItem	costItemNum	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
120601011	12060101	1	0	120601011	9000005	0	1	学生证	學生證	Student ID	学生証	학생증	บัตรนักเรียน	基础攻击力+15%	基礎攻擊力+15%	Base ATK +15%	基本攻撃力＋15%	기본 공격력 +15%	ATK พื้นฐาน +15%
120601012	12060101	2	0	120601012	9000005	1000	1	学生证	學生證	Student ID	学生証	학생증	บัตรนักเรียน	基础攻击力+24%	基礎攻擊力+24%	Base ATK +24%	基本攻撃力＋24%	기본 공격력 +24%	ATK พื้นฐาน +24%
120601013	12060101	3	0	120601013	9000005	1500	1	学生证	學生證	Student ID	学生証	학생증	บัตรนักเรียน	基础攻击力+33%	基礎攻擊力+33%	Base ATK +33%	基本攻撃力＋33%	기본 공격력 +33%	ATK พื้นฐาน +33%
120601014	12060101	4	0	120601014	9000005	2000	1	学生证	學生證	Student ID	学生証	학생증	บัตรนักเรียน	基础攻击力+42%	基礎攻擊力+42%	Base ATK +42%	基本攻撃力＋42%	기본 공격력 +42%	ATK พื้นฐาน +42%
120601015	12060101	5	0	120601015	9000005	2500	1	学生证	學生證	Student ID	学生証	학생증	บัตรนักเรียน	基础攻击力+51%	基礎攻擊力+51%	Base ATK +51%	基本攻撃力＋51%	기본 공격력 +51%	ATK พื้นฐาน +51%
120601016	12060101	6	0	120601016	9000005	3500	1	学生证	學生證	Student ID	学生証	학생증	บัตรนักเรียน	基础攻击力+70%	基礎攻擊力+70%	Base ATK +70%	基本攻撃力＋70%	기본 공격력 +70%	ATK พื้นฐาน +70%
120601021	12060102	1	0	120601021	9000005	0	1	茶杯	茶杯	Tea Cup	カップ	찻잔	ถ้วยชา	基础防御力+20%	基礎防禦力+20%	Base DEF +20%	基本防御力＋20%	기본 방어력 +20%	DEF พื้นฐาน +20%
120601022	12060102	2	0	120601022	9000005	1000	1	茶杯	茶杯	Tea Cup	カップ	찻잔	ถ้วยชา	基础防御力+30%	基礎防禦力+30%	Base DEF +30%	基本防御力＋30%	기본 방어력 +30%	DEF พื้นฐาน +30%
120601023	12060102	3	0	120601023	9000005	1500	1	茶杯	茶杯	Tea Cup	カップ	찻잔	ถ้วยชา	基础防御力+40%	基礎防禦力+40%	Base DEF +40%	基本防御力＋40%	기본 방어력 +40%	DEF พื้นฐาน +40%
