id	chapterId	monsteType	type	unlockNum	unlockType	level	exp	cardExp	plotId	opportunity	proposalLevel	SceneId	rounds	petLineup	roleNun	powerRatioTeamID	status	label	label_zh_TW	label_en_UK	label_ja_JP	label_ko_KR	label_th_TH	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
12060101	0	0	1	0		0	0	0	3003010	0	27000		10	12061	3	0	1	0-1	0-1	0-1	0-1	0-1	0-1	序章	序章	Prologue	Chapter 0	프롤로그	บทนำ
12060102	101	0	1	12065001	2	0	0	0	3003060	0	27000		10	12061	3	0	1	1-1	1-1	1-1	1-1	1-1	1-1	暗夜猫线1-1	暗夜貓線1-1	Night Cat Story 1-1	ダークキャットルート1-1	다크나이트 캣 스토리 1-1	เส้นทางไนต์แคท 1-1
12060103	101	0	2	12060102	1	0	0	0		0	27000	11501	10	12061	3	0	1	1-2	1-2	1-2	1-2	1-2	1-2	暗夜猫线1-2	暗夜貓線1-2	Night Cat Story 1-2	ダークキャットルート1-2	다크나이트 캣 스토리 1-2	เส้นทางไนต์แคท 1-2
12060104	101	0	1	12060103	1	0	0	0	3003080	0	27000		10	12061	3	0	1	1-3	1-3	1-3	1-3	1-3	1-3	暗夜猫线1-3	暗夜貓線1-3	Night Cat Story 1-3	ダークキャットルート1-3	다크나이트 캣 스토리 1-3	เส้นทางไนต์แคท 1-3
12060105	102	0	1	0		0	0	0	3003090	0	27000		10	12061	3	0	1	2-1	2-1	2-1	2-1	2-1	2-1	暗夜猫线2-1	暗夜貓線2-1	Night Cat Story 2-1	ダークキャットルート2-1	다크나이트 캣 스토리 2-1	เส้นทางไนต์แคท 2-1
12060106	102	0	2	12060105	1	0	0	0		0	27000	14901	10	12061	3	0	1	2-2	2-2	2-2	2-2	2-2	2-2	暗夜猫线2-2	暗夜貓線2-2	Night Cat Story 2-2	ダークキャットルート2-2	다크나이트 캣 스토리 2-2	เส้นทางไนต์แคท 2-2
12060107	102	0	1	12060106	1	0	0	0	3003110	0	27000		10	12061	3	0	1	2-3	2-3	2-3	2-3	2-3	2-3	暗夜猫线2-3	暗夜貓線2-3	Night Cat Story 2-3	ダークキャットルート2-3	다크나이트 캣 스토리 2-3	เส้นทางไนต์แคท 2-3
12060108	103	0	1	0		0	0	0	3003190	0	27000		10	12061	3	0	1	3-1	3-1	3-1	3-1	3-1	3-1	暗夜猫线3-1	暗夜貓線3-1	Night Cat Story 3-1	ダークキャットルート3-1	다크나이트 캣 스토리 3-1	เส้นทางไนต์แคท 3-1
12060109	103	0	1	12060108	1	0	0	0	3003200	0	27000		10	12061	3	0	1	3-2	3-2	3-2	3-2	3-2	3-2	暗夜猫线3-2	暗夜貓線3-2	Night Cat Story 3-2	ダークキャットルート3-2	다크나이트 캣 스토리 3-2	เส้นทางไนต์แคท 3-2
12060110	103	0	1	12060109	1	0	0	0	3003210	0	27000		10	12061	3	0	1	3-3	3-3	3-3	3-3	3-3	3-3	暗夜猫线3-3	暗夜貓線3-3	Night Cat Story 3-3	ダークキャットルート3-3	다크나이트 캣 스토리 3-3	เส้นทางไนต์แคท 3-3
12060111	103	0	1	12060110	1	0	0	0	3003220	0	27000		10	12061	3	0	1	3-4	3-4	3-4	3-4	3-4	3-4	暗夜猫线3-4	暗夜貓線3-4	Night Cat Story 3-4	ダークキャットルート3-4	다크나이트 캣 스토리 3-4	เส้นทางไนต์แคท 3-4
12060112	111	0	1	12065001	2	0	0	0	3003020	0	27000		10	12061	3	0	1	1-1	1-1	1-1	1-1	1-1	1-1	贝克猫线1-1	貝克貓線1-1	Baker's Cafe Story 1-1	ベイカーキャットルート1-1	베이커캣 스토리 1-1	เส้นทางเบเกอร์แคท 1-1
12060113	111	0	1	12060112	1	0	0	0	3003030	0	27000		10	12061	3	0	1	1-2	1-2	1-2	1-2	1-2	1-2	贝克猫线1-2	貝克貓線1-2	Baker's Cafe Story 1-2	ベイカーキャットルート1-2	베이커캣 스토리 1-2	เส้นทางเบเกอร์แคท 1-2
12060114	111	0	2	12060113	1	0	0	0		0	27000	41001	10	12062	4	0	1	1-3	1-3	1-3	1-3	1-3	1-3	贝克猫线1-3	貝克貓線1-3	Baker's Cafe Story 1-3	ベイカーキャットルート1-3	베이커캣 스토리 1-3	เส้นทางเบเกอร์แคท 1-3
12060115	111	0	1	12060114	1	0	0	0	3003050	0	27000		10	12061	3	0	1	1-4	1-4	1-4	1-4	1-4	1-4	贝克猫线1-4	貝克貓線1-4	Baker's Cafe Story 1-4	ベイカーキャットルート1-4	베이커캣 스토리 1-4	เส้นทางเบเกอร์แคท 1-4
12060116	112	0	1	0		0	0	0	3003160	0	27000		10	12061	3	0	1	2-1	2-1	2-1	2-1	2-1	2-1	贝克猫线2-1	貝克貓線2-1	Baker's Cafe Story 2-1	ベイカーキャットルート2-1	베이커캣 스토리 2-1	เส้นทางเบเกอร์แคท 2-1
12060117	112	0	1	12060116	1	0	0	0	3003170	0	27000		10	12061	3	0	1	2-2	2-2	2-2	2-2	2-2	2-2	贝克猫线2-2	貝克貓線2-2	Baker's Cafe Story 2-2	ベイカーキャットルート2-2	베이커캣 스토리 2-2	เส้นทางเบเกอร์แคท 2-2
12060118	112	0	1	12060117	1	0	0	0	3003180	0	27000		10	12061	3	0	1	2-3	2-3	2-3	2-3	2-3	2-3	贝克猫线2-3	貝克貓線2-3	Baker's Cafe Story 2-3	ベイカーキャットルート2-3	베이커캣 스토리 2-3	เส้นทางเบเกอร์แคท 2-3
