id	activeId	storey	monsteType	nextLevel	unlockNum	exp	cardExp	costItem	costNum	costNumLose	proposalLevel	SceneId	rounds	roleNun	battleRules	powerMin	powerTeamMin	showMonster	powerRatioTeamID	status	label	label_zh_TW	label_en_UK	label_ja_JP	label_ko_KR	label_th_TH	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
12065001	1	1	1	12065002	0	0	0	3000004	0	0	45000	14901	8	4		1790	56000	31002004	20	1	AYM-001	AYM-001	AYM-001	AYM-001	AYM-001	AYM-001	暗夜猫第1层	暗夜貓第1層	Night Cat Floor 1	ダークキャット第1層	다크나이트 캣 제1층	ไนต์แคทชั้นที่ 1
12065002	1	2	1	12065003	12065001	0	0	3000004	0	0	68100	14901	8	4		1850	58000	31003004	20	1	AYM-002	AYM-002	AYM-002	AYM-002	AYM-002	AYM-002	暗夜猫第2层	暗夜貓第2層	Night Cat Floor 2	ダークキャット第2層	다크나이트 캣 제2층	ไนต์แคทชั้นที่ 2
12065003	1	3	1	12065004	12065002	0	0	3000004	0	0	91200	14901	8	4		1850	64000	31004004	20	1	AYM-003	AYM-003	AYM-003	AYM-003	AYM-003	AYM-003	暗夜猫第3层	暗夜貓第3層	Night Cat Floor 3	ダークキャット第3層	다크나이트 캣 제3층	ไนต์แคทชั้นที่ 3
12065004	1	4	1	12065005	12065003	0	0	3000004	0	0	114300	14901	8	4		1910	68000	31005004	20	1	AYM-004	AYM-004	AYM-004	AYM-004	AYM-004	AYM-004	暗夜猫第4层	暗夜貓第4層	Night Cat Floor 4	ダークキャット第4層	다크나이트 캣 제4층	ไนต์แคทชั้นที่ 4
12065005	1	5	3	12065006	12065004	0	0	3000004	0	0	137400	14901	8	4		2030	74000	31006004	20	1	AYM-005	AYM-005	AYM-005	AYM-005	AYM-005	AYM-005	暗夜猫第5层	暗夜貓第5層	Night Cat Floor 5	ダークキャット第5層	다크나이트 캣 제5층	ไนต์แคทชั้นที่ 5
12065006	1	6	1	12065007	12065005	0	0	3000004	0	0	160500	14901	8	4		2090	82000	31007004	20	1	AYM-006	AYM-006	AYM-006	AYM-006	AYM-006	AYM-006	暗夜猫第6层	暗夜貓第6層	Night Cat Floor 6	ダークキャット第6層	다크나이트 캣 제6층	ไนต์แคทชั้นที่ 6
12065007	1	7	1	12065008	12065006	0	0	3000004	0	0	183600	14901	8	4		2150	83000	31009004	20	1	AYM-007	AYM-007	AYM-007	AYM-007	AYM-007	AYM-007	暗夜猫第7层	暗夜貓第7層	Night Cat Floor 7	ダークキャット第7層	다크나이트 캣 제7층	ไนต์แคทชั้นที่ 7
12065008	1	8	1	12065009	12065007	0	0	3000004	0	0	206700	14901	8	4		2210	89000	31010004	20	1	AYM-008	AYM-008	AYM-008	AYM-008	AYM-008	AYM-008	暗夜猫第8层	暗夜貓第8層	Night Cat Floor 8	ダークキャット第8層	다크나이트 캣 제8층	ไนต์แคทชั้นที่ 8
12065009	1	9	1	12065010	12065008	0	0	3000004	0	0	229800	14901	8	4		2330	92000	31011004	20	1	AYM-009	AYM-009	AYM-009	AYM-009	AYM-009	AYM-009	暗夜猫第9层	暗夜貓第9層	Night Cat Floor 9	ダークキャット第9層	다크나이트 캣 제9층	ไนต์แคทชั้นที่ 9
12065010	1	10	2	12065011	12065009	0	0	3000004	0	0	252900	14901	10	4		2450	103110	30108113	20	1	AYM-010	AYM-010	AYM-010	AYM-010	AYM-010	AYM-010	暗夜猫第10层	暗夜貓第10層	Night Cat Floor 10	ダークキャット第10層	다크나이트 캣 제10층	ไนต์แคทชั้นที่ 10
12065011	1	11	1	12065012	12065010	0	0	3000004	0	0	276000	14901	7	4		2510	105000	31020004	20	1	AYM-011	AYM-011	AYM-011	AYM-011	AYM-011	AYM-011	暗夜猫第11层	暗夜貓第11層	Night Cat Floor 11	ダークキャット第11層	다크나이트 캣 제11층	ไนต์แคทชั้นที่ 11
12065012	1	12	1	12065013	12065011	0	0	3000004	0	0	299100	14901	7	4		2630	109400	31014004	20	1	AYM-012	AYM-012	AYM-012	AYM-012	AYM-012	AYM-012	暗夜猫第12层	暗夜貓第12層	Night Cat Floor 12	ダークキャット第12層	다크나이트 캣 제12층	ไนต์แคทชั้นที่ 12
12065013	1	13	1	12065014	12065012	0	0	3000004	0	0	322200	14901	7	4		2690	114000	31017004	20	1	AYM-013	AYM-013	AYM-013	AYM-013	AYM-013	AYM-013	暗夜猫第13层	暗夜貓第13層	Night Cat Floor 13	ダークキャット第13層	다크나이트 캣 제13층	ไนต์แคทชั้นที่ 13
12065014	1	14	1	12065015	12065013	0	0	3000004	0	0	345300	14901	7	4		2810	124200	31019004	20	1	AYM-014	AYM-014	AYM-014	AYM-014	AYM-014	AYM-014	暗夜猫第14层	暗夜貓第14層	Night Cat Floor 14	ダークキャット第14層	다크나이트 캣 제14층	ไนต์แคทชั้นที่ 14
