id	menu	picture	model	type	coinId	coinNum	love	catId	unlockLove	unlockCoinId	unlockCoinNum	sort	status
int	int	int	int	int	int	int	int	int	int	int	int	int	int
421000	420000	6:goods_icon_421000	93:bg_sh_rollcake_01_cuted.prefab	2	300003	918	30	101	0	300003	0	101	1
421001	420001	6:goods_icon_421001	93:bg_sh_sandwich_01.prefab	2	300003	1818	60	101	6	300003	60000	105	1
421002	420002	6:goods_icon_421002	93:bg_sh_milk_01.prefab	2	300003	3618	120	101	12	300003	120000	109	1
421003	420003	6:goods_icon_421003	93:bg_sh_macaron_01.prefab	2	300003	918	30	103	3	300003	30000	103	1
421004	420004	6:goods_icon_421004	93:bg_sh_waffle_01.prefab	2	300003	1818	60	103	6	300003	60000	106	1
421005	420005	6:goods_icon_421005	93:bg_sh_cookies_01.prefab	2	300003	3618	120	103	12	300003	120000	110	1
421006	420006	6:goods_icon_421006	93:bg_sh_ball_01_H.prefab	2	300003	918	30	102	0	300003	0	102	1
421007	420007	6:goods_icon_421007	93:bg_sh_donuts_05_H.prefab	2	300003	1818	60	102	6	300003	60000	107	1
421008	420008	6:goods_icon_421008	93:bg_sh_rollcake_02_H.prefab	2	300003	3618	120	102	12	300003	120000	111	1
421009	420009	6:goods_icon_421009	93:bg_sh_ball_04_H.prefab	2	300003	918	30	104	3	300003	30000	104	1
421010	420010	6:goods_icon_421010	93:bg_sh_eggtart_01.prefab	2	300003	1818	60	104	6	300003	60000	108	1
421011	420011	6:goods_icon_421011	93:bg_sh_opera_01.prefab	2	300003	3618	120	104	12	300003	120000	112	1
421012	420012	6:goods_icon_421012		1	300003	618	20	101	2	300003	20000	203	1
421013	420013	6:goods_icon_421013		1	300003	1218	40	101	4	300003	40000	205	1
421014	420014	6:goods_icon_421014		1	300003	2418	80	101	8	300003	80000	209	1
421015	420015	6:goods_icon_421015		1	300003	618	20	103	0	300003	0	201	1
421016	420016	6:goods_icon_421016		1	300003	1218	40	103	4	300003	40000	206	1
421017	420017	6:goods_icon_421017		1	300003	2418	80	103	8	300003	80000	210	1
421018	420018	6:goods_icon_421018		1	300003	618	20	102	2	300003	20000	204	1
421019	420019	6:goods_icon_421019		1	300003	1218	40	102	4	300003	40000	207	1
421020	420020	6:goods_icon_421020		1	300003	2418	80	102	8	300003	80000	211	1
421021	420021	6:goods_icon_421021		1	300003	618	20	104	0	300003	0	202	1
421022	420022	6:goods_icon_421022		1	300003	1218	40	104	4	300003	40000	208	1
421023	420023	6:goods_icon_421023		1	300003	2418	80	104	8	300003	80000	212	1
421024	420024	6:goods_icon_421024	93:bg_sh_donuts_08_H.prefab	2	300003	918	30	105	0	300003	0	109	1
421025	420025	6:goods_icon_421025	93:bg_sh_hamburger_01_H.prefab	2	300003	1818	60	105	6	300003	60000	113	1
421026	420026	6:goods_icon_421026	93:bg_sh_chips_01_H.prefab	2	300003	3618	120	105	12	300003	120000	117	1
421027	420027	6:goods_icon_421027	93:bg_sh_donuts_09_H.prefab	2	300003	918	30	106	3	300003	30000	111	1
421028	420028	6:goods_icon_421028	93:bg_sh_croissant_01_H.prefab	2	300003	1818	60	106	6	300003	60000	114	1
421029	420029	6:goods_icon_421029	93:bg_sh_popcorn_01_H.prefab	2	300003	3618	120	106	12	300003	120000	118	1
421030	420030	6:goods_icon_421030	93:bg_sh_puff_01_H.prefab	2	300003	918	30	107	0	300003	0	110	1
421031	420031	6:goods_icon_421031	93:bg_sh_croissant_02_H.prefab	2	300003	1818	60	107	6	300003	60000	115	1
421032	420032	6:goods_icon_421032	93:bg_sh_pancake_01_H.prefab	2	300003	3618	120	107	12	300003	120000	119	1
421033	420033	6:goods_icon_421033	93:bg_sh_bread_01_H.prefab	2	300003	918	30	108	3	300003	30000	112	1
421034	420034	6:goods_icon_421034	93:bg_sh_catclaw_01_H.prefab	2	300003	1818	60	108	6	300003	60000	116	1
421035	420035	6:goods_icon_421035	93:bg_sh_sandwich_02.prefab	2	300003	3618	120	108	12	300003	120000	120	1
421036	420036	6:goods_icon_421036		1	300003	618	20	105	2	300003	20000	215	1
421037	420037	6:goods_icon_421037		1	300003	1218	40	105	4	300003	40000	217	1
421038	420038	6:goods_icon_421038		1	300003	2418	80	105	8	300003	80000	221	1
421039	420039	6:goods_icon_421039		1	300003	618	20	106	0	300003	0	213	1
421040	420040	6:goods_icon_421040		1	300003	1218	40	106	4	300003	40000	218	1
421041	420041	6:goods_icon_421041		1	300003	2418	80	106	8	300003	80000	222	1
421042	420042	6:goods_icon_421042		1	300003	618	20	107	2	300003	20000	216	1
421043	420043	6:goods_icon_421043		1	300003	1218	40	107	4	300003	40000	219	1
421044	420044	6:goods_icon_421044		1	300003	2418	80	107	8	300003	80000	223	1
421045	420045	6:goods_icon_421045		1	300003	618	20	108	0	300003	0	214	1
421046	420046	6:goods_icon_421046		1	300003	1218	40	108	4	300003	40000	220	1
421047	420047	6:goods_icon_421047		1	300003	2418	80	108	8	300003	80000	224	1
