id	address	specialEfficiency	status
int	int	int	int
101	Unity_Export_Grp/DeformationScale_Grp/DeformationSystem/root_move_jnt/actor_move_jnt/Root_M/Spine1_M/Chest_M/Neck_M/Head_M/hair_root/home_f_ear	Unity_Export_Grp	1
102	Unity_Export_Grp/DeformationScale_Grp/DeformationSystem/root_move_jnt/actor_move_jnt/Root_M/Spine1_M/Chest_M/Neck_M/Head_M/Hair_root_M/home_f_ear	Unity_Export_Grp	1
103	Unity_Export_Grp/DeformationScale_Grp/DeformationSystem/root_move_jnt/actor_move_jnt/Root_M/Spine1_M/Chest_M/Neck_M/Head_M/Hair_Root_M/home_f_ear	Unity_Export_Grp	1
104	Unity_Export_Grp/DeformationScale_Grp/DeformationSystem/root_move_jnt/actor_move_jnt/Root_M/Spine1_M/Chest_M/Neck_M/Head_M/hair_root_jnt/home_f_ear	Unity_Export_Grp	1
105	Unity_Export_Grp/DeformationScale_Grp/DeformationSystem/root_move_jnt/actor_move_jnt/Root_M/Spine1_M/Chest_M/Neck_M/Head_M/HeadEnd_M/home_f_ear	Unity_Export_Grp	1
201	Unity_Export_Grp/DeformationScale_Grp/DeformationSystem/root_move_jnt/actor_move_jnt/Root_M/Spine1_M/Chest_M/Neck_M/Head_M/home_f_face	Unity_Export_Grp	1
202	Unity_Export_Grp/DeformationScale_Grp/DeformationSystem/root_move_jnt/actor_move_jnt/Root_M/Spine1_M/Chest_M/Neck_M/home_f_face	Unity_Export_Grp	1
301	Unity_Export_Grp/DeformationScale_Grp/DeformationSystem/root_move_jnt/actor_move_jnt/Root_M/Spine1_M/Chest_M/Scapula_L/Shoulder_L/home_f_arm_L	Unity_Export_Grp	1
302	Unity_Export_Grp/DeformationScale_Grp/DeformationSystem/root_move_jnt/actor_move_jnt/Root_M/Spine1_M/Chest_M/Scapula_R/Shoulder_R/home_f_arm_R	Unity_Export_Grp	1
401	Unity_Export_Grp/DeformationScale_Grp/DeformationSystem/root_move_jnt/actor_move_jnt/Root_M/Spine1_M/home_f_body	Unity_Export_Grp	1
