id	ScheduleId	unlockType	unlockId	unlockNum	taskContentType	taskContentId	taskContenNum	point	openType	openParameter	ifDaily	status	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1	1				7	3000004	200	100	0		0	1	消耗200点情绪	消耗200點情緒	Spend 200 Pathos.	エモーションを200消費する	이모션 200 소모	ใช้พาโธส 200 แต้ม
2	1				7	3000003	100000	100			0	1	累计消耗100000新海币	累計消耗100000新海幣	Spend 100,000 Catto Coins in total.	累計で100000新海コインを消費する	뉴오션 코인 누적 100000 소모	ใช้​เหรียญ​แค​ทโตะ​สะสม​ 100,000​ เหรียญ​
3	1				1803		150	100	301		0	1	每日活跃度达到150点	每日活躍度達到150點	Reach 150 Daily Activeness.	活躍度が150に達する	일일 활약도 150 달성	ค่า​แอ็ก​ที​ฟ​รายวัน​ถึง​ 150​ แต้ม​
4	1				1101	6	3	100	224		0	1	通关任意难度经验副本3次	通關任意難度經驗副本3次	Complete any EXP Stage 3 times.	EXPステージを3回クリアする	랜덤 난이도 EXP 던전 3회 클리어	ผ่าน​ดัน​เจี้ยน​ EXP​ ความ​ยาก​ใด​ก็ได้​ 3​ ครั้ง​
5	1				1101	4	3	100	283		0	1	通关任意难度芯片副本3次	通關任意難度晶片副本3次	Complete any Chip Stage 3 times.	チップステージを3回クリアする	랜덤 난이도 칩 던전 3회 클리어	ผ่าน​ดัน​เจี้ยน​ชิป​ความ​ยาก​ใด​ก็ได้​ 3​ ครั้ง​
6	1				1101	5	3	100	223		0	1	通关任意难度粒子副本3次	通關任意難度粒子副本3次	Complete any Particle Stage 3 times.	粒子ステージを3回クリアする	랜덤 난이도 파티클 던전 3회 클리어	ผ่าน​ดัน​เจี้ยน​อนุภาค​ความ​ยาก​ใด​ก็ได้​ 3​ ครั้ง​
7	1				1101	1	3	100	288		0	1	通关任意难度装备副本3次	通關任意難度裝備副本3次	Complete any Equipment Stage 3 times.	装備ステージを3回クリアする	랜덤 난이도 장비 던전 3회 클리어	ผ่าน​ดัน​เจี้ยน​อุปกรณ์​ความ​ยาก​ใด​ก็ได้​ 3​ ครั้ง​
8	1	25		104020	1405		1	100	518		0	1	完成1次离岛空运	完成1次離島空運	Complete Air Express 1 time.	離島空便を１回完了する	항공 운송 1회 완료	สำเร็จ​การขนส่ง​ทางอากาศ​ 1​ ครั้ง​
9	1				1416		10	100	511		0	1	制作10个任意料理	製作10個任意料理	Create any food 10 times.	任意の料理を10個製作する	요리 10개 제작	ทำอาหาร​แบบ​ใด​ก็ได้​ 10​ รายการ​
10	1				1403		5	100	517		0	1	完成5个外卖订单	完成5個外賣訂單	Complete 5 delivery orders.	出前を5回完了する	배달 주문 5건 완료	ส่งสำเร็จ 5 ออเดอร์
11	1				7	4198001	10	100	230		0	1	任意渔场钓鱼10次	任意漁場釣魚10次	Fish 10 times in any Fishery.	任意の漁場で釣りを10回完了する	임의의 낚시터에서 낚시 10회	ตกปลา​ที่​บ่อ​ปลา​ใด​ก็ได้​ 10​ ครั้ง​
12	1	25		104110	1103		2	100	236		0	1	通关2次协力战	通關2次協力戰	Complete 2 Invasions.	協同作戦を2回クリアする	협력전 2회 클리어	ผ่าน​ด่าน​ผนึก​กำลัง​ 2​ ครั้ง​
13	1	25		107120	274		1	100	212		0	1	参与1次世界首领	 參與1次世界首領	Fight the World Boss once.	ワールドBOSSの討伐に1回参加する	월드 보스 1회 참여	เข้าร่วม​เวิลด์​บอส​ 1​ ครั้ง​
14	1	25		106070	252		1	100	721		0	1	参与1次天梯竞技场	參與1次天梯競技場	Complete 1 battle in the Arena.	アリーナランク戦に1回出場する	래더 아레나에서 1회 참여	เข้าร่วม​สกาย​อารี​น่า​ 1​ ครั้ง​
15	1	25		105030	1118		3	100	723		0	1	参与3次幻影特训场	參與3次幻影特訓場	Battle in Master Duel 3 times.	ファントム特訓に3回参加する	팬텀 특훈장 3회 참여	เข้าร่วม​สนาม​ซ้อม​แฟน​ธอม​ 3​ ครั้ง​
16	1	25		109210	1106		3	100	722		0	1	参与3次幻影斗技场	參與3次幻影鬥技場	Participate in Phantom Clash 3 times.	ファントム闘技場に3回出場する	팬텀 투기장 3회 참여	เข้าร่วม​แฟน​ธอม​อารี​น่า​ 3​ ครั้ง​
17	1				601	1	5	120	601	1	0	1	进行5次召唤	進行5次召喚	Make 5 summons.	召喚を5回行う	소환 5회 진행	รับสมัคร 5 ครั้ง
18	1	25		102170	1602		5	120	522		0	1	进行5次猫球抽取	進行5次貓球抽取	Summon Catos 5 times.	ガトガチャを5回回す	냥냥볼 뽑기 5회 진행	จุ่มแคทบอล 5 ครั้ง
101	1			1	405		1	100			1	1	每日登陆	每日登入	Log in daily.	ログインする	매일 접속	ล็อกอินทุกวัน
20	2				7	3000004	200	60	0		0	1	消耗200点情绪	消耗200點情緒	Spend 200 Pathos.	エモーションを200消費する	이모션 200 소모	ใช้พาโธส 200 แต้ม
21	2				7	3000003	100000	60			0	1	累计消耗100000新海币	累計消耗100000新海幣	Spend 100,000 Catto Coins in total.	累計で100000新海コインを消費する	뉴오션 코인 누적 100000 소모	ใช้​เหรียญ​แค​ทโตะ​สะสม​ 100,000​ เหรียญ​
22	2				1803		150	60	301		0	1	每日活跃度达到150点	每日活躍度達到150點	Reach 150 Daily Activeness.	活躍度が150に達する	일일 활약도 150 달성	ค่า​แอ็ก​ที​ฟ​รายวัน​ถึง​ 150​ แต้ม​
23	2				1101	6	3	60	224		0	1	通关任意难度经验副本3次	通關任意難度經驗副本3次	Complete any EXP Stage 3 times.	EXPステージを3回クリアする	랜덤 난이도 EXP 던전 3회 클리어	ผ่าน​ดัน​เจี้ยน​ EXP​ ความ​ยาก​ใด​ก็ได้​ 3​ ครั้ง​
24	2				1101	4	3	60	283		0	1	通关任意难度芯片副本3次	通關任意難度晶片副本3次	Complete any Chip Stage 3 times.	チップステージを3回クリアする	랜덤 난이도 칩 던전 3회 클리어	ผ่าน​ดัน​เจี้ยน​ชิป​ความ​ยาก​ใด​ก็ได้​ 3​ ครั้ง​
25	2				1101	5	3	60	223		0	1	通关任意难度粒子副本3次	通關任意難度粒子副本3次	Complete any Particle Stage 3 times.	粒子ステージを3回クリアする	랜덤 난이도 파티클 던전 3회 클리어	ผ่าน​ดัน​เจี้ยน​อนุภาค​ความ​ยาก​ใด​ก็ได้​ 3​ ครั้ง​
26	2				1101	1	3	60	288		0	1	通关任意难度装备副本3次	通關任意難度裝備副本3次	Complete any Equipment Stage 3 times.	装備ステージを3回クリアする	랜덤 난이도 장비 던전 3회 클리어	ผ่าน​ดัน​เจี้ยน​อุปกรณ์​ความ​ยาก​ใด​ก็ได้​ 3​ ครั้ง​
27	2	25		104020	1405		1	60	518		0	1	完成1次离岛空运	完成1次離島空運	Complete Air Express 1 time.	離島空便を１回完了する	항공 운송 1회 완료	สำเร็จ​การขนส่ง​ทางอากาศ​ 1​ ครั้ง​
28	2				1416		10	60	511		0	1	制作10个任意料理	製作10個任意料理	Create any food 10 times.	任意の料理を10個製作する	요리 10개 제작	ทำอาหาร​แบบ​ใด​ก็ได้​ 10​ รายการ​
29	2				1403		5	60	517		0	1	完成5个外卖订单	完成5個外賣訂單	Complete 5 delivery orders.	出前を5回完了する	배달 주문 5건 완료	ส่งสำเร็จ 5 ออเดอร์
30	2				7	4198001	10	60	230		0	1	任意渔场钓鱼10次	任意漁場釣魚10次	Fish 10 times in any Fishery.	任意の漁場で釣りを10回完了する	임의의 낚시터에서 낚시 10회	ตกปลา​ที่​บ่อ​ปลา​ใด​ก็ได้​ 10​ ครั้ง​
31	2	25		104110	1103		2	60	236		0	1	通关2次协力战	通關2次協力戰	Complete 2 Invasions.	協同作戦を2回クリアする	협력전 2회 클리어	ผ่าน​ด่าน​ผนึก​กำลัง​ 2​ ครั้ง​
32	2	25		107120	274		1	60	212		0	1	参与1次世界首领	 參與1次世界首領	Fight the World Boss once.	ワールドBOSSの討伐に1回参加する	월드 보스 1회 참여	เข้าร่วม​เวิลด์​บอส​ 1​ ครั้ง​
33	2	25		106070	252		1	60	721		0	1	参与1次天梯竞技场	參與1次天梯競技場	Complete 1 battle in the Arena.	アリーナランク戦に1回出場する	래더 아레나에서 1회 참여	เข้าร่วม​สกาย​อารี​น่า​ 1​ ครั้ง​
34	2	25		105030	1118		3	60	723		0	1	参与3次幻影特训场	參與3次幻影特訓場	Battle in Master Duel 3 times.	ファントム特訓に3回参加する	팬텀 특훈장 3회 참여	เข้าร่วม​สนาม​ซ้อม​แฟน​ธอม​ 3​ ครั้ง​
35	2	25		109210	1106		3	60	722		0	1	参与3次幻影斗技场	參與3次幻影鬥技場	Participate in Phantom Clash 3 times.	ファントム闘技場に3回出場する	팬텀 투기장 3회 참여	เข้าร่วม​แฟน​ธอม​อารี​น่า​ 3​ ครั้ง​
36	2				601	1	5	80	601	1	0	1	进行5次召唤	進行5次召喚	Make 5 summons.	召喚を5回行う	소환 5회 진행	รับสมัคร 5 ครั้ง
37	2	25		102170	1602		5	80	522		0	1	进行5次猫球抽取	進行5次貓球抽取	Summon Catos 5 times.	ガトガチャを5回回す	냥냥볼 뽑기 5회 진행	จุ่มแคทบอล 5 ครั้ง
201	2			1	405		1	60			1	1	每日登陆	每日登入	Log in daily.	ログインする	매일 접속	ล็อกอินทุกวัน
301	3				7	3000004	200	60	0		0	1	消耗200点情绪	消耗200點情緒	Spend 200 Pathos.	エモーションを200消費する	이모션 200 소모	ใช้พาโธส 200 แต้ม
302	3				7	3000003	100000	60			0	1	累计消耗100000新海币	累計消耗100000新海幣	Spend 100,000 Catto Coins in total.	累計で100000新海コインを消費する	뉴오션 코인 누적 100000 소모	ใช้​เหรียญ​แค​ทโตะ​สะสม​ 100,000​ เหรียญ​
303	3				1803		150	60	301		0	1	每日活跃度达到150点	每日活躍度達到150點	Reach 150 Daily Activeness.	活躍度が150に達する	일일 활약도 150 달성	ค่า​แอ็ก​ที​ฟ​รายวัน​ถึง​ 150​ แต้ม​
304	3				1101	6	3	60	224		0	1	通关任意难度经验副本3次	通關任意難度經驗副本3次	Complete any EXP Stage 3 times.	EXPステージを3回クリアする	랜덤 난이도 EXP 던전 3회 클리어	ผ่าน​ดัน​เจี้ยน​ EXP​ ความ​ยาก​ใด​ก็ได้​ 3​ ครั้ง​
305	3				1101	4	3	60	283		0	1	通关任意难度芯片副本3次	通關任意難度晶片副本3次	Complete any Chip Stage 3 times.	チップステージを3回クリアする	랜덤 난이도 칩 던전 3회 클리어	ผ่าน​ดัน​เจี้ยน​ชิป​ความ​ยาก​ใด​ก็ได้​ 3​ ครั้ง​
306	3				1101	5	3	60	223		0	1	通关任意难度粒子副本3次	通關任意難度粒子副本3次	Complete any Particle Stage 3 times.	粒子ステージを3回クリアする	랜덤 난이도 파티클 던전 3회 클리어	ผ่าน​ดัน​เจี้ยน​อนุภาค​ความ​ยาก​ใด​ก็ได้​ 3​ ครั้ง​
307	3				1101	1	3	60	288		0	1	通关任意难度装备副本3次	通關任意難度裝備副本3次	Complete any Equipment Stage 3 times.	装備ステージを3回クリアする	랜덤 난이도 장비 던전 3회 클리어	ผ่าน​ดัน​เจี้ยน​อุปกรณ์​ความ​ยาก​ใด​ก็ได้​ 3​ ครั้ง​
308	3	25		104020	1405		1	60	518		0	1	完成1次离岛空运	完成1次離島空運	Complete Air Express 1 time.	離島空便を１回完了する	항공 운송 1회 완료	สำเร็จ​การขนส่ง​ทางอากาศ​ 1​ ครั้ง​
309	3				1416		10	60	511		0	1	制作10个任意料理	製作10個任意料理	Create any food 10 times.	任意の料理を10個製作する	요리 10개 제작	ทำอาหาร​แบบ​ใด​ก็ได้​ 10​ รายการ​
310	3				1403		5	60	517		0	1	完成5个外卖订单	完成5個外賣訂單	Complete 5 delivery orders.	出前を5回完了する	배달 주문 5건 완료	ส่งสำเร็จ 5 ออเดอร์
311	3				7	4198001	10	60	230		0	1	任意渔场钓鱼10次	任意漁場釣魚10次	Fish 10 times in any Fishery.	任意の漁場で釣りを10回完了する	임의의 낚시터에서 낚시 10회	ตกปลา​ที่​บ่อ​ปลา​ใด​ก็ได้​ 10​ ครั้ง​
312	3	25		104110	1103		2	60	236		0	1	通关2次协力战	通關2次協力戰	Complete 2 Invasions.	協同作戦を2回クリアする	협력전 2회 클리어	ผ่าน​ด่าน​ผนึก​กำลัง​ 2​ ครั้ง​
313	3	25		107120	274		1	60	212		0	1	参与1次世界首领	 參與1次世界首領	Fight the World Boss once.	ワールドBOSSの討伐に1回参加する	월드 보스 1회 참여	เข้าร่วม​เวิลด์​บอส​ 1​ ครั้ง​
314	3	25		106070	252		1	60	721		0	1	参与1次天梯竞技场	參與1次天梯競技場	Complete 1 battle in the Arena.	アリーナランク戦に1回出場する	래더 아레나에서 1회 참여	เข้าร่วม​สกาย​อารี​น่า​ 1​ ครั้ง​
315	3	25		105030	1118		3	60	723		0	1	参与3次幻影特训场	參與3次幻影特訓場	Battle in Master Duel 3 times.	ファントム特訓に3回参加する	팬텀 특훈장 3회 참여	เข้าร่วม​สนาม​ซ้อม​แฟน​ธอม​ 3​ ครั้ง​
316	3	25		109210	1106		3	60	722		0	1	参与3次幻影斗技场	參與3次幻影鬥技場	Participate in Phantom Clash 3 times.	ファントム闘技場に3回出場する	팬텀 투기장 3회 참여	เข้าร่วม​แฟน​ธอม​อารี​น่า​ 3​ ครั้ง​
317	3				601	1	5	80	601	1	0	1	进行5次召唤	進行5次召喚	Make 5 summons.	召喚を5回行う	소환 5회 진행	รับสมัคร 5 ครั้ง
318	3	25		102170	1602		5	80	522		0	1	进行5次猫球抽取	進行5次貓球抽取	Summon Catos 5 times.	ガトガチャを5回回す	냥냥볼 뽑기 5회 진행	จุ่มแคทบอล 5 ครั้ง
320	3			1	405		1	60			1	1	每日登陆	每日登入	Log in daily.	ログインする	매일 접속	ล็อกอินทุกวัน
401	4				7	3000004	200	60	0		0	1	消耗200点情绪	消耗200點情緒	Spend 200 Pathos.	エモーションを200消費する	이모션 200 소모	ใช้พาโธส 200 แต้ม
402	4				7	3000003	100000	60			0	1	累计消耗100000新海币	累計消耗100000新海幣	Spend 100,000 Catto Coins in total.	累計で100000新海コインを消費する	뉴오션 코인 누적 100000 소모	ใช้​เหรียญ​แค​ทโตะ​สะสม​ 100,000​ เหรียญ​
403	4				1803		150	60	301		0	1	每日活跃度达到150点	每日活躍度達到150點	Reach 150 Daily Activeness.	活躍度が150に達する	일일 활약도 150 달성	ค่า​แอ็ก​ที​ฟ​รายวัน​ถึง​ 150​ แต้ม​
404	4				1101	6	3	60	224		0	1	通关任意难度经验副本3次	通關任意難度經驗副本3次	Complete any EXP Stage 3 times.	EXPステージを3回クリアする	랜덤 난이도 EXP 던전 3회 클리어	ผ่าน​ดัน​เจี้ยน​ EXP​ ความ​ยาก​ใด​ก็ได้​ 3​ ครั้ง​
405	4				1101	4	3	60	283		0	1	通关任意难度芯片副本3次	通關任意難度晶片副本3次	Complete any Chip Stage 3 times.	チップステージを3回クリアする	랜덤 난이도 칩 던전 3회 클리어	ผ่าน​ดัน​เจี้ยน​ชิป​ความ​ยาก​ใด​ก็ได้​ 3​ ครั้ง​
406	4				1101	5	3	60	223		0	1	通关任意难度粒子副本3次	通關任意難度粒子副本3次	Complete any Particle Stage 3 times.	粒子ステージを3回クリアする	랜덤 난이도 파티클 던전 3회 클리어	ผ่าน​ดัน​เจี้ยน​อนุภาค​ความ​ยาก​ใด​ก็ได้​ 3​ ครั้ง​
407	4				1101	1	3	60	288		0	1	通关任意难度装备副本3次	通關任意難度裝備副本3次	Complete any Equipment Stage 3 times.	装備ステージを3回クリアする	랜덤 난이도 장비 던전 3회 클리어	ผ่าน​ดัน​เจี้ยน​อุปกรณ์​ความ​ยาก​ใด​ก็ได้​ 3​ ครั้ง​
408	4	25		104020	1405		1	60	518		0	1	完成1次离岛空运	完成1次離島空運	Complete Air Express 1 time.	離島空便を１回完了する	항공 운송 1회 완료	สำเร็จ​การขนส่ง​ทางอากาศ​ 1​ ครั้ง​
409	4				1416		10	60	511		0	1	制作10个任意料理	製作10個任意料理	Create any food 10 times.	任意の料理を10個製作する	요리 10개 제작	ทำอาหาร​แบบ​ใด​ก็ได้​ 10​ รายการ​
410	4				1403		5	60	517		0	1	完成5个外卖订单	完成5個外賣訂單	Complete 5 delivery orders.	出前を5回完了する	배달 주문 5건 완료	ส่งสำเร็จ 5 ออเดอร์
