id	startDay	endDay	AdvancedGoodsID	AdvancedGoodsNum	advancedExpItem	AdvancedExpNum	Exhibitiongoods	ExhibitiongoodsNum	loopTreasureExp	loopTreasureGoodsId	loopTreasureGoodsNum	lobbyMode	maxLv	loopTreasureGoodsIcon	bodyIcon	background	homeIcon	specialIcon	luxuryPropsIcon	status	titleDesc	titleDesc_zh_TW	titleDesc_en_UK	titleDesc_ja_JP	titleDesc_ko_KR	titleDesc_th_TH	titleDesc2	titleDesc2_zh_TW	titleDesc2_en_UK	titleDesc2_ja_JP	titleDesc2_ko_KR	titleDesc2_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1	2024/7/3 5:00:00	2024/10/1 4:59:59			5300003	2000			200	5003000	1	103021	50	6:goods_icon_506002	90:card_img_103021_l	92:home_battlepass_bg_103021	156:home_btn_pass	1	3000002;4190004	1	合约每日任务经验+25%\n等级提升10级	合約每日任務經驗+25%\n等級提升10級	Daily Mission EXP +25%\nContract Level +10	デイリー任務の獲得EXP＋25%\n契約Lvl＋10	계약 매일 미션 EXP+25%\n10레벨업	EXP​ ภารกิจ​รายวัน​ของ​สัญญา​ +25%​ \n​ เล​เวล​เพิ่มขึ้น​ 10​ เล​เวล​	购买高级版合约后，升级豪华合约需花费：300虹晶\n购买后合约每日任务经验+25%	/	After buying Advanced Contract, upgrading it to the Deluxe one costs: 300 Irithyst\nDaily Mission EXP +25% after purchase.		购买高级版合约后，升级豪华合约需花费：300虹晶\n购买后合约每日任务经验+25%	หลัง​ซื้อ​สัญญา​ระดับสูง​ การ​จะ​อัปเกรด​เป็น​สัญญา​พรีเมียม​ต้อง​ใช้​:​ 300​ อิ​ริ​ธิสต์​\nหลัง​ซื้อ​แล้ว​ EXP​ ภารกิจ​รายวัน​ของ​สัญญา​ +25%​
2	2024/10/1 5:00:00	2024/10/30 4:59:59			5300003	2000			200	5003000	1	136008	50	6:goods_icon_506002	90:card_img_136008_l	92:home_battlepass_bg_136008	156:home_btn_pass_136008	0	3000002;4190004	1	合约每日任务经验+25%\n等级提升10级	合約每日任務經驗+25%\n等級提升10級	Daily Mission EXP +25%\nContract Level +10	デイリー任務の獲得EXP＋25%\n契約Lvl＋10	계약 매일 미션 EXP+25%\n10레벨업	EXP​ ภารกิจ​รายวัน​ของ​สัญญา​ +25%​ \n​ เล​เวล​เพิ่มขึ้น​ 10​ เล​เวล​	购买高级版合约后，升级豪华合约需花费：300虹晶\n购买后合约每日任务经验+25%	/	After buying Advanced Contract, upgrading it to the Deluxe one costs: 300 Irithyst\nDaily Mission EXP +25% after purchase.		购买高级版合约后，升级豪华合约需花费：300虹晶\n购买后合约每日任务经验+25%	หลัง​ซื้อ​สัญญา​ระดับสูง​ การ​จะ​อัปเกรด​เป็น​สัญญา​พรีเมียม​ต้อง​ใช้​:​ 300​ อิ​ริ​ธิสต์​\nหลัง​ซื้อ​แล้ว​ EXP​ ภารกิจ​รายวัน​ของ​สัญญา​ +25%​
3	2024/10/30 5:00:00	2024/11/27 9:59:59			5300003	2000			200	5003000	1	141008	50	6:goods_icon_506002	90:card_img_141008_l	92:home_battlepass_bg_141008	156:home_btn_pass_141008	0	3000002;4190004	1	合约每日任务经验+25%\n等级提升10级	合約每日任務經驗+25%\n等級提升10級	Daily Mission EXP +25%\nContract Level +10	デイリー任務の獲得EXP＋25%\n契約Lvl＋10	계약 매일 미션 EXP+25%\n10레벨업	EXP​ ภารกิจ​รายวัน​ของ​สัญญา​ +25%​ \n​ เล​เวล​เพิ่มขึ้น​ 10​ เล​เวล​	购买高级版合约后，升级豪华合约需花费：300虹晶\n购买后合约每日任务经验+25%	/	After buying Advanced Contract, upgrading it to the Deluxe one costs: 300 Irithyst\nDaily Mission EXP +25% after purchase.		购买高级版合约后，升级豪华合约需花费：300虹晶\n购买后合约每日任务经验+25%	หลัง​ซื้อ​สัญญา​ระดับสูง​ การ​จะ​อัปเกรด​เป็น​สัญญา​พรีเมียม​ต้อง​ใช้​:​ 300​ อิ​ริ​ธิสต์​\nหลัง​ซื้อ​แล้ว​ EXP​ ภารกิจ​รายวัน​ของ​สัญญา​ +25%​
4	2024/11/27 10:00:00	2024/12/25 9:59:59			5300003	2000			200	5003000	1	103003	50	6:goods_icon_506002	90:card_img_103003_l	92:home_battlepass_gift	156:home_btn_pass_103003	0	3000002;4190004	1	合约每日任务经验+25%\n等级提升10级	合約每日任務經驗+25%\n等級提升10級	Daily Mission EXP +25%\nContract Level +10	デイリー任務の獲得EXP＋25%\n契約Lvl＋10	계약 매일 미션 EXP+25%\n10레벨업	EXP​ ภารกิจ​รายวัน​ของ​สัญญา​ +25%​ \n​ เล​เวล​เพิ่มขึ้น​ 10​ เล​เวล​	购买高级版合约后，升级豪华合约需花费：300虹晶\n购买后合约每日任务经验+25%	/	After buying Advanced Contract, upgrading it to the Deluxe one costs: 300 Irithyst\nDaily Mission EXP +25% after purchase.		购买高级版合约后，升级豪华合约需花费：300虹晶\n购买后合约每日任务经验+25%	หลัง​ซื้อ​สัญญา​ระดับสูง​ การ​จะ​อัปเกรด​เป็น​สัญญา​พรีเมียม​ต้อง​ใช้​:​ 300​ อิ​ริ​ธิสต์​\nหลัง​ซื้อ​แล้ว​ EXP​ ภารกิจ​รายวัน​ของ​สัญญา​ +25%​
5	2024/12/25 10:00:00	2025/1/18 9:59:59			5300003	2000			200	5003000	1	152008	50	6:goods_icon_506002	90:card_img_152008_l	92:home_battlepass_gift	156:home_btn_pass_152008	0	3000002;4190004	1	合约每日任务经验+25%\n等级提升10级	合約每日任務經驗+25%\n等級提升10級	Daily Mission EXP +25%\nContract Level +10	デイリー任務の獲得EXP＋25%\n契約Lvl＋10	계약 매일 미션 EXP+25%\n10레벨업	EXP​ ภารกิจ​รายวัน​ของ​สัญญา​ +25%​ \n​ เล​เวล​เพิ่มขึ้น​ 10​ เล​เวล​	购买高级版合约后，升级豪华合约需花费：300虹晶\n购买后合约每日任务经验+25%	/	After buying Advanced Contract, upgrading it to the Deluxe one costs: 300 Irithyst\nDaily Mission EXP +25% after purchase.		购买高级版合约后，升级豪华合约需花费：300虹晶\n购买后合约每日任务经验+25%	หลัง​ซื้อ​สัญญา​ระดับสูง​ การ​จะ​อัปเกรด​เป็น​สัญญา​พรีเมียม​ต้อง​ใช้​:​ 300​ อิ​ริ​ธิสต์​\nหลัง​ซื้อ​แล้ว​ EXP​ ภารกิจ​รายวัน​ของ​สัญญา​ +25%​
6	2025/1/18 10:00:00	2025/2/12 9:59:59			5300003	2000			200	5003000	1	138001	50	6:goods_icon_506002	90:card_img_138001_l	92:home_battlepass_gift	156:home_btn_pass_138001	0	3000002;4190004	1	合约每日任务经验+25%\n等级提升10级	合約每日任務經驗+25%\n等級提升10級	Daily Mission EXP +25%\nContract Level +10	デイリー任務の獲得EXP＋25%\n契約Lvl＋10	계약 매일 미션 EXP+25%\n10레벨업	EXP​ ภารกิจ​รายวัน​ของ​สัญญา​ +25%​ \n​ เล​เวล​เพิ่มขึ้น​ 10​ เล​เวล​	购买高级版合约后，升级豪华合约需花费：300虹晶\n购买后合约每日任务经验+25%	/	After buying Advanced Contract, upgrading it to the Deluxe one costs: 300 Irithyst\nDaily Mission EXP +25% after purchase.		购买高级版合约后，升级豪华合约需花费：300虹晶\n购买后合约每日任务经验+25%	หลัง​ซื้อ​สัญญา​ระดับสูง​ การ​จะ​อัปเกรด​เป็น​สัญญา​พรีเมียม​ต้อง​ใช้​:​ 300​ อิ​ริ​ธิสต์​\nหลัง​ซื้อ​แล้ว​ EXP​ ภารกิจ​รายวัน​ของ​สัญญา​ +25%​
7	2025/2/12 10:00:00	2025/3/6 4:59:59			5300003	2000			200	5003000	1	128008	50	6:goods_icon_506002	90:card_img_128008_l	92:home_battlepass_bg_128008	156:home_btn_pass_128008	0	3000002;4190004	1	合约每日任务经验+25%\n等级提升10级	合約每日任務經驗+25%\n等級提升10級	Daily Mission EXP +25%\nContract Level +10	デイリー任務の獲得EXP＋25%\n契約Lvl＋10	계약 매일 미션 EXP+25%\n10레벨업	EXP​ ภารกิจ​รายวัน​ของ​สัญญา​ +25%​ \n​ เล​เวล​เพิ่มขึ้น​ 10​ เล​เวล​	购买高级版合约后，升级豪华合约需花费：300虹晶\n购买后合约每日任务经验+25%	/	After buying Advanced Contract, upgrading it to the Deluxe one costs: 300 Irithyst\nDaily Mission EXP +25% after purchase.		购买高级版合约后，升级豪华合约需花费：300虹晶\n购买后合约每日任务经验+25%	หลัง​ซื้อ​สัญญา​ระดับสูง​ การ​จะ​อัปเกรด​เป็น​สัญญา​พรีเมียม​ต้อง​ใช้​:​ 300​ อิ​ริ​ธิสต์​\nหลัง​ซื้อ​แล้ว​ EXP​ ภารกิจ​รายวัน​ของ​สัญญา​ +25%​
8	2025/3/6 5:00:00	2025/3/27 4:59:59			5300003	2000			200	5003000	1	150008	50	6:goods_icon_506002	90:card_img_150008_l	92:home_battlepass_bg_150008	156:home_btn_pass_150008	0	3000002;4190004	1	合约每日任务经验+25%\n等级提升10级	合約每日任務經驗+25%\n等級提升10級	Daily Mission EXP +25%\nContract Level +10	デイリー任務の獲得EXP＋25%\n契約Lvl＋10	계약 매일 미션 EXP+25%\n10레벨업	EXP​ ภารกิจ​รายวัน​ของ​สัญญา​ +25%​ \n​ เล​เวล​เพิ่มขึ้น​ 10​ เล​เวล​	购买高级版合约后，升级豪华合约需花费：300虹晶\n购买后合约每日任务经验+25%	/	After buying Advanced Contract, upgrading it to the Deluxe one costs: 300 Irithyst\nDaily Mission EXP +25% after purchase.		购买高级版合约后，升级豪华合约需花费：300虹晶\n购买后合约每日任务经验+25%	หลัง​ซื้อ​สัญญา​ระดับสูง​ การ​จะ​อัปเกรด​เป็น​สัญญา​พรีเมียม​ต้อง​ใช้​:​ 300​ อิ​ริ​ธิสต์​\nหลัง​ซื้อ​แล้ว​ EXP​ ภารกิจ​รายวัน​ของ​สัญญา​ +25%​
9	2025/3/27 5:00:00	2025/4/30 4:59:59			5300003	2000			200	5003000	1	103003	50	6:goods_icon_506002	90:card_img_103003_l	92:home_battlepass_bg_103003	156:home_btn_pass_103003	0	3000002;4190004	1	合约每日任务经验+25%\n等级提升10级	合約每日任務經驗+25%\n等級提升10級	Daily Mission EXP +25%\nContract Level +10	デイリー任務の獲得EXP＋25%\n契約Lvl＋10	계약 매일 미션 EXP+25%\n10레벨업	EXP​ ภารกิจ​รายวัน​ของ​สัญญา​ +25%​ \n​ เล​เวล​เพิ่มขึ้น​ 10​ เล​เวล​	购买高级版合约后，升级豪华合约需花费：300虹晶\n购买后合约每日任务经验+25%	/	After buying Advanced Contract, upgrading it to the Deluxe one costs: 300 Irithyst\nDaily Mission EXP +25% after purchase.		购买高级版合约后，升级豪华合约需花费：300虹晶\n购买后合约每日任务经验+25%	หลัง​ซื้อ​สัญญา​ระดับสูง​ การ​จะ​อัปเกรด​เป็น​สัญญา​พรีเมียม​ต้อง​ใช้​:​ 300​ อิ​ริ​ธิสต์​\nหลัง​ซื้อ​แล้ว​ EXP​ ภารกิจ​รายวัน​ของ​สัญญา​ +25%​
