Id	overseaSwitch	twSwitch	krSwitch	jpSwitch	zmSwitch	cnSwitch	seaSwitch	status
int	int	int	int	int	int	int	int	int
105001	1	1	1	0	0	0	1	1
105002	1	1	1	0	0	0	1	1
105006	1	1	1	0	0	0	1	1
105008	1	1	1	0	0	0	1	1
107001	1	1	1	0	0	0	1	1
107005	1	1	1	0	0	0	1	1
107008	1	1	1	0	0	0	1	1
110008	1	1	1	0	0	0	1	1
116001	1	1	1	0	0	0	1	1
103006	1	1	1	0	0	0	0	1
129001	1	1	1	0	0	0	0	1
105004	1	1	1	0	0	0	0	1
7105001	1	1	1	0	0	0	1	1
7105002	1	1	1	0	0	0	1	1
7105006	1	1	1	0	0	0	1	1
7105008	1	1	1	0	0	0	1	1
7107001	1	1	1	0	0	0	1	1
7107005	1	1	1	0	0	0	1	1
7107008	1	1	1	0	0	0	1	1
7110008	1	1	1	0	0	0	1	1
7116001	1	1	1	0	0	0	1	1
7103006	1	1	1	0	0	0	0	1
7129001	1	1	1	0	0	0	0	1
7105004	1	1	1	0	0	0	0	1
