Id	desc	voice	ifXiaobai	status
int	int	int	int	int
1	广播：这里是新海城市广播，就在刚刚，新海气象局与生态环境局联合发布了B级预警。	story_00_01_01	0	1
2	广播：受临时改变路线的热带风暴影响，本市将面临突发性强降雨天气。	story_00_01_02	0	1
3	广播：请市民做好防护，尽量避免外出，以免造成不必要的损失……	story_00_01_03	0	1
4	我:天气预报明明还说今天会是晴天，这天真是阴晴不定……		0	1
5	我:还真说下就下啊……		0	1
6	我:约好的地方就在这附近，趁雨还没下大，跑过去吧。		0	1
7	我:看来……是这里。这种门禁系统倒是很久没见到过了。		0	1
8	我:原来上面发的ID卡是门禁卡啊……		0	1
9	我:……没人吗？		0	1
10	我:刚刚好像有什么东西闪了一下？		0	1
11	小白：识别生物特征，身份确认为调查官。启动贝克街的猫电源供能。	story_00_01_04	1	1
12	我:看上去还挺先进的嘛……嗯？那里好像有什么……		0	1
13	我:……刚刚的声音是你发出来的吗？		0	1
14	小白：欢迎入职，调查官，我是你的AI助理，编号9001——小白。	story_00_01_05	1	1
15	我:你好，我叫#playerName。AI？那你就是E-System管理下的人工智能么……		0	1
16	我:没想到居然会在这么一家普通的咖啡店里看到。		0	1
17	小白：这家“普通”的咖啡店以后也是调查官你工作的地方。	story_00_01_43	1	1
18	我:在咖啡店办公？这我倒是没想到。		0	1
19	我:那……我的工作任务都是你来安排吗？		0	1
20	小白：不必惊讶，调查官，今后将由我负责组内的日常工作，和一些基础的情报处理。	story_00_01_06	1	1
21	我:这是……		0	1
22	小白：这是给调查官的新手装备。	story_00_01_07	1	1
23	我:这个是猫球？		0	1
24	小白:这个是猫球，可以吸收情绪粒子，稳定调查官的情绪，也是配合小队作战的伙伴。	story_00_01_08	1	1
25	小白:平时可以随身携带，有需要时按下按键即可……		1	1
26	我:猫球么……		0	1
27	我:看上去挺可爱的嘛。		0	1
28	我:这个是通讯设备吧。		0	1
29	小白:这部手机是连接E-System的终端，完成认证后调查官即可获得职能权限。	story_00_01_09	1	1
30	小白:使用前，需要插入特制的SIM卡，里面已经录入了小组成员信息。		1	1
31	小白:另外还配置了便携充电装置和RGB情绪探测系统……		1	1
32	小白:一切准备就绪，期待你今后的表现，调查官。		1	1
100	*请佩戴耳机以获得完整的剧情体验*		0	1
