id	number	pic	bigPic	namePic	mapImage	BGM	movieQuest	movie	unlockNum	lastLevel	level	teamLevel	isHasSide	chapterRewardId	chapterRewardNum1	bigRewardId	bigRewardNum	headIconRewardId	status	diffName	diffName_zh_TW	diffName_en_UK	diffName_ja_JP	diffName_ko_KR	diffName_th_TH	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	title1	title1_zh_TW	title1_en_UK	title1_ja_JP	title1_ko_KR	title1_th_TH	title2	title2_zh_TW	title2_en_UK	title2_ja_JP	title2_ko_KR	title2_th_TH	des	des_zh_TW	des_en_UK	des_ja_JP	des_ko_KR	des_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
100	0	29:main_bg_0_s	35:main_bg_0		41:story_map_001				0	100030	1		0	4190001;3000003	500;10000	4190001	500		1	普通	普通	Normal	普通	일반	ทั่วไป	序章	序章	Prologue	Chapter 0	프롤로그	บทนำ	故事一	故事一	Story I	ストーリー1	STORY 1	เรื่องราวที่ 1	失乐园	失樂園	Lost Paradise	失楽園	실낙원	สวนไร้สนุก	反复出现的梦境，预演着未来整座城市毁灭的场景……	反復出現的夢境，預演著未來整座城市毀滅的場景……	Recurring dreams foretell the city's doom, offering a bone-chilling glimpse into a future devoid of hope...	繰り返される夢は、都市全体が破壊されることを予言している……	반복되는 꿈이 미래에 도시 전체가 파괴되는 모습을 보여주는데...	ความฝัน​ที่​เกิดขึ้น​ซ้ำแล้วซ้ำเล่า​ แสดงให้เห็น​ล่วงหน้า​ถึง​ฉาก​การทำลายล้าง​ของ​เมือง​ในอนาคต​...​
101	1	29:main_bg_1_s	35:main_bg_1		41:story_map_001				100030	101080	1		0	4190001;3000003;4101002	500;20000;5	4190001	500		1	普通	普通	Normal	普通	일반	ทั่วไป	迷失的孩子	迷失的孩子	The Lost Child	迷い子	길을 잃은 아이	เด็กที่หาย\nสาบสูญ	故事一	故事一	Story I	ストーリー1	STORY 1	เรื่องราวที่ 1	失乐园	失樂園	Lost Paradise	失楽園	실낙원	สวนไร้สนุก	准备工作顺利进行，只差一步就可以正式营业……	準備工作順利進行，只差一步就可以正式營業……	Preparations are going smoothly. You're just one step away from the grand opening.	準備は着々と進み、正式開業まであと一歩のところまで来ている。	준비 작업이 순조롭게 진행되어 정식 영업일이 코앞으로 다가오는데…	การ​เตรียมการ​ดำเนิน​ไป​อย่าง​ราบรื่น​ อีก​แค่​ก้าว​เดียว​ก็​สามารถ​เริ่มกิจการ​ได้​อย่าง​เป็นทางการ​ได้​แล้ว​...​
102	2	29:main_bg_2_s	35:main_bg_2		41:story_map_001				101080	101190	1		0	4190001;3000003;4101002	500;30000;5	4190001	500		1	普通	普通	Normal	普通	일반	ทั่วไป	无法逃避的命运	無法逃避的命運	Inescapable Fate	逃れられない運命	피할 수 없는 운명	ชะตาที่\nไม่อาจเลี่ยง	故事一	故事一	Story I	ストーリー1	STORY 1	เรื่องราวที่ 1	失乐园	失樂園	Lost Paradise	失楽園	실낙원	สวนไร้สนุก	梦中，你又一次看到了城市毁灭……	夢中，你又一次看到了城市毀滅……	In your dream, you once again witnessed the destruction of the city...	夢の中で、あなたは再び街の破壊を見る......。	꿈 속에서, 또다시 도시가 파괴되는 모습을 보게 되고......	ใน​ฝัน​ คุณ​ได้​เห็น​เมือง​ถูก​ทำลายล้าง​อีกครั้ง​...​
103	3	29:main_bg_3_s	35:main_bg_3		41:story_map_001				101190	102140	1		0	4190001;3000003;4101002	500;40000;5	4190001	500		1	普通	普通	Normal	普通	일반	ทั่วไป	正义的阴影	正義的陰影	Shadows of Justice	正義の影	기억의 깊은 곳	เงาของความ\nยุติธรรม	故事一	故事一	Story I	ストーリー1	STORY 1	เรื่องราวที่ 1	失乐园	失樂園	Lost Paradise	失楽園	실낙원	สวนไร้สนุก	受到刺激的患者情绪恶化，引发集体傀化危机……	受到刺激的患者情緒惡化，引發集體傀化危機……	The triggered patients, their conditions deteriorating, spark a mass Affliction...	苛立つ患者たちのムードは悪化し、集団操り人形化の危機が引き起こされる......。	자극을 받은 환자들의 이모션이 악화되어 집단 퍼펫화 위기가 발생하는데......	ผู้ป่วย​ที่​ถูก​กระตุ้น​ พา​โธส​จะ​เกิด​การ​เสื่อมถอย​ ส่งผลให้เกิด​วิกฤติ​สภาวะ​หุ่นเชิด​...​
104	4	29:main_bg_4_s	35:main_bg_4		41:story_map_001				102140	102270	1		0	4190001;3000003;4102021	500;50000;5	4190001	500		1	普通	普通	Normal	普通	일반	ทั่วไป	被遗忘的过去	被遺忘的過去	Forgotten Past	忘れられた過去	잊혀진 과거	อดีตที่ถูกลืม	故事一	故事一	Story I	ストーリー1	STORY 1	เรื่องราวที่ 1	失乐园	失樂園	Lost Paradise	失楽園	실낙원	สวนไร้สนุก	虽然她并不能直接告诉你一切，但你知道她绝对可信……	雖然她並不能直接告訴你一切，但你知道她絕對可信……	Though she can't reveal everything, her trustworthiness is absolute...	彼女は直接すべてを話すことはできないが、あなたは彼女が絶対的に信頼できることを知っている......。	그녀가 당신에게 모든 것을 직접 말할 수는 없지만, 당신은 그녀를 절대적으로 믿을 수 있다고 확신하는데......	แม้ว่า​เธอ​จะ​ไม่​สามารถ​บอก​ทุกสิ่ง​กับ​คุณ​ได้​โดยตรง​ แต่​คุณ​ก็​รู้​ว่า​เธอ​นั้น​เชื่อถือได้​อย่าง​แน่​นอ​น.​..​
105	5	29:main_bg_5_s	35:main_bg_5		41:story_map_001				102270	103100	1		0	4190001;3000003;4102021	600;60000;5	4190001	600		1	普通	普通	Normal	普通	일반	ทั่วไป	避难所	避難所	The Sanctuary	避難所	피난소	ที่หลบภัย	故事一	故事一	Story I	ストーリー1	STORY 1	เรื่องราวที่ 1	失乐园	失樂園	Lost Paradise	失楽園	실낙원	สวนไร้สนุก	小队众人和依依约定陪伴她共同成长……	小隊眾人和依依約定陪伴她共同成長……	The team members have made a promise to Elle that they will be there for her as she grows...	チームとイーイは、彼女が共に成長するために同行することに同意した。	팀원들은 엘리를 데리고 함께 성장해 나가기를 약속한다......	ทุก​คนใน​ทีม​ได้​สัญญา​กับ​เอ​ล​ลี่​ว่า​จะ​อยู่​เคียงข้าง​และ​เติบโต​ไป​ด้วยกัน​...​
106	6	29:main_bg_19_s	35:main_bg_19		41:story_map_001				103100	103260	1		0	4190001;3000003;4102021	600;70000;5	4190001	600		1	普通	普通	Normal	普通	일반	ทั่วไป	兔子先生的告别	兔子先生的告別	Mr. Rabbit's Farewell	さようなら、うさぎさん	미스터래빗의 작별인사	คำอำลาของ\nคุณกระต่าย	故事一	故事一	Story I	ストーリー1	STORY 1	เรื่องราวที่ 1	失乐园	失樂園	Lost Paradise	失楽園	실낙원	สวนไร้สนุก	兔子先生表现得十分奇怪，并不像是真凶……	兔子先生表現得十分奇怪，並不像是真凶……	Mr. Rabbit's behavior is peculiar; it doesn't match that of the real culprit at all...	うさぎさんの行動は変だ。真犯人とは思えない……	미스터래빗이 정말 이상하다. 사나워진 것 같진 않지만...	คุณ​กระต่าย​มี​ท่าที​แปลก​มาก​ ไม่​เหมือน​ฆาตกร​ตัวจริง​เลย​...​
107	7	29:main_bg_6_s	35:main_bg_6		41:story_map_001				103260	104180	1		0	4190001;3000003;6210002	600;80000;1	4190001	600	6210002	1	普通	普通	Normal	普通	일반	ทั่วไป	未完成的约定	未完成的約定	Unfulfilled Promise	未完成の約束	지키지 못한 약속	สัญญาที่\nไม่สำเร็จ	故事一	故事一	Story I	ストーリー1	STORY 1	เรื่องราวที่ 1	失乐园	失樂園	Lost Paradise	失楽園	실낙원	สวนไร้สนุก	接连发生超出心理预期的事情，让你感到十分无力……	接連發生超出心理預期的事情，讓你感到十分無力……	A series of unexpected events has left you feeling powerless.	精神的な期待を超えることの連続に、自分の無力さを痛感する......。	예상을 뛰어넘는 일들이 연이어 일어나 무력감을 느끼는데......	เกิดเรื่อง​ที่​เกิน​ความคาดหมาย​ขึ้น​อย่าง​ต่อเนื่อง​ ทำให้​คุณ​รู้สึก​หมดแรง​...​
108	8	29:main_bg_7_s	35:main_bg_7		41:story_map_001				104180	105140	1		0	4190001;3000003;4102901	600;90000;1	4190001	600		1	普通	普通	Normal	普通	일반	ทั่วไป	摇摆不定的心	搖擺不定的心	A Mind Adrift	揺らぐ心	흔들리는 마음	ใจที่สั่นคลอน	故事二	故事二	Story II	ストーリー2	STORY 2	เรื่องราวที่ 2	双城记	雙城記	Tale of Two Cities	二都物語	두 도시 이야기	บันทึกของ\nสองเมือง	你看到了曾经忽略的、属于平凡的幸福与美好……	你看到了曾經忽略的、屬於平凡的幸福與美好……	You have witnessed the simple happiness and beauty that you once overlooked...	見過ごしていた日常の幸せと美しさを知る。	당신은 평소 느끼지 못한, 평범한 행복과 아름다움을 보았지만......	คุณ​เห็น​แล้ว​ว่า​ความละเลย​ที่​เคย​เกิดขึ้น​ ถือเป็น​ความสุข​และ​ความสวยงาม​ที่​เรียบง่าย​
