index	id	desc	wave	wave1NpcId	wave1Level	wave1NpcType	classId	classUpDate	intiSp	maxSp	ai	skinId	attribute	hpCount	equipId	summonPool	summonLevel	enemyNum	summonPoolSpecial	summonLevelSpecial	halo	behavior	SceneList	wavefront	waveafter	waveInitAction	waveLoopAction	script	scriptState	MonsterDialogue	PlayerDialogue	victory	defeat	tips	bubble	status
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
11511011_1	11511011	【魔窟】1副本红色怪物1难度1	1	31005025;31009025;31005025	457;508;457	1;2;1		3,2.25	1;1;1				1;1;1					3			8010120	1										0	-1		11511011	1
11511012_1	11511012	【魔窟】1副本红色怪物1难度2	1	31005025;31009025;31005025	807;897;807	1;2;1		3,3	3;2;3				1;1;1					3			8010120	1										0	-1		11511011	1
11511013_1	11511013	【魔窟】1副本红色怪物1难度3	1	31005025;31009025;31005025	1043;1159;1043	1;2;1		3,3.75	4;3;4				1;1;1					3			8010120	1										0	-1		11511011	1
11511021_1	11511021	【魔窟】1副本红色怪物2难度1	1	31025025	490	2		3,2.25;1,0.65	1				1					3			8010120	1										0	-1		11511021	1
11511022_1	11511022	【魔窟】1副本红色怪物2难度2	1	31025025	862	2		3,3;1,0.65	2				1					3			8010120	1										0	-1		11511021	1
11511023_1	11511023	【魔窟】1副本红色怪物2难度3	1	31025025	1113	2		3,3.75;1,0.65	4				1					3			8010120	1										0	-1		11511021	1
11511031_1	11511031	【魔窟】1副本红色怪物3难度1	1	34020025	490	2		3,2.25;1,0.75	1				1					3			8010120	1										0	-1		11511031	1
11511032_1	11511032	【魔窟】1副本红色怪物3难度2	1	34020025	862	2		3,3;1,0.75	2				1					3			8010120	1										0	-1		11511031	1
11511033_1	11511033	【魔窟】1副本红色怪物3难度3	1	34020025	1113	2		3,3.75;1,0.75	4				1					3			8010120	1										0	-1		11511031	1
11512011_1	11512011	【魔窟】1副本蓝色怪物1难度1	1	38002520	490	2		3,2.25;1,0.75					3					3			8010120	1										0	-1		11513011	1
11512012_1	11512012	【魔窟】1副本蓝色怪物1难度2	1	38002520	862	2		3,3;1,0.75					3					3			8010120	1										0	-1		11513011	1
11512013_1	11512013	【魔窟】1副本蓝色怪物1难度3	1	38002520	1113	2		3,3.75;1,0.75					3					3			8010120	1										0	-1		11513011	1
11512021_1	11512021	【魔窟】1副本蓝色怪物2难度1	1	34041025	490	2		3,2.25;1,0.75					3					3			8010120	1										0	-1		11513021	1
11512022_1	11512022	【魔窟】1副本蓝色怪物2难度2	1	34041025	862	2		3,3;1,0.75					3					3			8010120	1										0	-1		11513021	1
11512023_1	11512023	【魔窟】1副本蓝色怪物2难度3	1	34041025	1113	2		3,3.75;1,0.75					3					3			8010120	1										0	-1		11513021	1
11512031_1	11512031	【魔窟】1副本蓝色怪物3难度1	1	34003020	490	2		3,2.25;1,0.75					3					3			8010121	1										0	-1		11513031	1
11512032_1	11512032	【魔窟】1副本蓝色怪物3难度2	1	34003020	862	2		3,3;1,0.75					3					3			8010121	1										0	-1		11513031	1
11512033_1	11512033	【魔窟】1副本蓝色怪物3难度3	1	34003020	1113	2		3,3.75;1,0.75					3					3			8010121	1										0	-1		11513031	1
11513011_1	11513011	【魔窟】1副本绿色怪物1难度1	1	34043025	490	2		3,2.25;1,0.75					2					3			8010120	1										0	-1		11512011	1
11513012_1	11513012	【魔窟】1副本绿色怪物1难度2	1	34043025	862	2		3,3;1,0.75					2					3			8010120	1										0	-1		11512011	1
11513013_1	11513013	【魔窟】1副本绿色怪物1难度3	1	34043025	1113	2		3,3.75;1,0.75					2					3			8010120	1										0	-1		11512011	1
11513021_1	11513021	【魔窟】1副本绿色怪物2难度1	1	34005025	490	2		3,2.25;1,0.75					2					3			8010120	1										0	-1		11512021	1
11513022_1	11513022	【魔窟】1副本绿色怪物2难度2	1	34005025	862	2		3,3;1,0.75					2					3			8010120	1										0	-1		11512021	1
11513023_1	11513023	【魔窟】1副本绿色怪物2难度3	1	34005025	1113	2		3,3.75;1,0.75					2					3			8010120	1										0	-1		11512021	1
11513031_1	11513031	【魔窟】1副本绿色怪物3难度1	1	34025025;34026025	337;337	2;2		3,2.25;1,0.75					2;2					2			8010120	1										0	-1		11512031	1
11513032_1	11513032	【魔窟】1副本绿色怪物3难度2	1	34025025;34026025	597;597	2;2		3,3;1,0.75					2;2					2			8010120	1										0	-1		11512031	1
11513033_1	11513033	【魔窟】1副本绿色怪物3难度3	1	34025025;34026025	773;773	2;2		3,3.75;1,0.75					2;2					2			8010120	1										0	-1		11512031	1
4005101_1	4005101	竹林活动挑战本1-1	1	31002101;31003101;31004101	586;586;586	1;1;1		1,1;2,1;3,2	0;0;0				1;1;1					3														0	-1			1
4005102_1	4005102	竹林活动挑战本1-2	1	31002101;31003101;31004101	705;705;705	1;1;1		1,1;2,1;3,2.21	0;0;0				1;1;1					3														0	-1			1
4005103_1	4005103	竹林活动挑战本1-3	1	31002101;31003101;31004101	825;825;825	1;1;1		1,0.8;2,1;3,2.44	1;1;1				1;1;1					3														0	-1			1
4005104_1	4005104	竹林活动挑战本1-4	1	31002101;31003101;31004101	944;944;944	1;1;1		1,0.7;2,1;3,2.69	2;2;2				1;1;1					3														0	-1			1
4005105_1	4005105	竹林活动挑战本1-5	1	31002101;31003101;31004101	1063;1063;1063	1;1;1		1,0.65;2,1;3,2.97	3;3;3				1;1;1					3														0	-1			1
4005201_1	4005201	竹林活动挑战本2-1	1	31016101;31005101;34021101;31015101;31011101	555;555;555;555;555	1;1;2;1;1		1,1;2,1;3,3.28	0;0;0;0;0				2;2;2;2;2			31015101	386	5														0	-1			1
4005202_1	4005202	竹林活动挑战本2-2	1	31016101;31005101;34021101;31015101;31011101	612;612;612;612;612	1;1;2;1;1		1,1;2,1;3,3.62	1;1;1;1;1				2;2;2;2;2			31015101	499	5														0	-1			1
4005203_1	4005203	竹林活动挑战本2-3	1	31016101;31005101;34021101;31015101;31011101	668;668;668;668;668	1;1;2;1;1		1,1;2,1;3,4	2;2;2;2;2				2;2;2;2;2			31015101	612	5														0	-1			1
