id	type	diff	enterIcon	regionLevel	Exp	cardExp	unlockNum	proposalLevel	powerMin	powerTeamMin	frequency	costItem	costNum	costNumLose	SceneId	monsterShow	repeatButton	location	rounds	battleRules	status
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
21101	1	101	129:rapidrescue_goods_1	1	20	0	0	29000	2900	22330		411001	20	0	10701	33010001;31000037;31000038	1	0;0	20	1	1
21102	1	102	129:rapidrescue_goods_2	2	22	0	101	34000	3400	26180		411001	22	0	10701	33010001;31000037;31000038	1	0;0	20	1	1
21103	1	103	129:rapidrescue_goods_2	3	24	0	102	41000	4100	31570		411001	24	0	10701	33010001;31000037;31000038	1	0;0	20	1	1
21104	1	104	129:rapidrescue_goods_3	4	26	0	103	52000	5200	40040		411001	26	0	10701	33010001;31000037;31000038	1	0;0	20	1	1
21105	1	105	129:rapidrescue_goods_3	5	28	0	104	66000	6600	50820		411001	28	0	10701	33010001;31000037;31000038	1	0;0	20	1	1
21106	1	106	129:rapidrescue_goods_3	6	30	0	105	84000	8400	64680		411001	30	0	10701	33010001;31000037;31000038	1	0;0	20	1	1
21107	1	107	129:rapidrescue_goods_3	7	35	0	106	108000	10800	83160		411001	35	0	10701	33010001;31000037;31000038	1	0;0	20	1	1
21108	1	108	129:rapidrescue_goods_4	8	40	0	107	138000	13800	106260		411001	40	0	10701	33010001;31000037;31000038	1	0;0	20	1	1
21109	1	109	129:rapidrescue_goods_4	9	45	0	108	178000	17800	137060		411001	45	0	10701	33010001;31000037;31000038	1	0;0	20	1	1
21110	1	110	129:rapidrescue_goods_4	10	50	0	109	229000	22900	176330		411001	50	0	10701	33010001;31000037;31000038	1	0;0	20	1	1
21111	1	111	129:rapidrescue_goods_4	11	100	0	110	245000	24500	188650		411001	100	0	10701	33010001;31000037;31000038	1	0;0	20	1	1
21201	2	201	129:rapidrescue_goods_1	1	20	0	0	29000	2900	22330		411001	20	0	20401	33020001	1	0;0	20	1	1
21202	2	202	129:rapidrescue_goods_2	2	22	0	201	34000	3400	26180		411001	22	0	20401	33020001	1	0;0	20	1	1
21203	2	203	129:rapidrescue_goods_2	3	24	0	202	41000	4100	31570		411001	24	0	20401	33020001	1	0;0	20	1	1
21204	2	204	129:rapidrescue_goods_3	4	26	0	203	52000	5200	40040		411001	26	0	20401	33020001	1	0;0	20	1	1
21205	2	205	129:rapidrescue_goods_3	5	28	0	204	66000	6600	50820		411001	28	0	20401	33020001	1	0;0	20	1	1
21206	2	206	129:rapidrescue_goods_3	6	30	0	205	84000	8400	64680		411001	30	0	20401	33020001	1	0;0	20	1	1
21207	2	207	129:rapidrescue_goods_3	7	35	0	206	108000	10800	83160		411001	35	0	20401	33020001	1	0;0	20	1	1
21208	2	208	129:rapidrescue_goods_4	8	40	0	207	138000	13800	106260		411001	40	0	20401	33020001	1	0;0	20	1	1
21209	2	209	129:rapidrescue_goods_4	9	45	0	208	178000	17800	137060		411001	45	0	20401	33020001	1	0;0	20	1	1
21210	2	210	129:rapidrescue_goods_4	10	50	0	209	229000	22900	176330		411001	50	0	20401	33020001	1	0;0	20	1	1
21211	2	211	129:rapidrescue_goods_4	11	100	0	210	245000	24500	188650		411001	100	0	20401	33020001	1	0;0	20	1	1
21301	3	301	129:rapidrescue_goods_1	1	20	0	0	29000	2900	22330		411001	20	0	10701	33030001	1	0;0	20	1	1
21302	3	302	129:rapidrescue_goods_2	2	22	0	301	34000	3400	26180		411001	22	0	10701	33030001	1	0;0	20	1	1
21303	3	303	129:rapidrescue_goods_2	3	24	0	302	41000	4100	31570		411001	24	0	10701	33030001	1	0;0	20	1	1
21304	3	304	129:rapidrescue_goods_3	4	26	0	303	52000	5200	40040		411001	26	0	10701	33030001	1	0;0	20	1	1
21305	3	305	129:rapidrescue_goods_3	5	28	0	304	66000	6600	50820		411001	28	0	10701	33030001	1	0;0	20	1	1
