id	label	monsterType	exp	cardExp	battleRules	proposalLevel	costItem	costNum	costNumLose	SceneId	rounds	roleNum	powerRatioTeamID	unlockNum	bgPath	super	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
4101	1	1	15	300	10	60000	3000004	14	1	50301	99	3	12	0	134:action_map3_bg_boss_2	1	1	协力战	協力戰	Invasion	協同作戦	협력전	ผนึกกำลัง
4102	2	1	20	400	10	120000	3000004	19	1	50301	99	3	12	4101	134:action_map3_bg_boss_2	1	1	协力战	協力戰	Invasion	協同作戦	협력전	ผนึกกำลัง
4103	3	1	25	500	10	200000	3000004	24	1	50301	99	3	12	4102	134:action_map3_bg_boss_2	1	1	协力战	協力戰	Invasion	協同作戦	협력전	ผนึกกำลัง
4104	4	1	30	600	10	280000	3000004	29	1	50301	99	3	12	4103	134:action_map3_bg_boss_2	1	1	协力战	協力戰	Invasion	協同作戦	협력전	ผนึกกำลัง
4201	1	2	15	300	10	150000	3000004	14	1	50501	99	3	12	0	134:action_map3_bg_boss_3	1	1	协力战	協力戰	Invasion	協同作戦	협력전	ผนึกกำลัง
4202	2	2	20	400	10	220000	3000004	19	1	50501	99	3	12	4201	134:action_map3_bg_boss_3	1	1	协力战	協力戰	Invasion	協同作戦	협력전	ผนึกกำลัง
4203	3	2	25	500	10	280000	3000004	24	1	50501	99	3	12	4202	134:action_map3_bg_boss_3	1	1	协力战	協力戰	Invasion	協同作戦	협력전	ผนึกกำลัง
4204	4	2	30	600	10	330000	3000004	29	1	50501	99	3	12	4203	134:action_map3_bg_boss_3	1	1	协力战	協力戰	Invasion	協同作戦	협력전	ผนึกกำลัง
4301	1	3	15	300	10	250000	3000004	14	1	53201	99	3	12	0	134:action_map3_bg_boss_1	1	1	协力战	協力戰	Invasion	協同作戦	협력전	ผนึกกำลัง
4302	2	3	20	400	10	310000	3000004	19	1	53201	99	3	12	4301	134:action_map3_bg_boss_1	1	1	协力战	協力戰	Invasion	協同作戦	협력전	ผนึกกำลัง
4303	3	3	25	500	10	370000	3000004	24	1	53201	99	3	12	4302	134:action_map3_bg_boss_1	1	1	协力战	協力戰	Invasion	協同作戦	협력전	ผนึกกำลัง
4304	4	3	30	600	10	430000	3000004	29	1	53201	99	3	12	4303	134:action_map3_bg_boss_1	1	1	协力战	協力戰	Invasion	協同作戦	협력전	ผนึกกำลัง
