id	group	unlockType1	parameter	unlockType2	status	describe	describe_zh_TW	describe_en_UK	describe_ja_JP	describe_ko_KR	describe_th_TH
int	int	int	int	int	int	int	int	int	int	int	int
101	101	3			1	开启昆士区外卖订单	開啟昆士區外賣訂單	Unlocks delivery in Quince	コンシ区出前解放	퀸즈 타운 배달 주문 개시	เปิดรับ​ออเดอร์​เขต​ควินซ์​
102	102	3			1	昆士区每日可配送外卖上限+1	昆士區每日可配送外賣上限+1	Daily delivery limit in Quince +1	コンシ区毎日出前上限＋1	퀸즈 타운 매일 배달 가능 상한 +1	ขีดจำกัด​การ​ส่ง​อาหาร​ราย​วันที่​เขต​ควินซ์​ +1​
103	103	3			1	昆士区每日可配送外卖上限+1	昆士區每日可配送外賣上限+1	Daily delivery limit in Quince +1	コンシ区毎日出前上限＋1	퀸즈 타운 매일 배달 가능 상한 +1	ขีดจำกัด​การ​ส่ง​อาหาร​ราย​วันที่​เขต​ควินซ์​ +1​
104	104	3		1	1	昆士区每日可配送外卖上限+1	昆士區每日可配送外賣上限+1	Daily delivery limit in Quince +1	コンシ区毎日出前上限＋1	퀸즈 타운 매일 배달 가능 상한 +1	ขีดจำกัด​การ​ส่ง​อาหาร​ราย​วันที่​เขต​ควินซ์​ +1​
105	105	3			1	昆士区每日可配送外卖上限+1	昆士區每日可配送外賣上限+1	Daily delivery limit in Quince +1	コンシ区毎日出前上限＋1	퀸즈 타운 매일 배달 가능 상한 +1	ขีดจำกัด​การ​ส่ง​อาหาร​ราย​วันที่​เขต​ควินซ์​ +1​
106	106	3			1	昆士区每日可配送外卖上限+1	昆士區每日可配送外賣上限+1	Daily delivery limit in Quince +1	コンシ区毎日出前上限＋1	퀸즈 타운 매일 배달 가능 상한 +1	ขีดจำกัด​การ​ส่ง​อาหาร​ราย​วันที่​เขต​ควินซ์​ +1​
107	201	3			1	开启南港区外卖订单	開啟南港區外賣訂單	Unlocks delivery in Southport	南港区出前解放	사우스포트 배달 주문 개시	เปิดรับ​ออเดอร์​เขต​ทะเล​ใต้​
108	202	3			1	南港区每日可配送外卖上限+1	南港區每日可配送外賣上限+1	Daily delivery limit in Southport +1	南港区毎日出前上限＋1	사우스포트 매일 배달 가능 상한 +1	ขีดจำกัด​การ​ส่ง​อาหาร​ราย​วันที่​เขต​ทะเล​ใต้​ +1​
109	203	3			1	南港区每日可配送外卖上限+1	南港區每日可配送外賣上限+1	Daily delivery limit in Southport +1	南港区毎日出前上限＋1	사우스포트 매일 배달 가능 상한 +1	ขีดจำกัด​การ​ส่ง​อาหาร​ราย​วันที่​เขต​ทะเล​ใต้​ +1​
110	204	3		1	1	南港区每日可配送外卖上限+1	南港區每日可配送外賣上限+1	Daily delivery limit in Southport +1	南港区毎日出前上限＋1	사우스포트 매일 배달 가능 상한 +1	ขีดจำกัด​การ​ส่ง​อาหาร​ราย​วันที่​เขต​ทะเล​ใต้​ +1​
111	205	3			1	南港区每日可配送外卖上限+1	南港區每日可配送外賣上限+1	Daily delivery limit in Southport +1	南港区毎日出前上限＋1	사우스포트 매일 배달 가능 상한 +1	ขีดจำกัด​การ​ส่ง​อาหาร​ราย​วันที่​เขต​ทะเล​ใต้​ +1​
112	206	3			1	南港区每日可配送外卖上限+1	南港區每日可配送外賣上限+1	Daily delivery limit in Southport +1	南港区毎日出前上限＋1	사우스포트 매일 배달 가능 상한 +1	ขีดจำกัด​การ​ส่ง​อาหาร​ราย​วันที่​เขต​ทะเล​ใต้​ +1​
113	301	3			1	开启耀州区外卖订单	開啟耀州區外賣訂單	Unlocks delivery in Yaozhou	耀州区出前解放	요주 타운 배달 주문 개시	เปิดรับ​ออเดอร์​เขต​เหยา​โจว​
114	302	3			1	耀州区每日可配送外卖上限+1	耀州區每日可配送外賣上限+1	Daily delivery limit in Yaozhou +1	耀州区毎日出前上限＋1	요주 타운 매일 배달 가능 상한 +1	ขีดจำกัด​การ​ส่ง​อาหาร​ราย​วันที่​เขต​เหยา​โจว​ +1​
115	303	3			1	耀州区每日可配送外卖上限+1	耀州區每日可配送外賣上限+1	Daily delivery limit in Yaozhou +1	耀州区毎日出前上限＋1	요주 타운 매일 배달 가능 상한 +1	ขีดจำกัด​การ​ส่ง​อาหาร​ราย​วันที่​เขต​เหยา​โจว​ +1​
116	304	3		1	1	耀州区每日可配送外卖上限+1	耀州區每日可配送外賣上限+1	Daily delivery limit in Yaozhou +1	耀州区毎日出前上限＋1	요주 타운 매일 배달 가능 상한 +1	ขีดจำกัด​การ​ส่ง​อาหาร​ราย​วันที่​เขต​เหยา​โจว​ +1​
117	305	3			1	耀州区每日可配送外卖上限+1	耀州區每日可配送外賣上限+1	Daily delivery limit in Yaozhou +1	耀州区毎日出前上限＋1	요주 타운 매일 배달 가능 상한 +1	ขีดจำกัด​การ​ส่ง​อาหาร​ราย​วันที่​เขต​เหยา​โจว​ +1​
118	306	3			1	耀州区每日可配送外卖上限+1	耀州區每日可配送外賣上限+1	Daily delivery limit in Yaozhou +1	耀州区毎日出前上限＋1	요주 타운 매일 배달 가능 상한 +1	ขีดจำกัด​การ​ส่ง​อาหาร​ราย​วันที่​เขต​เหยา​โจว​ +1​
