id	regionBelong	camera	type	content	reward	rewardCoordinate	mainEquipType	showIcon1	showIcon2	showBG	unlockType	unlockId	unlockNum	specialUnlock	changeNum	status	label	label_zh_TW	label_en_UK	label_ja_JP	label_ko_KR	label_th_TH	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
103	1	0.3;0.24	13	2015001;2015002;2015003;2015004;2015005;2015006	4102011;4102021;4102031	-75;366;0					25	0	102261			1	五城广场	五城廣場	Quintupolis Plaza	五城広場	펜타폴리스	จัตุรัสควินซ์	【粒子副本】五城广场	【粒子副本】五城廣場	[Particle Stage] Quintupolis Plaza	【粒子ステージ】五城広場	[파티클 던전] 펜타폴리스	[​ดัน​เจี้ยน​อนุภาค​]​ จัตุรัส​ควินซ์​	该区域可获得[情绪粒子]	該區域可獲得[情緒粒子]	You can get [Pathos Particles] in this district.	このエリアで【エモーション粒子】を獲得できる	해당 지역에서 [이모션 파티클] 획득 가능	เขต​พื้นที่​ดังกล่าว​สามารถ​ได้รับ​ [​อนุภาค​พา​โธส​]​
104	1	0.3;0.2	14	2010101;2010102;2010103;2010104;2010105;2010106	4101001;4101002	-20;256;0	101	6:goods_icon_4104021.png	7:goods_icon_4010136.png	134:action_collection_boss_img1.png	25	0	101120	101190	11002	1	区域1普通战斗点位1	區域1普通戰鬥點位1	District 1 Normal Battle Point 1	エリア1普通戦闘ポイント1	지역 1 일반 전투 지점 1	เขต​ที่​ 1​ จุด​ต่อสู้​ทั่วไป​ 1​	【经验副本】柴郡猫游乐园	【經驗副本】柴郡貓遊樂園	[EXP Stage] Cheshire Cat Park	【EXPステージ】チェシャ猫ランド	[EXP 던전] 체셔 캣 랜드	[​ดัน​เจี้ยน​ EXP]​ สวนสนุก​เชสเชียร์​	该区域可获得[武装经验]	該區域可獲得[武裝經驗]	You can get [Combatant EXP] in this district.	このエリアで【戦闘員EXP】を獲得できる	해당 지역에서 [전투원 EXP] 획득 가능	เขต​พื้นที่​ดังกล่าว​สามารถ​ได้รับ​ [EXP​ ตัวละคร​]​
107	1	0.34;-0.49	6	2010401;2010402;2010403	4102031;4102021;4102011	-20;256;0	101	6:goods_icon_4104031.png	7:goods_icon_4010132.png	134:action_collection_boss_img1.png	25	0	102020			1	区域1普通战斗点位4	區域1普通戰鬥點位4	District 1 Normal Battle Point 4	エリア1普通戦闘ポイント4	지역 1 일반 전투 지점 4	เขต​ที่​ 1​ จุด​ต่อสู้​ทั่วไป​ 4​	【芯片副本】无回者联盟	【晶片副本】無回者聯盟	[Chip Stage] League of Outcasts	【チップステージ】不帰の城	[칩 던전] 네버백 연맹	[​ดัน​เจี้ยน​ชิป​]​ สหพันธ์​ไม่​หวนคืน​						
108	1	0.34;-0.49	3	2010501;2010502;2010503;2010504;2010505;2010506;2010507;2010508;2010509	5600092;5600014;5600008;5600049;5600093;5600029;5600040;5600050;5600016	-20;306;0					25	0	101110			1	区域1普通战斗点位5	區域1普通戰鬥點位5	District 1 Normal Battle Point 5	エリア1普通戦闘ポイント5	지역 1 일반 전투 지점 5	เขต​ที่​ 1​ จุด​ต่อสู้​ทั่วไป​ 5​	【食材】贝克街	【食材】貝克街	[Ingredient] Baker Street	【食材】ベイカーストリート	[식재료] 베이커 가	[​วัตถุดิบ​อาหาร​]​ ถนน​เบเกอร์​						
110	1	0.34;0.24	5	1	0	-20;202;0					25	0	102100			1	区域1渔场点位	區域1漁場點位	District 1 Fishery Point	エリア1漁場ポイント	지역 1 낚시터 지점	เขตที่ 1 จุดบ่อตกปลา	【钓鱼】玛瑙湾	【釣魚】瑪瑙灣	[Fishing] Cowrie Cove	【釣り】メノウベイ	[낚시] 카넬리언 베이	[ตกปลา] อ่าวอาเกต						
117	1		11								25	0	102100			1	区域任务	區域任務	District Mission	エリア6漁場ポイント	지역 미션	ภารกิจเขต	调查昆士区	調查昆士區	Investigate	地域調査	퀸즈 타운 조사	ตรวจสอบเขตควินซ์						
203	2	-0.4;0.2	2	2015101;2015102;2015103;2015104;2015105;2015106	5011043;5011044;5011045	-75;366;0					25	0	103001			1	废弃工厂	廢棄工廠	Derelict Factory	廃工場	폐공장 지대	โรงงานร้าง	【装备】废弃工厂	【裝備】廢棄工廠	[Equipment] Derelict Factory	【装備】廃工場	[장비] 폐공장 지대	[อุปกรณ์] โรงงานร้าง	该区域可获得[攻击套]	該區域可獲得[攻擊套]	You can get [Offense Set] in this district.	このエリアで【攻撃装飾】を獲得できる	해당 지역에서 [공격 세트] 획득 가능	เขต​พื้นที่​ดังกล่าว​สามารถ​ได้รับ​ [​เช็ต​โจมตี​]​
204	2	-0.3;0.3	3	2020101;2020102;2020103;2020104;2020105;2020106;2020107;2020108;2020109	5600002;5600019;5600050;5600094;5600030;5600031;5600095;5600088;5600096	-20;256;0					25	0	102161			1	区域2普通战斗点位1	區域2普通戰鬥點位1	District 2 Normal Battle Point 1	エリア2普通戦闘ポイント1	지역 2 일반 전투 지점 1	เขต​ที่​ 2​ จุด​ต่อสู้​ทั่วไป​ 1​	【食材】花园街	【食材】花園街	[Ingredient] Garden Street	【食材】ガーデンストリート	[식재료] 가든 스트리트	[​วัตถุดิบ​]​ ถนน​สวนดอกไม้​						
206	2	-0.22;0.22	4	2020301;2020302;2020303	4102901	-20;256;0	102	6:goods_icon_4104022.png	7:goods_icon_4010234.png	134:action_collection_boss_img2.png	25	0	104110			1	区域2普通战斗点位3	區域2普通戰鬥點位3	District 2 Normal Battle Point 3	エリア2普通戦闘ポイント4	지역 2 일반 전투 지점 3	เขต​ที่​ 2​ จุด​ต่อสู้​ทั่วไป​ 3​	【协力】南方远洋港	【協力】南方遠洋港	[Invasion] Southern Harbor	【協同】南洋港	[협력] 사우스 오션 포트	[​ผนึก​กำลัง​]​ ท่าเรือ​ทะเล​ใต้​						
