id	regionBelong	areaLv	taskGroup	before	startType	taskContentType	taskContentId	taskContenNum	rewardId	rewardNum	openType	openParameter	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
101010	1	1	10101	0	2	1110	2010501	3	5600092;3000003	6;15000	228	2010501	1	通关3次「贝克街·饮品1」	通關3次「貝克街·飲品1」	Clear "Baker Street - Drinks I" 3 times.	「ベイカーストリート・ドリンク1」を3回クリアする	「베이커 가 음료 1」 3회 클리어	ผ่านด่าน [ถนนเบเกอร์-เครื่องดื่ม 1] 3 ครั้ง
101011	1	1	10101	101010	1	1412	5710001	2	4198001;3000003	25;50000	511	5510001	1	将「快乐水」升至评级C	將「快樂水」升至評級C	Raise the "Happy Soda" rating to C.	「コーラ」がランクCに達する	「해피워터」를 C급까지 업그레이드	อัป [แฮปปี้โซดา] ถึงระดับ C
101020	1	1	10102	0	1	1404	1	1	4104041;3000016	10;100	517	1	1	累计派送1单昆士区外卖	累計派送1單昆士區外賣	Complete 1 delivery order in Quince.	コンシ区出前を1回完了する	퀸즈 타운으로 누적 1회 배달	ส่งอาหารในเขตควินซ์ 1 ออเดอร์
101030	1	1	10103	0	2	1110	2015001	1	4102011;3000003	1;50000	223	2015001	1	通关1次「五城广场1」	通關1次「五城廣場1」	Clear "Quintupolis Plaza I" 1 time.	「五城広場1」を1回クリアする	「펜타폴리스 1」1회 클리어	ผ่านด่าน [จัตุรัสควินซ์ 1] 1 ครั้ง
101040	1	1	10104	0	2	6	8000321	10	4199001;3000003	1;25000	230	8000321	1	获得10条「鲈鱼」	獲得10條「鱸魚」	Obtain 10 "Sea Bass".	「スズキ」を10匹獲得する	「농어」 10마리 획득	ได้รับ [ปลากะพง] 10 ตัว
101041	1	1	10104	101040	1	1412	5730026	2	4198001;3000003	25;50000	513	5530026	1	将「清蒸鲈鱼」升至评级C	將「清蒸鱸魚」升至評級C	Raise the "Steamed Bass" rating to C.	「スズキの蒸し物」がランクCに達する	「농어찜」을 C급까지 업그레이드	อัป [ปลากะพงนึ่ง] ถึงระดับ C
101050	1	1	10105	0	2	1110	2010101	1	4101001;3000003	10;15000	224	2010101	1	通关1次「经验副本1」	通關1次「經驗副本1」	Clear the "EXP Stage I" 1 time.	「EXPステージ1」を1回クリアする	「EXP 던전 1」 1회 클리어	ผ่านด่าน [ดันเจี้ยน EXP 1] 1 ครั้ง
101060	1	1	10106	0	2	204	30301	1	4102101;3000003	10;15000	283	30301	1	通关1次「红色芯片副本1」	通關1次「紅色晶片副本1」	Clear the "Red Chip Stage I" 1 time.	「チップ・赤ステージ1」を1回クリアする	「레드 칩 던전 1」 1회 클리어	ผ่านด่าน [ดันเจี้ยนชิปสีแดง 1] 1 ครั้ง
102010	1	2	10201	0	2	1110	2010504	3	5600049;3000003	6;15000	228	2010504	1	通关3次「贝克街·主食1」	通關3次「貝克街·主食1」	Clear "Baker Street - Main Dish I" 3 times.	「ベイカーストリート・メインディッシュ1」を3回クリアする	「베이커 가 메인요리 1」 3회 클리어	ผ่านด่าน [ถนนเบเกอร์-จานหลัก 1] 3 ครั้ง
102011	1	2	10201	102010	1	1412	5720001	2	4198001;3000003	25;50000	512	5520001	1	将「幸福芝士棒」升至评级C	將「幸福芝士棒」升至評級C	Raise the "Blessed Cheese Stick" rating to C.	「幸せスティックチーズ」がランクCに達する	「행복의 치즈스틱」을 C급까지 업그레이드	อัป [แท่งชีสแห่งความสุข] ถึงระดับ C
102020	1	2	10202	0	2	1110	2010507	3	5600040;3000003	6;15000	228	2010507	1	通关3次「贝克街·甜品1」	通關3次「貝克街·甜品1」	Clear "Baker Street - Dessert I" 3 times.	「ベイカーストリート・デザート1」を3回クリアする	「베이커 가 디저트 1」 3회 클리어	ผ่านด่าน [ถนนเบเกอร์-ขนมหวาน 1] 3 ครั้ง
102021	1	2	10202	102020	1	1412	5740001	2	4198001;3000003	25;50000	514	5540001	1	将「伤感甜甜圈」升至评级C	將「傷感甜甜圈」升至評級C	Raise the "Sad Donut" rating to C.	「感傷ドーナツ」がランクCに達する	「상심의 도넛」을 C급까지 업그레이드	อัป [โดนัทโศกเศร้า] ถึงระดับ C
102030	1	2	10203	0	1	1404	1	3	4104041;3000016	20;200	517	1	1	累计派送3单昆士区外卖	累計派送3單昆士區外賣	Complete 3 delivery orders in Quince.	コンシ区出前を3回完了する	퀸즈 타운으로 누적 3회 배달	ส่งอาหารในเขตควินซ์ 3 ออเดอร์
102050	1	2	10205	0	2	1110	2015002	1	4102011;3000003	2;50000	223	2015002	1	通关1次「五城广场2」	通關1次「五城廣場2」	Clear "Quintupolis Plaza II" 1 time.	「五城広場2」を1回クリアする	「펜타폴리스 2」1회 클리어	ผ่านด่าน [จัตุรัสควินซ์ 2] 1 ครั้ง
102060	1	2	10206	0	2	6	8000121	10	4199001;3000003	2;25000	230	8000121	1	获得10条「河鲫鱼」	獲得10條「河鯽魚」	Obtain 10 "Crucian Carp".	「フナ」を10匹獲得する	「붕어」 10마리 획득	ได้รับ [ปลาตะเพียน] 10 ตัว
102061	1	2	10206	102060	1	1412	5730027	2	4198001;3000003	25;50000	513	5530027	1	将「酱烧鲫鱼」升至评级C	將「醬燒鯽魚」升至評級C	Raise the "Braised Crucian Carp" rating to C.	「フナの醤油焼き」がランクCに達する	「붕어찜」을 C급까지 업그레이드	อัป [ปลาตะเพียนผัดซอส] ถึงระดับ C
102070	1	2	10207	0	2	1110	2010102	1	4101001;3000003	20;30000	224	2010102	1	通关1次「经验副本2」	通關1次「經驗副本2」	Clear the "EXP Stage II" 1 time.	「EXPステージ2」を1回クリアする	「EXP 던전 2」 1회 클리어	ผ่านด่าน [ดันเจี้ยน EXP 2] 1 ครั้ง
102080	1	2	10208	0	2	204	30402	1	4102202;3000003	5;30000	284	30402	1	通关1次「绿色芯片副本2」	通關1次「綠色晶片副本2」	Clear the "Green Chip Stage II" 1 time.	「チップ・緑ステージ2」を1回クリアする	「그린 칩 던전 2」 1회 클리어	ผ่านด่าน [ดันเจี้ยนชิปสีเขียว 2] 1 ครั้ง
